Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	5967	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	713	107678	151,02103786816269284712482468443197756	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	3091	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	670	108237	161,547761194029850746268656716417910448	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	5	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	10924	370837	33,94699743683632369095569388502380080557	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	6	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	8823	290167	32,88756658732857304771619630511164003174	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	650	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	193	13051	67,62176165803108808290155440414507772021	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	2061	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	681	30538	44,84287812041116005873715124816446402349	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	18	6330	351,666666666666666666666666666666666667	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	32	11507	359,59375	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	18	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	55	57902	1052,763636363636363636363636363636363636	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	26	27699	1065,346153846153846153846153846153846154	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	5	0	0	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	19	19235	1012,368421052631578947368421052631578947	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	15	13442	896,133333333333333333333333333333333333	Aragón
Noviembre 2020	202011	Noviembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360	Aragón
Noviembre 2020	202011	Noviembre	2020	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	6	2160	360	Aragón
