Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	2670	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	313	3829	12,2332268370607028753993610223642172524
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	1036	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	98	2296	23,42857142857142857142857142857142857143
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	5	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	2023	52192	25,79930795847750865051903114186851211073
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	1585	41261	26,03217665615141955835962145110410094637
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	84	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	22	613	27,86363636363636363636363636363636363636
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	239	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	179	5687	31,77094972067039106145251396648044692737
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	4	1440	360
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	8	9716	1214,5
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	3	1477	492,333333333333333333333333333333333333
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	4619	1539,666666666666666666666666666666666667
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	4	4958	1239,5
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	5	1262	252,4
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	2	720	360
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	7	1620	231,428571428571428571428571428571428571
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	0	2	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	1	17	12182	716,588235294117647058823529411764705882
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	1	1	355	355
