Mes y año	Mes (código)	Mes nombre	Año	Sector código	Sector descripción	Sexo	Temporalidad	Duración contrato * 1.00 / Número de contratos	Días duración contrato	Número de contratos	Duración contrato	CCAA nombre
Agosto 2019	201908	Agosto	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	3684	0	Aragón
Agosto 2019	201908	Agosto	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	26,52488387524883875248838752488387524884	1	1507	39973	Aragón
Agosto 2019	201908	Agosto	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	853	0	Aragón
Agosto 2019	201908	Agosto	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	24,44798301486199575371549893842887473461	1	471	11515	Aragón
Agosto 2019	201908	Agosto	2019	2	Industria y energía	Hombres	Temporal	0	0	1268	0	Aragón
Agosto 2019	201908	Agosto	2019	2	Industria y energía	Hombres	Temporal	48,28671125327129979645245710962489095667	1	3439	166058	Aragón
Agosto 2019	201908	Agosto	2019	2	Industria y energía	Mujeres	Temporal	0	0	912	0	Aragón
Agosto 2019	201908	Agosto	2019	2	Industria y energía	Mujeres	Temporal	33,40236686390532544378698224852071005917	1	2197	73385	Aragón
Agosto 2019	201908	Agosto	2019	3	Construcción	Hombres	Temporal	0	0	1349	0	Aragón
Agosto 2019	201908	Agosto	2019	3	Construcción	Hombres	Temporal	90,67385444743935309973045822102425876011	1	371	33640	Aragón
Agosto 2019	201908	Agosto	2019	3	Construcción	Mujeres	Temporal	0	0	28	0	Aragón
Agosto 2019	201908	Agosto	2019	3	Construcción	Mujeres	Temporal	207,4	1	45	9333	Aragón
Agosto 2019	201908	Agosto	2019	4	Servicios	Hombres	Temporal	0	0	3713	0	Aragón
Agosto 2019	201908	Agosto	2019	4	Servicios	Hombres	Temporal	38,24978522336769759450171821305841924399	1	9312	356182	Aragón
Agosto 2019	201908	Agosto	2019	4	Servicios	Mujeres	Temporal	0	0	4385	0	Aragón
Agosto 2019	201908	Agosto	2019	4	Servicios	Mujeres	Temporal	39,29927884615384615384615384615384615385	1	9984	392364	Aragón
Julio 2019	201907	Julio	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	4845	0	Aragón
Julio 2019	201907	Julio	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	33,13530066815144766146993318485523385301	1	1796	59511	Aragón
Julio 2019	201907	Julio	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	1497	0	Aragón
Julio 2019	201907	Julio	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	30,41481481481481481481481481481481481481	1	675	20530	Aragón
Julio 2019	201907	Julio	2019	2	Industria y energía	Hombres	Temporal	0	0	1412	0	Aragón
Julio 2019	201907	Julio	2019	2	Industria y energía	Hombres	Temporal	49,41465362347774006787781992413655420244	1	5009	247518	Aragón
Julio 2019	201907	Julio	2019	2	Industria y energía	Mujeres	Temporal	0	0	901	0	Aragón
Julio 2019	201907	Julio	2019	2	Industria y energía	Mujeres	Temporal	32,91207502930832356389214536928487690504	1	2559	84222	Aragón
Julio 2019	201907	Julio	2019	3	Construcción	Hombres	Temporal	0	0	1694	0	Aragón
Julio 2019	201907	Julio	2019	3	Construcción	Hombres	Temporal	95,63670411985018726591760299625468164794	1	534	51070	Aragón
Julio 2019	201907	Julio	2019	3	Construcción	Mujeres	Temporal	0	0	66	0	Aragón
Julio 2019	201907	Julio	2019	3	Construcción	Mujeres	Temporal	90,16393442622950819672131147540983606557	1	61	5500	Aragón
Julio 2019	201907	Julio	2019	4	Servicios	Hombres	Temporal	0	0	5204	0	Aragón
Julio 2019	201907	Julio	2019	4	Servicios	Hombres	Temporal	38,66635965922173612710108220124338015197	1	13029	503784	Aragón
Julio 2019	201907	Julio	2019	4	Servicios	Mujeres	Temporal	0	0	6569	0	Aragón
Julio 2019	201907	Julio	2019	4	Servicios	Mujeres	Temporal	40,31811367043750851846803870791876788878	1	14674	591628	Aragón
Junio 2019	201906	Junio	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	6585	0	Aragón
Junio 2019	201906	Junio	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	38,61171228516868236791852323360916613622	1	1571	60659	Aragón
Junio 2019	201906	Junio	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	2207	0	Aragón
Junio 2019	201906	Junio	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	34,79010494752623688155922038980509745127	1	667	23205	Aragón
Junio 2019	201906	Junio	2019	2	Industria y energía	Hombres	Temporal	0	0	1099	0	Aragón
Junio 2019	201906	Junio	2019	2	Industria y energía	Hombres	Temporal	53,77952261306532663316582914572864321608	1	4776	256851	Aragón
Junio 2019	201906	Junio	2019	2	Industria y energía	Mujeres	Temporal	0	0	481	0	Aragón
Junio 2019	201906	Junio	2019	2	Industria y energía	Mujeres	Temporal	34,34406438631790744466800804828973843058	1	2485	85345	Aragón
Junio 2019	201906	Junio	2019	3	Construcción	Hombres	Temporal	0	0	1504	0	Aragón
Junio 2019	201906	Junio	2019	3	Construcción	Hombres	Temporal	94,54004106776180698151950718685831622177	1	487	46041	Aragón
Junio 2019	201906	Junio	2019	3	Construcción	Mujeres	Temporal	0	0	55	0	Aragón
Junio 2019	201906	Junio	2019	3	Construcción	Mujeres	Temporal	131,08620689655172413793103448275862069	1	58	7603	Aragón
Junio 2019	201906	Junio	2019	4	Servicios	Hombres	Temporal	0	0	4363	0	Aragón
Junio 2019	201906	Junio	2019	4	Servicios	Hombres	Temporal	37,47783124248152603540127169616772641347	1	11638	436167	Aragón
Junio 2019	201906	Junio	2019	4	Servicios	Mujeres	Temporal	0	0	5841	0	Aragón
Junio 2019	201906	Junio	2019	4	Servicios	Mujeres	Temporal	40,45985993365278289716181349060081091043	1	13565	548838	Aragón
Mayo 2019	201905	Mayo	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	8846	0	Aragón
Mayo 2019	201905	Mayo	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	49,81777205408886027044430135222150676111	1	1553	77367	Aragón
Mayo 2019	201905	Mayo	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	2940	0	Aragón
Mayo 2019	201905	Mayo	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	41,96661101836393989983305509181969949917	1	599	25138	Aragón
Mayo 2019	201905	Mayo	2019	2	Industria y energía	Hombres	Temporal	0	0	1316	0	Aragón
Mayo 2019	201905	Mayo	2019	2	Industria y energía	Hombres	Temporal	56,03247412218388471686624720925512482241	1	4927	276072	Aragón
Mayo 2019	201905	Mayo	2019	2	Industria y energía	Mujeres	Temporal	0	0	872	0	Aragón
Mayo 2019	201905	Mayo	2019	2	Industria y energía	Mujeres	Temporal	37,8080438756855575868372943327239488117	1	2735	103405	Aragón
Mayo 2019	201905	Mayo	2019	3	Construcción	Hombres	Temporal	0	0	1815	0	Aragón
Mayo 2019	201905	Mayo	2019	3	Construcción	Hombres	Temporal	100,82429501084598698481561822125813449	1	461	46480	Aragón
Mayo 2019	201905	Mayo	2019	3	Construcción	Mujeres	Temporal	0	0	72	0	Aragón
Mayo 2019	201905	Mayo	2019	3	Construcción	Mujeres	Temporal	154,796610169491525423728813559322033898	1	59	9133	Aragón
Mayo 2019	201905	Mayo	2019	4	Servicios	Hombres	Temporal	0	0	3849	0	Aragón
Mayo 2019	201905	Mayo	2019	4	Servicios	Hombres	Temporal	34,48515367251258899114429588470220524397	1	11518	397200	Aragón
Mayo 2019	201905	Mayo	2019	4	Servicios	Mujeres	Temporal	0	0	5642	0	Aragón
Mayo 2019	201905	Mayo	2019	4	Servicios	Mujeres	Temporal	34,98055598937997813524910198344526003436	1	12806	447961	Aragón
Abril 2019	201904	Abril	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	2842	0	Aragón
Abril 2019	201904	Abril	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	63,16018662519440124416796267496111975117	1	643	40612	Aragón
Abril 2019	201904	Abril	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	824	0	Aragón
Abril 2019	201904	Abril	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	38,91176470588235294117647058823529411765	1	170	6615	Aragón
Abril 2019	201904	Abril	2019	2	Industria y energía	Hombres	Temporal	0	0	1201	0	Aragón
Abril 2019	201904	Abril	2019	2	Industria y energía	Hombres	Temporal	45,63177777777777777777777777777777777778	1	4500	205343	Aragón
Abril 2019	201904	Abril	2019	2	Industria y energía	Mujeres	Temporal	0	0	622	0	Aragón
