Mes y año	Mes (código)	Mes nombre	Año	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Julio 2016	201607	Julio	2016	A través de una ETT	Hombres	Temporal	0	2531	0	0	Aragón
Julio 2016	201607	Julio	2016	A través de una ETT	Hombres	Temporal	1	4524	50835	11,23673740053050397877984084880636604775	Aragón
Julio 2016	201607	Julio	2016	A través de una ETT	Mujeres	Temporal	0	1305	0	0	Aragón
Julio 2016	201607	Julio	2016	A través de una ETT	Mujeres	Temporal	1	2698	30912	11,45737583395107487027427724240177909563	Aragón
Julio 2016	201607	Julio	2016	Otros	Hombres	Temporal	0	9488	0	0	Aragón
Julio 2016	201607	Julio	2016	Otros	Hombres	Temporal	1	12229	623659	50,99836454329871616648949219069425136969	Aragón
Julio 2016	201607	Julio	2016	Otros	Mujeres	Temporal	0	6523	0	0	Aragón
Julio 2016	201607	Julio	2016	Otros	Mujeres	Temporal	1	11493	541523	47,1176368224136430870964935177934394849	Aragón
Junio 2016	201606	Junio	2016	A través de una ETT	Hombres	Temporal	0	3320	0	0	Aragón
Junio 2016	201606	Junio	2016	A través de una ETT	Hombres	Temporal	1	4793	55413	11,56123513457124973920300438138952639266	Aragón
Junio 2016	201606	Junio	2016	A través de una ETT	Mujeres	Temporal	0	1452	0	0	Aragón
Junio 2016	201606	Junio	2016	A través de una ETT	Mujeres	Temporal	1	2898	33229	11,46618357487922705314009661835748792271	Aragón
Junio 2016	201606	Junio	2016	Otros	Hombres	Temporal	0	11772	0	0	Aragón
Junio 2016	201606	Junio	2016	Otros	Hombres	Temporal	1	12525	685416	54,72383233532934131736526946107784431138	Aragón
Junio 2016	201606	Junio	2016	Otros	Mujeres	Temporal	0	7418	0	0	Aragón
Junio 2016	201606	Junio	2016	Otros	Mujeres	Temporal	1	11595	550325	47,46226821905993962915049590340664079345	Aragón
Mayo 2016	201605	Mayo	2016	A través de una ETT	Hombres	Temporal	0	2704	0	0	Aragón
Mayo 2016	201605	Mayo	2016	A través de una ETT	Hombres	Temporal	1	4668	61643	13,20544130248500428449014567266495287061	Aragón
Mayo 2016	201605	Mayo	2016	A través de una ETT	Mujeres	Temporal	0	1484	0	0	Aragón
Mayo 2016	201605	Mayo	2016	A través de una ETT	Mujeres	Temporal	1	2598	33067	12,72786759045419553502694380292532717475	Aragón
Mayo 2016	201605	Mayo	2016	Otros	Hombres	Temporal	0	11553	0	0	Aragón
Mayo 2016	201605	Mayo	2016	Otros	Hombres	Temporal	1	11482	578703	50,40088834697787841839400801254136909946	Aragón
Mayo 2016	201605	Mayo	2016	Otros	Mujeres	Temporal	0	6994	0	0	Aragón
Mayo 2016	201605	Mayo	2016	Otros	Mujeres	Temporal	1	10907	455813	41,79086824974786834143210782066562757862	Aragón
Abril 2016	201604	Abril	2016	A través de una ETT	Hombres	Temporal	0	1297	0	0	Aragón
Abril 2016	201604	Abril	2016	A través de una ETT	Hombres	Temporal	1	4351	51851	11,91703056768558951965065502183406113537	Aragón
Abril 2016	201604	Abril	2016	A través de una ETT	Mujeres	Temporal	0	1079	0	0	Aragón
Abril 2016	201604	Abril	2016	A través de una ETT	Mujeres	Temporal	1	2075	30043	14,47855421686746987951807228915662650602	Aragón
Abril 2016	201604	Abril	2016	Otros	Hombres	Temporal	0	6974	0	0	Aragón
Abril 2016	201604	Abril	2016	Otros	Hombres	Temporal	1	7804	518710	66,46719630958482829318298308559712967709	Aragón
Abril 2016	201604	Abril	2016	Otros	Mujeres	Temporal	0	4751	0	0	Aragón
