Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Comarca código	Comarca nombre	CIF	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	01	La Jacetania	A través de una ETT	0	1	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	01	La Jacetania	A través de una ETT	0	1	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	01	La Jacetania	Otros	0	54	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	01	La Jacetania	Otros	1	42	4238	100,904761904761904761904761904761904762
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	01	La Jacetania	Otros	0	18	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	01	La Jacetania	Otros	1	31	2757	88,93548387096774193548387096774193548387
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	02	Alto Gállego	A través de una ETT	0	4	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	02	Alto Gállego	A través de una ETT	1	2	240	120
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	02	Alto Gállego	A través de una ETT	0	4	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	02	Alto Gállego	A través de una ETT	1	2	240	120
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	02	Alto Gállego	Otros	0	38	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	02	Alto Gállego	Otros	1	23	3969	172,565217391304347826086956521739130435
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	02	Alto Gállego	Otros	0	14	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	02	Alto Gállego	Otros	1	17	1427	83,94117647058823529411764705882352941176
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	03	Sobrarbe	Otros	0	8	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	03	Sobrarbe	Otros	1	7	389	55,57142857142857142857142857142857142857
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	03	Sobrarbe	Otros	0	7	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	03	Sobrarbe	Otros	1	6	545	90,83333333333333333333333333333333333333
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	04	La Ribagorza	Otros	0	24	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	04	La Ribagorza	Otros	1	11	1707	155,181818181818181818181818181818181818
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	04	La Ribagorza	Otros	0	15	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	04	La Ribagorza	Otros	1	2	277	138,5
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	05	Cinco Villas	A través de una ETT	0	20	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	05	Cinco Villas	A través de una ETT	1	14	80	5,71428571428571428571428571428571428571
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	05	Cinco Villas	A través de una ETT	0	6	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	05	Cinco Villas	Otros	0	121	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	05	Cinco Villas	Otros	1	62	7159	115,467741935483870967741935483870967742
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	05	Cinco Villas	Otros	0	52	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	05	Cinco Villas	Otros	1	19	2401	126,368421052631578947368421052631578947
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	06	Hoya de Huesca / Plana de Uesca	A través de una ETT	0	26	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	06	Hoya de Huesca / Plana de Uesca	A través de una ETT	1	26	524	20,15384615384615384615384615384615384615
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	06	Hoya de Huesca / Plana de Uesca	A través de una ETT	0	7	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	06	Hoya de Huesca / Plana de Uesca	A través de una ETT	1	3	57	19
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	06	Hoya de Huesca / Plana de Uesca	Otros	0	261	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	06	Hoya de Huesca / Plana de Uesca	Otros	1	158	16630	105,25316455696202531645569620253164557
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	06	Hoya de Huesca / Plana de Uesca	Otros	0	138	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	06	Hoya de Huesca / Plana de Uesca	Otros	1	156	11737	75,23717948717948717948717948717948717949
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	07	Somontano de Barbastro	A través de una ETT	0	29	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	07	Somontano de Barbastro	A través de una ETT	1	36	348	9,66666666666666666666666666666666666667
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	07	Somontano de Barbastro	A través de una ETT	0	8	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	07	Somontano de Barbastro	A través de una ETT	1	19	184	9,68421052631578947368421052631578947368
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	07	Somontano de Barbastro	Otros	0	120	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	07	Somontano de Barbastro	Otros	1	37	4553	123,054054054054054054054054054054054054
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	07	Somontano de Barbastro	Otros	0	24	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	07	Somontano de Barbastro	Otros	1	49	3794	77,42857142857142857142857142857142857143
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	A través de una ETT	0	38	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	A través de una ETT	1	34	854	25,11764705882352941176470588235294117647
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	A través de una ETT	0	24	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	A través de una ETT	1	3	28	9,33333333333333333333333333333333333333
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	Otros	0	377	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	Otros	1	70	8068	115,257142857142857142857142857142857143
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	Otros	0	86	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	Otros	1	40	2999	74,975
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	A través de una ETT	0	29	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	A través de una ETT	1	32	1849	57,78125
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	A través de una ETT	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	A través de una ETT	1	3	179	59,66666666666666666666666666666666666667
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	Otros	0	156	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	Otros	1	202	21599	106,925742574257425742574257425742574257
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	Otros	0	45	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	Otros	1	82	7855	95,79268292682926829268292682926829268293
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	10	Los Monegros	A través de una ETT	0	4	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	10	Los Monegros	A través de una ETT	1	3	199	66,33333333333333333333333333333333333333
