Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2020	Hombres	01	La Jacetania	101	Leves	1
2020	Hombres	02	Alto Gállego	117	Leves	1
2020	Hombres	03	Sobrarbe	30	Leves	1
2020	Hombres	04	La Ribagorza	118	Leves	1
2020	Hombres	05	Cinco Villas	395	Leves	1
2020	Hombres	06	Hoya de Huesca / Plana de Uesca	627	Leves	1
2020	Hombres	07	Somontano de Barbastro	192	Leves	1
2020	Hombres	08	Cinca Medio	311	Leves	1
2020	Hombres	09	La Litera / La Llitera	532	Leves	1
2020	Hombres	10	Los Monegros	170	Leves	1
2020	Hombres	11	Bajo Cinca / Baix Cinca	358	Leves	1
2020	Hombres	12	Tarazona y el Moncayo	84	Leves	1
2020	Hombres	13	Campo de Borja	98	Leves	1
2020	Hombres	14	Aranda	20	Leves	1
2020	Hombres	15	Ribera Alta del Ebro	409	Leves	1
2020	Hombres	16	Valdejalón	425	Leves	1
2020	Hombres	17	Central	4809	Leves	1
2020	Hombres	18	Ribera Baja del Ebro	58	Leves	1
2020	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	113	Leves	1
2020	Hombres	20	Comunidad de Calatayud	188	Leves	1
2020	Hombres	21	Campo de Cariñena	98	Leves	1
2020	Hombres	22	Campo de Belchite	14	Leves	1
2020	Hombres	23	Bajo Martín	95	Leves	1
2020	Hombres	24	Campo de Daroca	40	Leves	1
2020	Hombres	25	Jiloca	109	Leves	1
2020	Hombres	26	Cuencas Mineras	82	Leves	1
2020	Hombres	27	Andorra-Sierra de Arcos	40	Leves	1
2020	Hombres	28	Bajo Aragón	262	Leves	1
2020	Hombres	29	Comunidad de Teruel	427	Leves	1
2020	Hombres	30	Maestrazgo	15	Leves	1
2020	Hombres	31	Sierra de Albarracín	26	Leves	1
2020	Hombres	32	Gúdar-Javalambre	69	Leves	1
2020	Hombres	33	Matarraña / Matarranya	75	Leves	1
2020	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	144	Leves	1
