Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2018	22	Huesca	Hombres	2195	Leves	1
2018	44	Teruel	Hombres	1151	Leves	1
2018	50	Zaragoza	Hombres	7793	Leves	1
2018	22	Huesca	Mujeres	648	Leves	1
2018	44	Teruel	Mujeres	395	Leves	1
2018	50	Zaragoza	Mujeres	3264	Leves	1
2017	22	Huesca	Hombres	2064	Leves	1
2017	44	Teruel	Hombres	1009	Leves	1
2017	50	Zaragoza	Hombres	7287	Leves	1
2017	22	Huesca	Mujeres	645	Leves	1
2017	44	Teruel	Mujeres	338	Leves	1
2017	50	Zaragoza	Mujeres	3095	Leves	1
2016	22	Huesca	Hombres	1903	Leves	1
2016	44	Teruel	Hombres	1104	Leves	1
2016	50	Zaragoza	Hombres	6661	Leves	1
2016	22	Huesca	Mujeres	594	Leves	1
2016	44	Teruel	Mujeres	424	Leves	1
2016	50	Zaragoza	Mujeres	3073	Leves	1
2015	22	Huesca	Hombres	1709	Leves	1
2015	44	Teruel	Hombres	756	Leves	1
2015	50	Zaragoza	Hombres	6243	Leves	1
2015	22	Huesca	Mujeres	554	Leves	1
2015	44	Teruel	Mujeres	229	Leves	1
2015	50	Zaragoza	Mujeres	2885	Leves	1
2014	22	Huesca	Hombres	1561	Leves	1
2014	44	Teruel	Hombres	823	Leves	1
2014	50	Zaragoza	Hombres	5448	Leves	1
2014	22	Huesca	Mujeres	549	Leves	1
2014	44	Teruel	Mujeres	290	Leves	1
2014	50	Zaragoza	Mujeres	2559	Leves	1
2013	22	Huesca	Hombres	1464	Leves	1
2013	44	Teruel	Hombres	811	Leves	1
2013	50	Zaragoza	Hombres	5281	Leves	1
2013	22	Huesca	Mujeres	497	Leves	1
2013	44	Teruel	Mujeres	260	Leves	1
2013	50	Zaragoza	Mujeres	2533	Leves	1
2012	22	Huesca	Hombres	1484	Leves	1
2012	44	Teruel	Hombres	847	Leves	1
2012	50	Zaragoza	Hombres	5813	Leves	1
2012	22	Huesca	Mujeres	428	Leves	1
2012	44	Teruel	Mujeres	228	Leves	1
2012	50	Zaragoza	Mujeres	2257	Leves	1
2011	22	Huesca	Hombres	1801	Leves	1
2011	44	Teruel	Hombres	1075	Leves	1
2011	50	Zaragoza	Hombres	7041	Leves	1
2011	22	Huesca	Mujeres	482	Leves	1
2011	44	Teruel	Mujeres	314	Leves	1
2011	50	Zaragoza	Mujeres	2917	Leves	1
2010	22	Huesca	Hombres	1810	Leves	1
2010	44	Teruel	Hombres	1237	Leves	1
2010	50	Zaragoza	Hombres	7973	Leves	1
2010	22	Huesca	Mujeres	534	Leves	1
2010	44	Teruel	Mujeres	378	Leves	1
2010	50	Zaragoza	Mujeres	3133	Leves	1
2009	22	Huesca	Hombres	2120	Leves	1
2009	44	Teruel	Hombres	1288	Leves	1
2009	50	Zaragoza	Hombres	8342	Leves	1
2009	22	Huesca	Mujeres	547	Leves	1
2009	44	Teruel	Mujeres	331	Leves	1
2009	50	Zaragoza	Mujeres	3223	Leves	1
2008	22	Huesca	Hombres	2927	Leves	1
2008	44	Teruel	Hombres	1707	Leves	1
2008	50	Zaragoza	Hombres	12741	Leves	1
2008	22	Huesca	Mujeres	760	Leves	1
2008	44	Teruel	Mujeres	453	Leves	1
2008	50	Zaragoza	Mujeres	4291	Leves	1
2007	22	Huesca	Hombres	3221	Leves	1
2007	44	Teruel	Hombres	1801	Leves	1
2007	50	Zaragoza	Hombres	14220	Leves	1
2007	22	Huesca	Mujeres	728	Leves	1
2007	44	Teruel	Mujeres	430	Leves	1
2007	50	Zaragoza	Mujeres	4343	Leves	1
2006	22	Huesca	Hombres	3134	Leves	1
