Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	Comarca Código	Comarca Nombre
2018	Hombres	16-19	4	01	La Jacetania
2018	Hombres	20-24	8	01	La Jacetania
2018	Hombres	25-29	7	01	La Jacetania
2018	Hombres	30-34	17	01	La Jacetania
2018	Hombres	35-39	14	01	La Jacetania
2018	Hombres	40-44	11	01	La Jacetania
2018	Hombres	45-49	19	01	La Jacetania
2018	Hombres	50-54	15	01	La Jacetania
2018	Hombres	55-59	11	01	La Jacetania
2018	Hombres	60-64	5	01	La Jacetania
2018	Hombres	16-19	1	02	Alto Gállego
2018	Hombres	20-24	11	02	Alto Gállego
2018	Hombres	25-29	9	02	Alto Gállego
2018	Hombres	30-34	7	02	Alto Gállego
2018	Hombres	35-39	10	02	Alto Gállego
2018	Hombres	40-44	20	02	Alto Gállego
2018	Hombres	45-49	15	02	Alto Gállego
2018	Hombres	50-54	9	02	Alto Gállego
2018	Hombres	55-59	6	02	Alto Gállego
2018	Hombres	60-64	6	02	Alto Gállego
2018	Hombres	20-24	2	03	Sobrarbe
2018	Hombres	25-29	2	03	Sobrarbe
2018	Hombres	30-34	3	03	Sobrarbe
2018	Hombres	35-39	5	03	Sobrarbe
2018	Hombres	40-44	11	03	Sobrarbe
2018	Hombres	45-49	3	03	Sobrarbe
2018	Hombres	50-54	7	03	Sobrarbe
2018	Hombres	55-59	3	03	Sobrarbe
2018	Hombres	60-64	3	03	Sobrarbe
2018	Hombres	16-19	3	04	La Ribagorza
2018	Hombres	20-24	12	04	La Ribagorza
2018	Hombres	25-29	8	04	La Ribagorza
2018	Hombres	30-34	13	04	La Ribagorza
2018	Hombres	35-39	7	04	La Ribagorza
2018	Hombres	40-44	15	04	La Ribagorza
2018	Hombres	45-49	17	04	La Ribagorza
2018	Hombres	50-54	15	04	La Ribagorza
2018	Hombres	55-59	9	04	La Ribagorza
2018	Hombres	60-64	4	04	La Ribagorza
2018	Hombres	16-19	8	05	Cinco Villas
2018	Hombres	20-24	46	05	Cinco Villas
2018	Hombres	25-29	38	05	Cinco Villas
2018	Hombres	30-34	42	05	Cinco Villas
2018	Hombres	35-39	57	05	Cinco Villas
2018	Hombres	40-44	59	05	Cinco Villas
2018	Hombres	45-49	38	05	Cinco Villas
2018	Hombres	50-54	49	05	Cinco Villas
2018	Hombres	55-59	43	05	Cinco Villas
2018	Hombres	60-64	13	05	Cinco Villas
2018	Hombres	Más de 64	1	05	Cinco Villas
2018	Hombres	16-19	9	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	20-24	40	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	25-29	74	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	30-34	57	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	35-39	80	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	40-44	91	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	45-49	79	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	50-54	68	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	55-59	65	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	60-64	36	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	Más de 64	2	06	Hoya de Huesca / Plana de Uesca
2018	Hombres	16-19	4	07	Somontano de Barbastro
2018	Hombres	20-24	14	07	Somontano de Barbastro
2018	Hombres	25-29	18	07	Somontano de Barbastro
2018	Hombres	30-34	28	07	Somontano de Barbastro
2018	Hombres	35-39	31	07	Somontano de Barbastro
2018	Hombres	40-44	30	07	Somontano de Barbastro
2018	Hombres	45-49	23	07	Somontano de Barbastro
2018	Hombres	50-54	19	07	Somontano de Barbastro
2018	Hombres	55-59	17	07	Somontano de Barbastro
2018	Hombres	60-64	10	07	Somontano de Barbastro
2018	Hombres	Más de 64	1	07	Somontano de Barbastro
2018	Hombres	16-19	8	08	Cinca Medio
2018	Hombres	20-24	29	08	Cinca Medio
2018	Hombres	25-29	49	08	Cinca Medio
2018	Hombres	30-34	43	08	Cinca Medio
2018	Hombres	35-39	57	08	Cinca Medio
2018	Hombres	40-44	58	08	Cinca Medio
2018	Hombres	45-49	44	08	Cinca Medio
2018	Hombres	50-54	46	08	Cinca Medio
2018	Hombres	55-59	32	08	Cinca Medio
2018	Hombres	60-64	9	08	Cinca Medio
2018	Hombres	Más de 64	2	08	Cinca Medio
2018	Hombres	16-19	7	09	La Litera / La Llitera
2018	Hombres	20-24	28	09	La Litera / La Llitera
2018	Hombres	25-29	29	09	La Litera / La Llitera
2018	Hombres	30-34	22	09	La Litera / La Llitera
2018	Hombres	35-39	42	09	La Litera / La Llitera
2018	Hombres	40-44	53	09	La Litera / La Llitera
2018	Hombres	45-49	37	09	La Litera / La Llitera
2018	Hombres	50-54	38	09	La Litera / La Llitera
2018	Hombres	55-59	19	09	La Litera / La Llitera
2018	Hombres	60-64	14	09	La Litera / La Llitera
2018	Hombres	16-19	1	10	Los Monegros
2018	Hombres	20-24	14	10	Los Monegros
2018	Hombres	25-29	12	10	Los Monegros
2018	Hombres	30-34	18	10	Los Monegros
2018	Hombres	35-39	19	10	Los Monegros
2018	Hombres	40-44	28	10	Los Monegros
2018	Hombres	45-49	21	10	Los Monegros
2018	Hombres	50-54	17	10	Los Monegros
2018	Hombres	55-59	12	10	Los Monegros
2018	Hombres	60-64	9	10	Los Monegros
2018	Hombres	16-19	10	11	Bajo Cinca / Baix Cinca
2018	Hombres	20-24	24	11	Bajo Cinca / Baix Cinca
2018	Hombres	25-29	34	11	Bajo Cinca / Baix Cinca
2018	Hombres	30-34	35	11	Bajo Cinca / Baix Cinca
2018	Hombres	35-39	34	11	Bajo Cinca / Baix Cinca
2018	Hombres	40-44	47	11	Bajo Cinca / Baix Cinca
2018	Hombres	45-49	48	11	Bajo Cinca / Baix Cinca
2018	Hombres	50-54	27	11	Bajo Cinca / Baix Cinca
2018	Hombres	55-59	21	11	Bajo Cinca / Baix Cinca
2018	Hombres	60-64	16	11	Bajo Cinca / Baix Cinca
2018	Hombres	16-19	2	12	Tarazona y el Moncayo
2018	Hombres	20-24	11	12	Tarazona y el Moncayo
2018	Hombres	25-29	17	12	Tarazona y el Moncayo
2018	Hombres	30-34	15	12	Tarazona y el Moncayo
2018	Hombres	35-39	18	12	Tarazona y el Moncayo
2018	Hombres	40-44	21	12	Tarazona y el Moncayo
2018	Hombres	45-49	13	12	Tarazona y el Moncayo
2018	Hombres	50-54	16	12	Tarazona y el Moncayo
2018	Hombres	55-59	12	12	Tarazona y el Moncayo
2018	Hombres	60-64	6	12	Tarazona y el Moncayo
2018	Hombres	20-24	8	13	Campo de Borja
2018	Hombres	25-29	6	13	Campo de Borja
2018	Hombres	30-34	13	13	Campo de Borja
2018	Hombres	35-39	23	13	Campo de Borja
2018	Hombres	40-44	21	13	Campo de Borja
2018	Hombres	45-49	21	13	Campo de Borja
2018	Hombres	50-54	16	13	Campo de Borja
2018	Hombres	55-59	7	13	Campo de Borja
2018	Hombres	60-64	6	13	Campo de Borja
2018	Hombres	Más de 64	1	13	Campo de Borja
2018	Hombres	20-24	7	14	Aranda
2018	Hombres	25-29	2	14	Aranda
2018	Hombres	30-34	3	14	Aranda
2018	Hombres	35-39	1	14	Aranda
2018	Hombres	40-44	2	14	Aranda
2018	Hombres	45-49	5	14	Aranda
2018	Hombres	50-54	5	14	Aranda
2018	Hombres	55-59	5	14	Aranda
