Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Edad (grupos quinquenales)	Nº Accidentes
2019	22	Huesca	Hombres	16-19	52
2019	22	Huesca	Hombres	20-24	183
2019	22	Huesca	Hombres	25-29	268
2019	22	Huesca	Hombres	30-34	289
2019	22	Huesca	Hombres	35-39	388
2019	22	Huesca	Hombres	40-44	429
2019	22	Huesca	Hombres	45-49	369
2019	22	Huesca	Hombres	50-54	308
2019	22	Huesca	Hombres	55-59	230
2019	22	Huesca	Hombres	60-64	104
2019	22	Huesca	Hombres	Más de 64	13
2019	22	Huesca	Mujeres	16-19	14
2019	22	Huesca	Mujeres	20-24	50
2019	22	Huesca	Mujeres	25-29	58
2019	22	Huesca	Mujeres	30-34	70
2019	22	Huesca	Mujeres	35-39	129
2019	22	Huesca	Mujeres	40-44	100
2019	22	Huesca	Mujeres	45-49	117
2019	22	Huesca	Mujeres	50-54	126
2019	22	Huesca	Mujeres	55-59	87
2019	22	Huesca	Mujeres	60-64	36
2019	22	Huesca	Mujeres	Más de 64	6
2019	44	Teruel	Hombres	16-19	6
2019	44	Teruel	Hombres	20-24	87
2019	44	Teruel	Hombres	25-29	108
2019	44	Teruel	Hombres	30-34	122
2019	44	Teruel	Hombres	35-39	176
2019	44	Teruel	Hombres	40-44	184
2019	44	Teruel	Hombres	45-49	164
2019	44	Teruel	Hombres	50-54	140
2019	44	Teruel	Hombres	55-59	107
2019	44	Teruel	Hombres	60-64	55
2019	44	Teruel	Hombres	Más de 64	6
2019	44	Teruel	Mujeres	16-19	6
2019	44	Teruel	Mujeres	20-24	21
2019	44	Teruel	Mujeres	25-29	34
2019	44	Teruel	Mujeres	30-34	36
2019	44	Teruel	Mujeres	35-39	42
2019	44	Teruel	Mujeres	40-44	68
2019	44	Teruel	Mujeres	45-49	54
2019	44	Teruel	Mujeres	50-54	69
2019	44	Teruel	Mujeres	55-59	50
2019	44	Teruel	Mujeres	60-64	27
2019	44	Teruel	Mujeres	Más de 64	2
2019	50	Zaragoza	Hombres	16-19	95
2019	50	Zaragoza	Hombres	20-24	544
2019	50	Zaragoza	Hombres	25-29	753
2019	50	Zaragoza	Hombres	30-34	983
2019	50	Zaragoza	Hombres	35-39	1196
2019	50	Zaragoza	Hombres	40-44	1356
2019	50	Zaragoza	Hombres	45-49	1293
2019	50	Zaragoza	Hombres	50-54	968
2019	50	Zaragoza	Hombres	55-59	729
2019	50	Zaragoza	Hombres	60-64	299
2019	50	Zaragoza	Hombres	Más de 64	30
2019	50	Zaragoza	Mujeres	16-19	29
2019	50	Zaragoza	Mujeres	20-24	209
2019	50	Zaragoza	Mujeres	25-29	282
2019	50	Zaragoza	Mujeres	30-34	354
2019	50	Zaragoza	Mujeres	35-39	401
2019	50	Zaragoza	Mujeres	40-44	488
2019	50	Zaragoza	Mujeres	45-49	472
2019	50	Zaragoza	Mujeres	50-54	518
2019	50	Zaragoza	Mujeres	55-59	359
2019	50	Zaragoza	Mujeres	60-64	185
2019	50	Zaragoza	Mujeres	Más de 64	21
2018	22	Huesca	Hombres	16-19	46
2018	22	Huesca	Hombres	20-24	179
2018	22	Huesca	Hombres	25-29	236
2018	22	Huesca	Hombres	30-34	242
2018	22	Huesca	Hombres	35-39	294
2018	22	Huesca	Hombres	40-44	365
2018	22	Huesca	Hombres	45-49	298
2018	22	Huesca	Hombres	50-54	261
2018	22	Huesca	Hombres	55-59	188
2018	22	Huesca	Hombres	60-64	112
2018	22	Huesca	Hombres	Más de 64	5
2018	22	Huesca	Mujeres	16-19	12
2018	22	Huesca	Mujeres	20-24	59
2018	22	Huesca	Mujeres	25-29	51
2018	22	Huesca	Mujeres	30-34	57
2018	22	Huesca	Mujeres	35-39	81
2018	22	Huesca	Mujeres	40-44	84
2018	22	Huesca	Mujeres	45-49	91
2018	22	Huesca	Mujeres	50-54	89
2018	22	Huesca	Mujeres	55-59	82
2018	22	Huesca	Mujeres	60-64	40
2018	22	Huesca	Mujeres	Más de 64	4
2018	44	Teruel	Hombres	16-19	12
2018	44	Teruel	Hombres	20-24	74
2018	44	Teruel	Hombres	25-29	130
2018	44	Teruel	Hombres	30-34	129
2018	44	Teruel	Hombres	35-39	192
2018	44	Teruel	Hombres	40-44	194
2018	44	Teruel	Hombres	45-49	164
2018	44	Teruel	Hombres	50-54	143
2018	44	Teruel	Hombres	55-59	93
2018	44	Teruel	Hombres	60-64	34
2018	44	Teruel	Hombres	Más de 64	2
2018	44	Teruel	Mujeres	16-19	5
2018	44	Teruel	Mujeres	20-24	18
2018	44	Teruel	Mujeres	25-29	22
2018	44	Teruel	Mujeres	30-34	35
2018	44	Teruel	Mujeres	35-39	51
2018	44	Teruel	Mujeres	40-44	67
2018	44	Teruel	Mujeres	45-49	72
2018	44	Teruel	Mujeres	50-54	61
2018	44	Teruel	Mujeres	55-59	49
2018	44	Teruel	Mujeres	60-64	15
2018	44	Teruel	Mujeres	Más de 64	1
2018	50	Zaragoza	Hombres	16-19	90
2018	50	Zaragoza	Hombres	20-24	559
2018	50	Zaragoza	Hombres	25-29	774
2018	50	Zaragoza	Hombres	30-34	982
2018	50	Zaragoza	Hombres	35-39	1208
2018	50	Zaragoza	Hombres	40-44	1320
2018	50	Zaragoza	Hombres	45-49	1086
2018	50	Zaragoza	Hombres	50-54	884
2018	50	Zaragoza	Hombres	55-59	685
2018	50	Zaragoza	Hombres	60-64	270
2018	50	Zaragoza	Hombres	Más de 64	13
2018	50	Zaragoza	Mujeres	16-19	17
2018	50	Zaragoza	Mujeres	20-24	191
2018	50	Zaragoza	Mujeres	25-29	294
2018	50	Zaragoza	Mujeres	30-34	318
2018	50	Zaragoza	Mujeres	35-39	406
2018	50	Zaragoza	Mujeres	40-44	444
2018	50	Zaragoza	Mujeres	45-49	497
2018	50	Zaragoza	Mujeres	50-54	495
2018	50	Zaragoza	Mujeres	55-59	401
2018	50	Zaragoza	Mujeres	60-64	196
2018	50	Zaragoza	Mujeres	Más de 64	11
2017	22	Huesca	Hombres	16-19	27
2017	22	Huesca	Hombres	20-24	145
2017	22	Huesca	Hombres	25-29	225
2017	22	Huesca	Hombres	30-34	245
2017	22	Huesca	Hombres	35-39	331
2017	22	Huesca	Hombres	40-44	339
2017	22	Huesca	Hombres	45-49	291
2017	22	Huesca	Hombres	50-54	253
2017	22	Huesca	Hombres	55-59	160
2017	22	Huesca	Hombres	60-64	79
2017	22	Huesca	Hombres	Más de 64	1
2017	22	Huesca	Mujeres	16-19	16
2017	22	Huesca	Mujeres	20-24	40
2017	22	Huesca	Mujeres	25-29	53
2017	22	Huesca	Mujeres	30-34	59
2017	22	Huesca	Mujeres	35-39	89
2017	22	Huesca	Mujeres	40-44	93
2017	22	Huesca	Mujeres	45-49	96
2017	22	Huesca	Mujeres	50-54	88
2017	22	Huesca	Mujeres	55-59	75
2017	22	Huesca	Mujeres	60-64	36
2017	22	Huesca	Mujeres	Más de 64	3
2017	44	Teruel	Hombres	16-19	10
2017	44	Teruel	Hombres	20-24	64
2017	44	Teruel	Hombres	25-29	103
2017	44	Teruel	Hombres	30-34	121
2017	44	Teruel	Hombres	35-39	165
2017	44	Teruel	Hombres	40-44	170
2017	44	Teruel	Hombres	45-49	140
2017	44	Teruel	Hombres	50-54	124
2017	44	Teruel	Hombres	55-59	86
2017	44	Teruel	Hombres	60-64	43
2017	44	Teruel	Hombres	Más de 64	1
2017	44	Teruel	Mujeres	16-19	3
2017	44	Teruel	Mujeres	20-24	22
2017	44	Teruel	Mujeres	25-29	30
2017	44	Teruel	Mujeres	30-34	35
2017	44	Teruel	Mujeres	35-39	42
2017	44	Teruel	Mujeres	40-44	51
2017	44	Teruel	Mujeres	45-49	41
2017	44	Teruel	Mujeres	50-54	57
2017	44	Teruel	Mujeres	55-59	40
2017	44	Teruel	Mujeres	60-64	19
2017	50	Zaragoza	Hombres	16-19	89
2017	50	Zaragoza	Hombres	20-24	450
2017	50	Zaragoza	Hombres	25-29	706
2017	50	Zaragoza	Hombres	30-34	931
2017	50	Zaragoza	Hombres	35-39	1199
2017	50	Zaragoza	Hombres	40-44	1240
2017	50	Zaragoza	Hombres	45-49	1003
2017	50	Zaragoza	Hombres	50-54	855
2017	50	Zaragoza	Hombres	55-59	601
2017	50	Zaragoza	Hombres	60-64	270
2017	50	Zaragoza	Hombres	Más de 64	11
2017	50	Zaragoza	Mujeres	16-19	20
2017	50	Zaragoza	Mujeres	20-24	164
2017	50	Zaragoza	Mujeres	25-29	276
2017	50	Zaragoza	Mujeres	30-34	346
2017	50	Zaragoza	Mujeres	35-39	386
2017	50	Zaragoza	Mujeres	40-44	420
2017	50	Zaragoza	Mujeres	45-49	458
2017	50	Zaragoza	Mujeres	50-54	465
2017	50	Zaragoza	Mujeres	55-59	374
2017	50	Zaragoza	Mujeres	60-64	182
2017	50	Zaragoza	Mujeres	Más de 64	9
2016	22	Huesca	Hombres	16-19	27
2016	22	Huesca	Hombres	20-24	115
2016	22	Huesca	Hombres	25-29	203
2016	22	Huesca	Hombres	30-34	250
2016	22	Huesca	Hombres	35-39	355
2016	22	Huesca	Hombres	40-44	254
2016	22	Huesca	Hombres	45-49	274
2016	22	Huesca	Hombres	50-54	229
2016	22	Huesca	Hombres	55-59	157
2016	22	Huesca	Hombres	60-64	61
2016	22	Huesca	Hombres	Más de 64	5
2016	22	Huesca	Mujeres	16-19	8
2016	22	Huesca	Mujeres	20-24	37
2016	22	Huesca	Mujeres	25-29	47
2016	22	Huesca	Mujeres	30-34	55
2016	22	Huesca	Mujeres	35-39	63
2016	22	Huesca	Mujeres	40-44	98
2016	22	Huesca	Mujeres	45-49	83
2016	22	Huesca	Mujeres	50-54	95
2016	22	Huesca	Mujeres	55-59	68
2016	22	Huesca	Mujeres	60-64	41
2016	22	Huesca	Mujeres	Más de 64	2
2016	44	Teruel	Hombres	16-19	10
2016	44	Teruel	Hombres	20-24	70
2016	44	Teruel	Hombres	25-29	99
2016	44	Teruel	Hombres	30-34	157
2016	44	Teruel	Hombres	35-39	177
2016	44	Teruel	Hombres	40-44	175
2016	44	Teruel	Hombres	45-49	174
2016	44	Teruel	Hombres	50-54	137
2016	44	Teruel	Hombres	55-59	85
2016	44	Teruel	Hombres	60-64	37
2016	44	Teruel	Mujeres	16-19	4
2016	44	Teruel	Mujeres	20-24	10
2016	44	Teruel	Mujeres	25-29	37
2016	44	Teruel	Mujeres	30-34	42
2016	44	Teruel	Mujeres	35-39	56
2016	44	Teruel	Mujeres	40-44	62
2016	44	Teruel	Mujeres	45-49	74
2016	44	Teruel	Mujeres	50-54	73
2016	44	Teruel	Mujeres	55-59	44
2016	44	Teruel	Mujeres	60-64	24
2016	50	Zaragoza	Hombres	16-19	43
2016	50	Zaragoza	Hombres	20-24	388
2016	50	Zaragoza	Hombres	25-29	654
2016	50	Zaragoza	Hombres	30-34	900
2016	50	Zaragoza	Hombres	35-39	1154
2016	50	Zaragoza	Hombres	40-44	1107
2016	50	Zaragoza	Hombres	45-49	926
2016	50	Zaragoza	Hombres	50-54	762
2016	50	Zaragoza	Hombres	55-59	559
2016	50	Zaragoza	Hombres	60-64	213
2016	50	Zaragoza	Hombres	Más de 64	5
2016	50	Zaragoza	Mujeres	16-19	10
2016	50	Zaragoza	Mujeres	20-24	133
2016	50	Zaragoza	Mujeres	25-29	268
2016	50	Zaragoza	Mujeres	30-34	338
2016	50	Zaragoza	Mujeres	35-39	418
2016	50	Zaragoza	Mujeres	40-44	479
2016	50	Zaragoza	Mujeres	45-49	430
2016	50	Zaragoza	Mujeres	50-54	444
2016	50	Zaragoza	Mujeres	55-59	347
2016	50	Zaragoza	Mujeres	60-64	191
2016	50	Zaragoza	Mujeres	Más de 64	18
2015	22	Huesca	Hombres	16-19	25
2015	22	Huesca	Hombres	20-24	109
2015	22	Huesca	Hombres	25-29	197
2015	22	Huesca	Hombres	30-34	242
2015	22	Huesca	Hombres	35-39	278
2015	22	Huesca	Hombres	40-44	249
2015	22	Huesca	Hombres	45-49	221
2015	22	Huesca	Hombres	50-54	190
2015	22	Huesca	Hombres	55-59	158
2015	22	Huesca	Hombres	60-64	58
2015	22	Huesca	Hombres	Más de 64	5
2015	22	Huesca	Mujeres	16-19	5
2015	22	Huesca	Mujeres	20-24	39
2015	22	Huesca	Mujeres	25-29	37
2015	22	Huesca	Mujeres	30-34	63
2015	22	Huesca	Mujeres	35-39	81
2015	22	Huesca	Mujeres	40-44	76
2015	22	Huesca	Mujeres	45-49	84
2015	22	Huesca	Mujeres	50-54	68
2015	22	Huesca	Mujeres	55-59	68
2015	22	Huesca	Mujeres	60-64	33
2015	22	Huesca	Mujeres	Más de 64	1
