Año	Nº Accidentes	Temporalidad	Ord_Temporalidad	Sector Código	Sector Descripción	CCAA
2003	392	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2003	4465	Indefinido	1	2	Industria y energía	Aragón
2003	988	Indefinido	1	3	Construcción	Aragón
2003	4488	Indefinido	1	4	Servicios	Aragón
2004	366	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2004	4533	Indefinido	1	2	Industria y energía	Aragón
2004	1079	Indefinido	1	3	Construcción	Aragón
2004	4555	Indefinido	1	4	Servicios	Aragón
2005	372	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2005	4512	Indefinido	1	2	Industria y energía	Aragón
2005	1253	Indefinido	1	3	Construcción	Aragón
2005	4952	Indefinido	1	4	Servicios	Aragón
2006	349	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2006	4853	Indefinido	1	2	Industria y energía	Aragón
2006	1423	Indefinido	1	3	Construcción	Aragón
2006	5011	Indefinido	1	4	Servicios	Aragón
2007	323	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2007	5135	Indefinido	1	2	Industria y energía	Aragón
2007	1643	Indefinido	1	3	Construcción	Aragón
2007	5648	Indefinido	1	4	Servicios	Aragón
2008	273	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2008	4863	Indefinido	1	2	Industria y energía	Aragón
2008	1721	Indefinido	1	3	Construcción	Aragón
2008	5780	Indefinido	1	4	Servicios	Aragón
2009	284	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2009	3618	Indefinido	1	2	Industria y energía	Aragón
2009	1273	Indefinido	1	3	Construcción	Aragón
2009	5025	Indefinido	1	4	Servicios	Aragón
2010	255	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2010	3492	Indefinido	1	2	Industria y energía	Aragón
2010	1146	Indefinido	1	3	Construcción	Aragón
2010	4939	Indefinido	1	4	Servicios	Aragón
2011	251	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2011	3049	Indefinido	1	2	Industria y energía	Aragón
2011	987	Indefinido	1	3	Construcción	Aragón
2011	4592	Indefinido	1	4	Servicios	Aragón
2012	262	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2012	2435	Indefinido	1	2	Industria y energía	Aragón
2012	708	Indefinido	1	3	Construcción	Aragón
2012	3983	Indefinido	1	4	Servicios	Aragón
2013	313	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2013	2267	Indefinido	1	2	Industria y energía	Aragón
2013	606	Indefinido	1	3	Construcción	Aragón
2013	4291	Indefinido	1	4	Servicios	Aragón
2014	296	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2014	2302	Indefinido	1	2	Industria y energía	Aragón
2014	528	Indefinido	1	3	Construcción	Aragón
2014	4147	Indefinido	1	4	Servicios	Aragón
2015	399	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2015	2392	Indefinido	1	2	Industria y energía	Aragón
2015	548	Indefinido	1	3	Construcción	Aragón
2015	4507	Indefinido	1	4	Servicios	Aragón
2016	459	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2016	2658	Indefinido	1	2	Industria y energía	Aragón
2016	593	Indefinido	1	3	Construcción	Aragón
2016	4784	Indefinido	1	4	Servicios	Aragón
2017	495	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2017	2580	Indefinido	1	2	Industria y energía	Aragón
2017	622	Indefinido	1	3	Construcción	Aragón
2017	4754	Indefinido	1	4	Servicios	Aragón
2018	595	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2018	2878	Indefinido	1	2	Industria y energía	Aragón
2018	728	Indefinido	1	3	Construcción	Aragón
2018	4831	Indefinido	1	4	Servicios	Aragón
2019	612	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2019	3215	Indefinido	1	2	Industria y energía	Aragón
2019	775	Indefinido	1	3	Construcción	Aragón
2019	4700	Indefinido	1	4	Servicios	Aragón
2003	303	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2003	3012	Temporal	2	2	Industria y energía	Aragón
2003	3685	Temporal	2	3	Construcción	Aragón
2003	3401	Temporal	2	4	Servicios	Aragón
2004	274	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2004	3041	Temporal	2	2	Industria y energía	Aragón
2004	3482	Temporal	2	3	Construcción	Aragón
2004	3467	Temporal	2	4	Servicios	Aragón
2005	399	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2005	2943	Temporal	2	2	Industria y energía	Aragón
2005	3823	Temporal	2	3	Construcción	Aragón
2005	3666	Temporal	2	4	Servicios	Aragón
2006	379	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2006	3320	Temporal	2	2	Industria y energía	Aragón
2006	4171	Temporal	2	3	Construcción	Aragón
2006	3676	Temporal	2	4	Servicios	Aragón
2007	366	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2007	3509	Temporal	2	2	Industria y energía	Aragón
2007	4544	Temporal	2	3	Construcción	Aragón
2007	3604	Temporal	2	4	Servicios	Aragón
2008	340	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2008	2670	Temporal	2	2	Industria y energía	Aragón
2008	3394	Temporal	2	3	Construcción	Aragón
2008	3686	Temporal	2	4	Servicios	Aragón
2009	317	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2009	1174	Temporal	2	2	Industria y energía	Aragón
2009	1626	Temporal	2	3	Construcción	Aragón
2009	2391	Temporal	2	4	Servicios	Aragón
2010	301	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2010	1177	Temporal	2	2	Industria y energía	Aragón
2010	1362	Temporal	2	3	Construcción	Aragón
2010	2223	Temporal	2	4	Servicios	Aragón
2011	327	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2011	1072	Temporal	2	2	Industria y energía	Aragón
2011	1057	Temporal	2	3	Construcción	Aragón
2011	2057	Temporal	2	4	Servicios	Aragón
2012	289	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2012	804	Temporal	2	2	Industria y energía	Aragón
2012	693	Temporal	2	3	Construcción	Aragón
2012	1645	Temporal	2	4	Servicios	Aragón
2013	352	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2013	678	Temporal	2	2	Industria y energía	Aragón
2013	432	Temporal	2	3	Construcción	Aragón
2013	1665	Temporal	2	4	Servicios	Aragón
2014	427	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2014	892	Temporal	2	2	Industria y energía	Aragón
2014	454	Temporal	2	3	Construcción	Aragón
2014	1961	Temporal	2	4	Servicios	Aragón
2015	452	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2015	1120	Temporal	2	2	Industria y energía	Aragón
2015	556	Temporal	2	3	Construcción	Aragón
2015	2212	Temporal	2	4	Servicios	Aragón
2016	499	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2016	1310	Temporal	2	2	Industria y energía	Aragón
2016	672	Temporal	2	3	Construcción	Aragón
2016	2586	Temporal	2	4	Servicios	Aragón
2017	605	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2017	1617	Temporal	2	2	Industria y energía	Aragón
2017	770	Temporal	2	3	Construcción	Aragón
2017	2849	Temporal	2	4	Servicios	Aragón
2018	506	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2018	1872	Temporal	2	2	Industria y energía	Aragón
2018	936	Temporal	2	3	Construcción	Aragón
2018	2971	Temporal	2	4	Servicios	Aragón
2019	523	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2019	1712	Temporal	2	2	Industria y energía	Aragón
2019	981	Temporal	2	3	Construcción	Aragón
2019	3036	Temporal	2	4	Servicios	Aragón
2003	6	Sin clasificar	3	2	Industria y energía	Aragón
2003	3	Sin clasificar	3	3	Construcción	Aragón
2003	65	Sin clasificar	3	4	Servicios	Aragón
2004	1	Sin clasificar	3	2	Industria y energía	Aragón
2004	4	Sin clasificar	3	4	Servicios	Aragón
2005	30	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2005	3	Sin clasificar	3	2	Industria y energía	Aragón
2005	13	Sin clasificar	3	3	Construcción	Aragón
2005	23	Sin clasificar	3	4	Servicios	Aragón
2006	75	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2006	8	Sin clasificar	3	2	Industria y energía	Aragón
2006	26	Sin clasificar	3	3	Construcción	Aragón
2006	60	Sin clasificar	3	4	Servicios	Aragón
2007	88	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2007	9	Sin clasificar	3	2	Industria y energía	Aragón
2007	37	Sin clasificar	3	3	Construcción	Aragón
2007	66	Sin clasificar	3	4	Servicios	Aragón
2008	147	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2008	17	Sin clasificar	3	2	Industria y energía	Aragón
2008	88	Sin clasificar	3	3	Construcción	Aragón
2008	71	Sin clasificar	3	4	Servicios	Aragón
2009	159	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2009	18	Sin clasificar	3	2	Industria y energía	Aragón
2009	63	Sin clasificar	3	3	Construcción	Aragón
2009	70	Sin clasificar	3	4	Servicios	Aragón
2010	147	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2010	15	Sin clasificar	3	2	Industria y energía	Aragón
2010	54	Sin clasificar	3	3	Construcción	Aragón
2010	83	Sin clasificar	3	4	Servicios	Aragón
2011	146	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2011	31	Sin clasificar	3	2	Industria y energía	Aragón
2011	68	Sin clasificar	3	3	Construcción	Aragón
2011	96	Sin clasificar	3	4	Servicios	Aragón
2012	156	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2012	31	Sin clasificar	3	2	Industria y energía	Aragón
2012	76	Sin clasificar	3	3	Construcción	Aragón
2012	81	Sin clasificar	3	4	Servicios	Aragón
2013	147	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2013	32	Sin clasificar	3	2	Industria y energía	Aragón
2013	67	Sin clasificar	3	3	Construcción	Aragón
2013	85	Sin clasificar	3	4	Servicios	Aragón
2014	134	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2014	20	Sin clasificar	3	2	Industria y energía	Aragón
2014	69	Sin clasificar	3	3	Construcción	Aragón
2014	95	Sin clasificar	3	4	Servicios	Aragón
2015	130	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2015	17	Sin clasificar	3	2	Industria y energía	Aragón
2015	53	Sin clasificar	3	3	Construcción	Aragón
2015	98	Sin clasificar	3	4	Servicios	Aragón
2016	143	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2016	24	Sin clasificar	3	2	Industria y energía	Aragón
2016	51	Sin clasificar	3	3	Construcción	Aragón
2016	82	Sin clasificar	3	4	Servicios	Aragón
2017	118	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2017	12	Sin clasificar	3	2	Industria y energía	Aragón
2017	53	Sin clasificar	3	3	Construcción	Aragón
2017	91	Sin clasificar	3	4	Servicios	Aragón
2018	110	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2018	24	Sin clasificar	3	2	Industria y energía	Aragón
2018	48	Sin clasificar	3	3	Construcción	Aragón
2018	81	Sin clasificar	3	4	Servicios	Aragón
2019	205	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2019	139	Sin clasificar	3	2	Industria y energía	Aragón
2019	259	Sin clasificar	3	3	Construcción	Aragón
2019	397	Sin clasificar	3	4	Servicios	Aragón
