Año	Temporalidad	Ord_Temporalidad	Sector Código	Sector Descripción	Nº Accidentes	Comarca Código	Comarca Nombre
2020	Indefinido	1	1	Agricultura, ganadería y pesca	1	01	La Jacetania
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	1	01	La Jacetania
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	3	02	Alto Gállego
2020	Temporal	2	1	Agricultura, ganadería y pesca	2	02	Alto Gállego
2020	Indefinido	1	1	Agricultura, ganadería y pesca	1	03	Sobrarbe
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	1	03	Sobrarbe
2020	Temporal	2	1	Agricultura, ganadería y pesca	1	03	Sobrarbe
2020	Indefinido	1	1	Agricultura, ganadería y pesca	8	04	La Ribagorza
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	6	04	La Ribagorza
2020	Temporal	2	1	Agricultura, ganadería y pesca	6	04	La Ribagorza
2020	Indefinido	1	1	Agricultura, ganadería y pesca	41	05	Cinco Villas
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	16	05	Cinco Villas
2020	Temporal	2	1	Agricultura, ganadería y pesca	40	05	Cinco Villas
2020	Indefinido	1	1	Agricultura, ganadería y pesca	66	06	Hoya de Huesca / Plana de Uesca
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	14	06	Hoya de Huesca / Plana de Uesca
2020	Temporal	2	1	Agricultura, ganadería y pesca	23	06	Hoya de Huesca / Plana de Uesca
2020	Indefinido	1	1	Agricultura, ganadería y pesca	16	07	Somontano de Barbastro
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	8	07	Somontano de Barbastro
2020	Temporal	2	1	Agricultura, ganadería y pesca	14	07	Somontano de Barbastro
2020	Indefinido	1	1	Agricultura, ganadería y pesca	27	08	Cinca Medio
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	5	08	Cinca Medio
2020	Temporal	2	1	Agricultura, ganadería y pesca	18	08	Cinca Medio
2020	Indefinido	1	1	Agricultura, ganadería y pesca	37	09	La Litera / La Llitera
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	7	09	La Litera / La Llitera
2020	Temporal	2	1	Agricultura, ganadería y pesca	14	09	La Litera / La Llitera
2020	Indefinido	1	1	Agricultura, ganadería y pesca	41	10	Los Monegros
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	7	10	Los Monegros
2020	Temporal	2	1	Agricultura, ganadería y pesca	28	10	Los Monegros
2020	Indefinido	1	1	Agricultura, ganadería y pesca	68	11	Bajo Cinca / Baix Cinca
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	9	11	Bajo Cinca / Baix Cinca
2020	Temporal	2	1	Agricultura, ganadería y pesca	106	11	Bajo Cinca / Baix Cinca
2020	Indefinido	1	1	Agricultura, ganadería y pesca	3	12	Tarazona y el Moncayo
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	2	12	Tarazona y el Moncayo
2020	Temporal	2	1	Agricultura, ganadería y pesca	3	12	Tarazona y el Moncayo
2020	Indefinido	1	1	Agricultura, ganadería y pesca	5	13	Campo de Borja
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	7	13	Campo de Borja
2020	Temporal	2	1	Agricultura, ganadería y pesca	9	13	Campo de Borja
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	1	14	Aranda
2020	Indefinido	1	1	Agricultura, ganadería y pesca	6	15	Ribera Alta del Ebro
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	1	15	Ribera Alta del Ebro
2020	Temporal	2	1	Agricultura, ganadería y pesca	9	15	Ribera Alta del Ebro
2020	Indefinido	1	1	Agricultura, ganadería y pesca	19	16	Valdejalón
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	12	16	Valdejalón
2020	Temporal	2	1	Agricultura, ganadería y pesca	48	16	Valdejalón
2020	Indefinido	1	1	Agricultura, ganadería y pesca	36	17	Central
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	13	17	Central
2020	Temporal	2	1	Agricultura, ganadería y pesca	38	17	Central
2020	Indefinido	1	1	Agricultura, ganadería y pesca	4	18	Ribera Baja del Ebro
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	4	18	Ribera Baja del Ebro
2020	Temporal	2	1	Agricultura, ganadería y pesca	11	18	Ribera Baja del Ebro
2020	Indefinido	1	1	Agricultura, ganadería y pesca	22	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	9	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2020	Temporal	2	1	Agricultura, ganadería y pesca	48	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2020	Indefinido	1	1	Agricultura, ganadería y pesca	12	20	Comunidad de Calatayud
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	12	20	Comunidad de Calatayud
2020	Temporal	2	1	Agricultura, ganadería y pesca	19	20	Comunidad de Calatayud
2020	Indefinido	1	1	Agricultura, ganadería y pesca	8	21	Campo de Cariñena
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	8	21	Campo de Cariñena
2020	Temporal	2	1	Agricultura, ganadería y pesca	16	21	Campo de Cariñena
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	2	22	Campo de Belchite
2020	Temporal	2	1	Agricultura, ganadería y pesca	1	22	Campo de Belchite
2020	Indefinido	1	1	Agricultura, ganadería y pesca	6	23	Bajo Martín
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	2	23	Bajo Martín
2020	Temporal	2	1	Agricultura, ganadería y pesca	6	23	Bajo Martín
2020	Indefinido	1	1	Agricultura, ganadería y pesca	6	24	Campo de Daroca
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	2	24	Campo de Daroca
2020	Temporal	2	1	Agricultura, ganadería y pesca	5	24	Campo de Daroca
2020	Indefinido	1	1	Agricultura, ganadería y pesca	3	25	Jiloca
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	6	25	Jiloca
2020	Temporal	2	1	Agricultura, ganadería y pesca	2	25	Jiloca
2020	Indefinido	1	1	Agricultura, ganadería y pesca	3	26	Cuencas Mineras
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	3	26	Cuencas Mineras
2020	Temporal	2	1	Agricultura, ganadería y pesca	2	26	Cuencas Mineras
2020	Indefinido	1	1	Agricultura, ganadería y pesca	1	27	Andorra-Sierra de Arcos
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	1	27	Andorra-Sierra de Arcos
2020	Temporal	2	1	Agricultura, ganadería y pesca	3	27	Andorra-Sierra de Arcos
2020	Indefinido	1	1	Agricultura, ganadería y pesca	13	28	Bajo Aragón
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	10	28	Bajo Aragón
2020	Temporal	2	1	Agricultura, ganadería y pesca	27	28	Bajo Aragón
2020	Indefinido	1	1	Agricultura, ganadería y pesca	55	29	Comunidad de Teruel
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	6	29	Comunidad de Teruel
2020	Temporal	2	1	Agricultura, ganadería y pesca	21	29	Comunidad de Teruel
2020	Indefinido	1	1	Agricultura, ganadería y pesca	2	30	Maestrazgo
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	3	30	Maestrazgo
2020	Temporal	2	1	Agricultura, ganadería y pesca	1	30	Maestrazgo
2020	Indefinido	1	1	Agricultura, ganadería y pesca	2	31	Sierra de Albarracín
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	3	31	Sierra de Albarracín
2020	Temporal	2	1	Agricultura, ganadería y pesca	1	31	Sierra de Albarracín
2020	Indefinido	1	1	Agricultura, ganadería y pesca	3	32	Gúdar-Javalambre
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	3	32	Gúdar-Javalambre
2020	Temporal	2	1	Agricultura, ganadería y pesca	3	32	Gúdar-Javalambre
2020	Indefinido	1	1	Agricultura, ganadería y pesca	6	33	Matarraña / Matarranya
2020	Sin clasificar	3	1	Agricultura, ganadería y pesca	6	33	Matarraña / Matarranya
2020	Temporal	2	1	Agricultura, ganadería y pesca	8	33	Matarraña / Matarranya
2020	Indefinido	1	1	Agricultura, ganadería y pesca	3	NC	Municipio del centro de trabajo fuera de Aragón
2020	Temporal	2	1	Agricultura, ganadería y pesca	21	NC	Municipio del centro de trabajo fuera de Aragón
2020	Indefinido	1	2	Industria y energía	4	01	La Jacetania
2020	Sin clasificar	3	2	Industria y energía	1	01	La Jacetania
2020	Temporal	2	2	Industria y energía	1	01	La Jacetania
2020	Indefinido	1	2	Industria y energía	12	02	Alto Gállego
2020	Temporal	2	2	Industria y energía	4	02	Alto Gállego
2020	Sin clasificar	3	2	Industria y energía	2	03	Sobrarbe
2020	Indefinido	1	2	Industria y energía	6	04	La Ribagorza
2020	Sin clasificar	3	2	Industria y energía	1	04	La Ribagorza
2020	Temporal	2	2	Industria y energía	4	04	La Ribagorza
2020	Indefinido	1	2	Industria y energía	149	05	Cinco Villas
2020	Sin clasificar	3	2	Industria y energía	14	05	Cinco Villas
2020	Temporal	2	2	Industria y energía	77	05	Cinco Villas
2020	Indefinido	1	2	Industria y energía	100	06	Hoya de Huesca / Plana de Uesca
2020	Sin clasificar	3	2	Industria y energía	5	06	Hoya de Huesca / Plana de Uesca
2020	Temporal	2	2	Industria y energía	33	06	Hoya de Huesca / Plana de Uesca
2020	Indefinido	1	2	Industria y energía	28	07	Somontano de Barbastro
2020	Sin clasificar	3	2	Industria y energía	3	07	Somontano de Barbastro
2020	Temporal	2	2	Industria y energía	34	07	Somontano de Barbastro
2020	Indefinido	1	2	Industria y energía	120	08	Cinca Medio
2020	Sin clasificar	3	2	Industria y energía	1	08	Cinca Medio
2020	Temporal	2	2	Industria y energía	53	08	Cinca Medio
2020	Indefinido	1	2	Industria y energía	192	09	La Litera / La Llitera
2020	Sin clasificar	3	2	Industria y energía	5	09	La Litera / La Llitera
2020	Temporal	2	2	Industria y energía	260	09	La Litera / La Llitera
2020	Indefinido	1	2	Industria y energía	22	10	Los Monegros
2020	Sin clasificar	3	2	Industria y energía	1	10	Los Monegros
2020	Temporal	2	2	Industria y energía	9	10	Los Monegros
2020	Indefinido	1	2	Industria y energía	74	11	Bajo Cinca / Baix Cinca
2020	Sin clasificar	3	2	Industria y energía	3	11	Bajo Cinca / Baix Cinca
2020	Temporal	2	2	Industria y energía	35	11	Bajo Cinca / Baix Cinca
2020	Indefinido	1	2	Industria y energía	17	12	Tarazona y el Moncayo
2020	Sin clasificar	3	2	Industria y energía	1	12	Tarazona y el Moncayo
2020	Temporal	2	2	Industria y energía	10	12	Tarazona y el Moncayo
2020	Indefinido	1	2	Industria y energía	34	13	Campo de Borja
2020	Sin clasificar	3	2	Industria y energía	2	13	Campo de Borja
2020	Temporal	2	2	Industria y energía	20	13	Campo de Borja
2020	Indefinido	1	2	Industria y energía	3	14	Aranda
2020	Temporal	2	2	Industria y energía	2	14	Aranda
2020	Indefinido	1	2	Industria y energía	187	15	Ribera Alta del Ebro
2020	Temporal	2	2	Industria y energía	121	15	Ribera Alta del Ebro
2020	Indefinido	1	2	Industria y energía	155	16	Valdejalón
2020	Temporal	2	2	Industria y energía	69	16	Valdejalón
2020	Indefinido	1	2	Industria y energía	1276	17	Central
2020	Sin clasificar	3	2	Industria y energía	40	17	Central
2020	Temporal	2	2	Industria y energía	533	17	Central
2020	Indefinido	1	2	Industria y energía	24	18	Ribera Baja del Ebro
2020	Sin clasificar	3	2	Industria y energía	2	18	Ribera Baja del Ebro
2020	Temporal	2	2	Industria y energía	10	18	Ribera Baja del Ebro
2020	Indefinido	1	2	Industria y energía	8	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2020	Sin clasificar	3	2	Industria y energía	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2020	Temporal	2	2	Industria y energía	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2020	Indefinido	1	2	Industria y energía	27	20	Comunidad de Calatayud
2020	Sin clasificar	3	2	Industria y energía	2	20	Comunidad de Calatayud
2020	Temporal	2	2	Industria y energía	18	20	Comunidad de Calatayud
2020	Indefinido	1	2	Industria y energía	39	21	Campo de Cariñena
2020	Temporal	2	2	Industria y energía	20	21	Campo de Cariñena
2020	Indefinido	1	2	Industria y energía	2	22	Campo de Belchite
2020	Temporal	2	2	Industria y energía	1	22	Campo de Belchite
2020	Indefinido	1	2	Industria y energía	31	23	Bajo Martín
2020	Temporal	2	2	Industria y energía	7	23	Bajo Martín
2020	Indefinido	1	2	Industria y energía	5	24	Campo de Daroca
2020	Sin clasificar	3	2	Industria y energía	1	24	Campo de Daroca
2020	Temporal	2	2	Industria y energía	1	24	Campo de Daroca
2020	Indefinido	1	2	Industria y energía	28	25	Jiloca
2020	Sin clasificar	3	2	Industria y energía	2	25	Jiloca
2020	Temporal	2	2	Industria y energía	14	25	Jiloca
2020	Indefinido	1	2	Industria y energía	47	26	Cuencas Mineras
2020	Temporal	2	2	Industria y energía	27	26	Cuencas Mineras
2020	Indefinido	1	2	Industria y energía	8	27	Andorra-Sierra de Arcos
2020	Sin clasificar	3	2	Industria y energía	1	27	Andorra-Sierra de Arcos
2020	Temporal	2	2	Industria y energía	3	27	Andorra-Sierra de Arcos
