Año	Nº Accidentes	Código	Municipio	Temporalidad	Sector Código	Sector Descripción
2017	4	22048	Barbastro	Indefinido	1	Agricultura, ganadería y pesca
2017	7	22048	Barbastro	Temporal	1	Agricultura, ganadería y pesca
2017	16	22048	Barbastro	Indefinido	2	Industria y energía
2017	20	22048	Barbastro	Temporal	2	Industria y energía
2017	6	22048	Barbastro	Indefinido	3	Construcción
2017	11	22048	Barbastro	Temporal	3	Construcción
2017	1	22048	Barbastro	Sin clasificar	3	Construcción
2017	58	22048	Barbastro	Indefinido	4	Servicios
2017	42	22048	Barbastro	Temporal	4	Servicios
2017	1	22048	Barbastro	Sin clasificar	4	Servicios
2017	5	22061	Binéfar	Indefinido	1	Agricultura, ganadería y pesca
2017	2	22061	Binéfar	Temporal	1	Agricultura, ganadería y pesca
2017	1	22061	Binéfar	Sin clasificar	1	Agricultura, ganadería y pesca
2017	53	22061	Binéfar	Indefinido	2	Industria y energía
2017	21	22061	Binéfar	Temporal	2	Industria y energía
2017	7	22061	Binéfar	Indefinido	3	Construcción
2017	17	22061	Binéfar	Temporal	3	Construcción
2017	29	22061	Binéfar	Indefinido	4	Servicios
2017	15	22061	Binéfar	Temporal	4	Servicios
2017	1	22061	Binéfar	Sin clasificar	4	Servicios
2017	31	22112	Fraga	Indefinido	1	Agricultura, ganadería y pesca
2017	58	22112	Fraga	Temporal	1	Agricultura, ganadería y pesca
2017	47	22112	Fraga	Indefinido	2	Industria y energía
2017	32	22112	Fraga	Temporal	2	Industria y energía
2017	12	22112	Fraga	Indefinido	3	Construcción
2017	11	22112	Fraga	Temporal	3	Construcción
2017	41	22112	Fraga	Indefinido	4	Servicios
2017	50	22112	Fraga	Temporal	4	Servicios
2017	40	22125	Huesca	Indefinido	1	Agricultura, ganadería y pesca
2017	15	22125	Huesca	Temporal	1	Agricultura, ganadería y pesca
2017	63	22125	Huesca	Indefinido	2	Industria y energía
2017	28	22125	Huesca	Temporal	2	Industria y energía
2017	31	22125	Huesca	Indefinido	3	Construcción
2017	47	22125	Huesca	Temporal	3	Construcción
2017	2	22125	Huesca	Sin clasificar	3	Construcción
2017	245	22125	Huesca	Indefinido	4	Servicios
2017	144	22125	Huesca	Temporal	4	Servicios
2017	6	22125	Huesca	Sin clasificar	4	Servicios
2017	4	22130	Jaca	Temporal	1	Agricultura, ganadería y pesca
2017	3	22130	Jaca	Indefinido	2	Industria y energía
2017	2	22130	Jaca	Temporal	2	Industria y energía
2017	8	22130	Jaca	Indefinido	3	Construcción
2017	19	22130	Jaca	Temporal	3	Construcción
2017	1	22130	Jaca	Sin clasificar	3	Construcción
2017	48	22130	Jaca	Indefinido	4	Servicios
2017	40	22130	Jaca	Temporal	4	Servicios
2017	6	22158	Monzón	Indefinido	1	Agricultura, ganadería y pesca
2017	4	22158	Monzón	Temporal	1	Agricultura, ganadería y pesca
2017	87	22158	Monzón	Indefinido	2	Industria y energía
2017	60	22158	Monzón	Temporal	2	Industria y energía
2017	12	22158	Monzón	Indefinido	3	Construcción
2017	14	22158	Monzón	Temporal	3	Construcción
2017	1	22158	Monzón	Sin clasificar	3	Construcción
2017	64	22158	Monzón	Indefinido	4	Servicios
2017	38	22158	Monzón	Temporal	4	Servicios
2017	2	22158	Monzón	Sin clasificar	4	Servicios
2017	5	22199	Sabiñánigo	Indefinido	2	Industria y energía
2017	2	22199	Sabiñánigo	Temporal	2	Industria y energía
2017	5	22199	Sabiñánigo	Indefinido	3	Construcción
2017	6	22199	Sabiñánigo	Temporal	3	Construcción
2017	1	22199	Sabiñánigo	Sin clasificar	3	Construcción
2017	26	22199	Sabiñánigo	Indefinido	4	Servicios
2017	13	22199	Sabiñánigo	Temporal	4	Servicios
2017	1	44013	Alcañiz	Indefinido	1	Agricultura, ganadería y pesca
2017	9	44013	Alcañiz	Temporal	1	Agricultura, ganadería y pesca
2017	1	44013	Alcañiz	Sin clasificar	1	Agricultura, ganadería y pesca
