Año	Dirección Provincial Código	Dirección Provincial Nombre	Temporalidad	Sector Código	Sector Descripción	Nº Accidentes
2018	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	271
2018	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	201
2018	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	25
2018	22	Huesca	Indefinido	2	Industria y energía	419
2018	22	Huesca	Temporal	2	Industria y energía	276
2018	22	Huesca	Sin clasificar	2	Industria y energía	6
2018	22	Huesca	Indefinido	3	Construcción	159
2018	22	Huesca	Temporal	3	Construcción	266
2018	22	Huesca	Sin clasificar	3	Construcción	6
2018	22	Huesca	Indefinido	4	Servicios	685
2018	22	Huesca	Temporal	4	Servicios	550
2018	22	Huesca	Sin clasificar	4	Servicios	12
2018	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	97
2018	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	46
2018	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	36
2018	44	Teruel	Indefinido	2	Industria y energía	358
2018	44	Teruel	Temporal	2	Industria y energía	207
2018	44	Teruel	Sin clasificar	2	Industria y energía	2
2018	44	Teruel	Indefinido	3	Construcción	98
2018	44	Teruel	Temporal	3	Construcción	93
2018	44	Teruel	Sin clasificar	3	Construcción	12
2018	44	Teruel	Indefinido	4	Servicios	354
2018	44	Teruel	Temporal	4	Servicios	246
2018	44	Teruel	Sin clasificar	4	Servicios	14
2018	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	227
2018	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	259
2018	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	49
2018	50	Zaragoza	Indefinido	2	Industria y energía	2101
2018	50	Zaragoza	Temporal	2	Industria y energía	1389
2018	50	Zaragoza	Sin clasificar	2	Industria y energía	16
2018	50	Zaragoza	Indefinido	3	Construcción	471
2018	50	Zaragoza	Temporal	3	Construcción	577
2018	50	Zaragoza	Sin clasificar	3	Construcción	30
2018	50	Zaragoza	Indefinido	4	Servicios	3792
2018	50	Zaragoza	Temporal	4	Servicios	2175
2018	50	Zaragoza	Sin clasificar	4	Servicios	55
2017	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	217
2017	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	254
2017	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	21
2017	22	Huesca	Indefinido	2	Industria y energía	380
2017	22	Huesca	Temporal	2	Industria y energía	226
2017	22	Huesca	Sin clasificar	2	Industria y energía	4
2017	22	Huesca	Indefinido	3	Construcción	144
2017	22	Huesca	Temporal	3	Construcción	215
2017	22	Huesca	Sin clasificar	3	Construcción	9
2017	22	Huesca	Indefinido	4	Servicios	717
2017	22	Huesca	Temporal	4	Servicios	533
2017	22	Huesca	Sin clasificar	4	Servicios	24
2017	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	57
2017	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	57
2017	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	28
2017	44	Teruel	Indefinido	2	Industria y energía	315
2017	44	Teruel	Temporal	2	Industria y energía	197
2017	44	Teruel	Sin clasificar	2	Industria y energía	1
2017	44	Teruel	Indefinido	3	Construcción	70
2017	44	Teruel	Temporal	3	Construcción	78
2017	44	Teruel	Sin clasificar	3	Construcción	12
2017	44	Teruel	Indefinido	4	Servicios	309
2017	44	Teruel	Temporal	4	Servicios	236
2017	44	Teruel	Sin clasificar	4	Servicios	7
2017	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	221
2017	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	294
2017	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	69
2017	50	Zaragoza	Indefinido	2	Industria y energía	1885
2017	50	Zaragoza	Temporal	2	Industria y energía	1194
2017	50	Zaragoza	Sin clasificar	2	Industria y energía	7
2017	50	Zaragoza	Indefinido	3	Construcción	408
2017	50	Zaragoza	Temporal	3	Construcción	477
2017	50	Zaragoza	Sin clasificar	3	Construcción	32
2017	50	Zaragoza	Indefinido	4	Servicios	3728
2017	50	Zaragoza	Temporal	4	Servicios	2080
2017	50	Zaragoza	Sin clasificar	4	Servicios	60
2016	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	210
2016	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	191
2016	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	35
2016	22	Huesca	Indefinido	2	Industria y energía	390
2016	22	Huesca	Temporal	2	Industria y energía	186
2016	22	Huesca	Sin clasificar	2	Industria y energía	5
2016	22	Huesca	Indefinido	3	Construcción	138
2016	22	Huesca	Temporal	3	Construcción	179
2016	22	Huesca	Sin clasificar	3	Construcción	11
2016	22	Huesca	Indefinido	4	Servicios	723
2016	22	Huesca	Temporal	4	Servicios	451
2016	22	Huesca	Sin clasificar	4	Servicios	8
2016	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	49
2016	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	59
2016	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	54
2016	44	Teruel	Indefinido	2	Industria y energía	401
2016	44	Teruel	Temporal	2	Industria y energía	189
2016	44	Teruel	Sin clasificar	2	Industria y energía	7
2016	44	Teruel	Indefinido	3	Construcción	85
2016	44	Teruel	Temporal	3	Construcción	80
2016	44	Teruel	Sin clasificar	3	Construcción	5
2016	44	Teruel	Indefinido	4	Servicios	361
2016	44	Teruel	Temporal	4	Servicios	248
2016	44	Teruel	Sin clasificar	4	Servicios	9
2016	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	200
2016	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	249
2016	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	54
2016	50	Zaragoza	Indefinido	2	Industria y energía	1867
2016	50	Zaragoza	Temporal	2	Industria y energía	935
2016	50	Zaragoza	Sin clasificar	2	Industria y energía	12
2016	50	Zaragoza	Indefinido	3	Construcción	370
2016	50	Zaragoza	Temporal	3	Construcción	413
2016	50	Zaragoza	Sin clasificar	3	Construcción	35
2016	50	Zaragoza	Indefinido	4	Servicios	3700
2016	50	Zaragoza	Temporal	4	Servicios	1887
2016	50	Zaragoza	Sin clasificar	4	Servicios	65
2015	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	177
2015	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	181
2015	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	24
2015	22	Huesca	Indefinido	2	Industria y energía	319
2015	22	Huesca	Temporal	2	Industria y energía	184
2015	22	Huesca	Sin clasificar	2	Industria y energía	2
2015	22	Huesca	Indefinido	3	Construcción	134
2015	22	Huesca	Temporal	3	Construcción	151
2015	22	Huesca	Sin clasificar	3	Construcción	19
2015	22	Huesca	Indefinido	4	Servicios	663
2015	22	Huesca	Temporal	4	Servicios	416
2015	22	Huesca	Sin clasificar	4	Servicios	17
2015	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	55
2015	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	50
2015	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	40
2015	44	Teruel	Indefinido	2	Industria y energía	237
2015	44	Teruel	Temporal	2	Industria y energía	128
2015	44	Teruel	Indefinido	3	Construcción	64
2015	44	Teruel	Temporal	3	Construcción	52
2015	44	Teruel	Sin clasificar	3	Construcción	6
2015	44	Teruel	Indefinido	4	Servicios	227
2015	44	Teruel	Temporal	4	Servicios	130
2015	44	Teruel	Sin clasificar	4	Servicios	8
2015	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	167
2015	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	221
2015	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	66
2015	50	Zaragoza	Indefinido	2	Industria y energía	1836
2015	50	Zaragoza	Temporal	2	Industria y energía	808
2015	50	Zaragoza	Sin clasificar	2	Industria y energía	15
2015	50	Zaragoza	Indefinido	3	Construcción	350
2015	50	Zaragoza	Temporal	3	Construcción	353
2015	50	Zaragoza	Sin clasificar	3	Construcción	28
2015	50	Zaragoza	Indefinido	4	Servicios	3617
2015	50	Zaragoza	Temporal	4	Servicios	1666
2015	50	Zaragoza	Sin clasificar	4	Servicios	73
2014	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	121
2014	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	181
2014	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	33
2014	22	Huesca	Indefinido	2	Industria y energía	323
2014	22	Huesca	Temporal	2	Industria y energía	156
2014	22	Huesca	Sin clasificar	2	Industria y energía	1
2014	22	Huesca	Indefinido	3	Construcción	146
2014	22	Huesca	Temporal	3	Construcción	118
2014	22	Huesca	Sin clasificar	3	Construcción	12
2014	22	Huesca	Indefinido	4	Servicios	648
2014	22	Huesca	Temporal	4	Servicios	376
2014	22	Huesca	Sin clasificar	4	Servicios	22
2014	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	46
2014	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	36
2014	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	42
2014	44	Teruel	Indefinido	2	Industria y energía	309
2014	44	Teruel	Temporal	2	Industria y energía	89
2014	44	Teruel	Sin clasificar	2	Industria y energía	3
2014	44	Teruel	Indefinido	3	Construcción	69
2014	44	Teruel	Temporal	3	Construcción	72
2014	44	Teruel	Sin clasificar	3	Construcción	14
2014	44	Teruel	Indefinido	4	Servicios	274
2014	44	Teruel	Temporal	4	Servicios	159
2014	44	Teruel	Sin clasificar	4	Servicios	17
2014	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	129
2014	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	210
2014	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	59
2014	50	Zaragoza	Indefinido	2	Industria y energía	1670
2014	50	Zaragoza	Temporal	2	Industria y energía	647
2014	50	Zaragoza	Sin clasificar	2	Industria y energía	16
2014	50	Zaragoza	Indefinido	3	Construcción	313
2014	50	Zaragoza	Temporal	3	Construcción	264
2014	50	Zaragoza	Sin clasificar	3	Construcción	43
2014	50	Zaragoza	Indefinido	4	Servicios	3225
2014	50	Zaragoza	Temporal	4	Servicios	1426
2014	50	Zaragoza	Sin clasificar	4	Servicios	56
2013	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	128
2013	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	152
2013	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	31
2013	22	Huesca	Indefinido	2	Industria y energía	295
2013	22	Huesca	Temporal	2	Industria y energía	117
2013	22	Huesca	Sin clasificar	2	Industria y energía	3
2013	22	Huesca	Indefinido	3	Construcción	160
2013	22	Huesca	Temporal	3	Construcción	109
2013	22	Huesca	Sin clasificar	3	Construcción	13
2013	22	Huesca	Indefinido	4	Servicios	652
2013	22	Huesca	Temporal	4	Servicios	307
2013	22	Huesca	Sin clasificar	4	Servicios	12
2013	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	40
2013	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	45
2013	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	53
2013	44	Teruel	Indefinido	2	Industria y energía	285
2013	44	Teruel	Temporal	2	Industria y energía	66
2013	44	Teruel	Sin clasificar	2	Industria y energía	3
2013	44	Teruel	Indefinido	3	Construcción	77
2013	44	Teruel	Temporal	3	Construcción	69
2013	44	Teruel	Sin clasificar	3	Construcción	10
2013	44	Teruel	Indefinido	4	Servicios	272
2013	44	Teruel	Temporal	4	Servicios	152
2013	44	Teruel	Sin clasificar	4	Servicios	9
2013	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	145
2013	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	155
2013	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	63
2013	50	Zaragoza	Indefinido	2	Industria y energía	1687
2013	50	Zaragoza	Temporal	2	Industria y energía	495
2013	50	Zaragoza	Sin clasificar	2	Industria y energía	26
2013	50	Zaragoza	Indefinido	3	Construcción	369
2013	50	Zaragoza	Temporal	3	Construcción	254
2013	50	Zaragoza	Sin clasificar	3	Construcción	44
2013	50	Zaragoza	Indefinido	4	Servicios	3367
2013	50	Zaragoza	Temporal	4	Servicios	1206
2013	50	Zaragoza	Sin clasificar	4	Servicios	64
2012	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	96
2012	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	109
2012	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	38
2012	22	Huesca	Indefinido	2	Industria y energía	340
2012	22	Huesca	Temporal	2	Industria y energía	129
2012	22	Huesca	Sin clasificar	2	Industria y energía	9
2012	22	Huesca	Indefinido	3	Construcción	160
2012	22	Huesca	Temporal	3	Construcción	139
2012	22	Huesca	Sin clasificar	3	Construcción	21
2012	22	Huesca	Indefinido	4	Servicios	586
2012	22	Huesca	Temporal	4	Servicios	308
2012	22	Huesca	Sin clasificar	4	Servicios	14
2012	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	30
2012	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	32
2012	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	53
2012	44	Teruel	Indefinido	2	Industria y energía	284
2012	44	Teruel	Temporal	2	Industria y energía	72
2012	44	Teruel	Sin clasificar	2	Industria y energía	4
2012	44	Teruel	Indefinido	3	Construcción	102
2012	44	Teruel	Temporal	3	Construcción	87
2012	44	Teruel	Sin clasificar	3	Construcción	12
2012	44	Teruel	Indefinido	4	Servicios	273
2012	44	Teruel	Temporal	4	Servicios	131
2012	44	Teruel	Sin clasificar	4	Servicios	9
2012	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	136
2012	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	148
2012	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	65
2012	50	Zaragoza	Indefinido	2	Industria y energía	1811
2012	50	Zaragoza	Temporal	2	Industria y energía	603
2012	50	Zaragoza	Sin clasificar	2	Industria y energía	18
2012	50	Zaragoza	Indefinido	3	Construcción	446
2012	50	Zaragoza	Temporal	3	Construcción	467
2012	50	Zaragoza	Sin clasificar	3	Construcción	43
2012	50	Zaragoza	Indefinido	4	Servicios	3124
2012	50	Zaragoza	Temporal	4	Servicios	1206
2012	50	Zaragoza	Sin clasificar	4	Servicios	58
2011	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	99
2011	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	109
2011	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	33
2011	22	Huesca	Indefinido	2	Industria y energía	380
2011	22	Huesca	Temporal	2	Industria y energía	174
2011	22	Huesca	Sin clasificar	2	Industria y energía	9
2011	22	Huesca	Indefinido	3	Construcción	268
2011	22	Huesca	Temporal	3	Construcción	218
2011	22	Huesca	Sin clasificar	3	Construcción	17
2011	22	Huesca	Indefinido	4	Servicios	643
