Año	División (2 dígitos) Descripción	Nº Accidentes	División (2 dígitos) Código	CCAA
2019	Actividades de construcción especializada	1165	43	Aragón
2019	Agricultura, ganadería, caza y servicios relacionados con las mismas	1033	01	Aragón
2019	Transporte terrestre y por tubería	895	49	Aragón
2019	Fabricación de productos metálicos, excepto maquinaria y equipo	794	25	Aragón
2019	Industria de la alimentación	741	10	Aragón
2019	Construcción de edificios	699	41	Aragón
2019	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	651	46	Aragón
2019	Fabricación de vehículos de motor, remolques y semirremolques	546	29	Aragón
2019	Administración Pública y defensa; Seguridad Social obligatoria	401	84	Aragón
2019	Comercio al por menor, excepto de vehículos de motor y motocicletas	399	47	Aragón
2018	Actividades de construcción especializada	945	43	Aragón
2018	Agricultura, ganadería, caza y servicios relacionados con las mismas	923	01	Aragón
2018	Transporte terrestre y por tubería	849	49	Aragón
2018	Fabricación de productos metálicos, excepto maquinaria y equipo	721	25	Aragón
2018	Construcción de edificios	628	41	Aragón
2018	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	586	46	Aragón
2018	Fabricación de vehículos de motor, remolques y semirremolques	553	29	Aragón
2018	Industria de la alimentación	536	10	Aragón
2018	Administración Pública y defensa; Seguridad Social obligatoria	470	84	Aragón
2018	Comercio al por menor, excepto de vehículos de motor y motocicletas	383	47	Aragón
2017	Agricultura, ganadería, caza y servicios relacionados con las mismas	942	01	Aragón
2017	Actividades de construcción especializada	828	43	Aragón
2017	Transporte terrestre y por tubería	807	49	Aragón
2017	Fabricación de productos metálicos, excepto maquinaria y equipo	681	25	Aragón
2017	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	571	46	Aragón
2017	Administración Pública y defensa; Seguridad Social obligatoria	556	84	Aragón
2017	Fabricación de vehículos de motor, remolques y semirremolques	515	29	Aragón
2017	Construcción de edificios	494	41	Aragón
2017	Industria de la alimentación	473	10	Aragón
2017	Comercio al por menor, excepto de vehículos de motor y motocicletas	369	47	Aragón
2016	Agricultura, ganadería, caza y servicios relacionados con las mismas	853	01	Aragón
2016	Actividades de construcción especializada	772	43	Aragón
2016	Transporte terrestre y por tubería	710	49	Aragón
2016	Fabricación de productos metálicos, excepto maquinaria y equipo	595	25	Aragón
2016	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	557	46	Aragón
2016	Administración Pública y defensa; Seguridad Social obligatoria	469	84	Aragón
2016	Construcción de edificios	453	41	Aragón
2016	Industria de la alimentación	436	10	Aragón
2016	Fabricación de vehículos de motor, remolques y semirremolques	421	29	Aragón
2016	Comercio al por menor, excepto de vehículos de motor y motocicletas	376	47	Aragón
2015	Agricultura, ganadería, caza y servicios relacionados con las mismas	768	01	Aragón
2015	Transporte terrestre y por tubería	725	49	Aragón
2015	Actividades de construcción especializada	652	43	Aragón
2015	Fabricación de productos metálicos, excepto maquinaria y equipo	572	25	Aragón
2015	Administración Pública y defensa; Seguridad Social obligatoria	502	84	Aragón
2015	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	484	46	Aragón
2015	Construcción de edificios	422	41	Aragón
2015	Fabricación de vehículos de motor, remolques y semirremolques	365	29	Aragón
2015	Industria de la alimentación	349	10	Aragón
2015	Comercio al por menor, excepto de vehículos de motor y motocicletas	342	47	Aragón
2014	Agricultura, ganadería, caza y servicios relacionados con las mismas	654	01	Aragón
2014	Transporte terrestre y por tubería	615	49	Aragón
2014	Actividades de construcción especializada	582	43	Aragón
2014	Administración Pública y defensa; Seguridad Social obligatoria	528	84	Aragón
2014	Fabricación de productos metálicos, excepto maquinaria y equipo	491	25	Aragón
2014	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	414	46	Aragón
2014	Construcción de edificios	405	41	Aragón
2014	Industria de la alimentación	338	10	Aragón
2014	Comercio al por menor, excepto de vehículos de motor y motocicletas	315	47	Aragón
2014	Fabricación de vehículos de motor, remolques y semirremolques	305	29	Aragón
