Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2008	351	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2008	319	34	Fabricación de vehículos de motor, remolques y semirremolques	10	Los Monegros
2008	309	45	Construcción	28	Bajo Aragón
2008	305	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	26	Cuencas Mineras
2008	292	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2008	237	55	Hostelería	30	Maestrazgo
2008	173	45	Construcción	33	Matarraña / Matarranya
2008	137	45	Construcción	07	Somontano de Barbastro
2008	137	45	Construcción	13	Campo de Borja
2008	130	45	Construcción	11	Bajo Cinca / Baix Cinca
2008	107	26	Fabricación de otros productos minerales no metálicos	07	Somontano de Barbastro
2008	107	26	Fabricación de otros productos minerales no metálicos	08	Cinca Medio
2008	106	92	Actividades recreativas, culturales y deportivas	04	La Ribagorza
2008	104	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	104	63	Actividades anexas a los transportes; actividades de agencias de viajes	NC	Municipio del centro de trabajo fuera de Aragón
2008	99	45	Construcción	05	Cinco Villas
2008	99	45	Construcción	21	Campo de Cariñena
2008	94	45	Construcción	10	Los Monegros
2008	94	45	Construcción	16	Valdejalón
2008	94	45	Construcción	18	Ribera Baja del Ebro
2008	94	45	Construcción	20	Comunidad de Calatayud
2008	94	45	Construcción	24	Campo de Daroca
2008	84	45	Construcción	29	Comunidad de Teruel
2008	67	45	Construcción	15	Ribera Alta del Ebro
2008	66	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	07	Somontano de Barbastro
2008	66	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	08	Cinca Medio
2008	63	45	Construcción	01	La Jacetania
2008	61	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2008	61	45	Construcción	12	Tarazona y el Moncayo
2008	49	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2008	46	45	Construcción	02	Alto Gállego
2008	46	45	Construcción	09	La Litera / La Llitera
2008	46	29	Industria de la construción de maquinaria y equipo mecánico	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	46	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2008	44	29	Industria de la construción de maquinaria y equipo mecánico	06	Hoya de Huesca / Plana de Uesca
2008	43	93	Actividades diversas de servicios personales	NC	Municipio del centro de trabajo fuera de Aragón
2008	35	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2008	35	26	Fabricación de otros productos minerales no metálicos	20	Comunidad de Calatayud
2008	35	28	Fabricación de productos metálicos, excepto maquinaria y equipo	22	Campo de Belchite
2008	35	26	Fabricación de otros productos minerales no metálicos	29	Comunidad de Teruel
2008	35	45	Construcción	30	Maestrazgo
2008	35	45	Construcción	31	Sierra de Albarracín
2008	34	26	Fabricación de otros productos minerales no metálicos	18	Ribera Baja del Ebro
2008	33	60	Transporte terrestre; transporte por tuberías	21	Campo de Cariñena
2008	33	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2008	33	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	33	Matarraña / Matarranya
2008	30	29	Industria de la construción de maquinaria y equipo mecánico	05	Cinco Villas
2008	30	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	09	La Litera / La Llitera
2008	30	29	Industria de la construción de maquinaria y equipo mecánico	12	Tarazona y el Moncayo
2008	30	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	29	15	Industria de productos alimenticios y bebidas	13	Campo de Borja
2008	27	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2008	27	29	Industria de la construción de maquinaria y equipo mecánico	11	Bajo Cinca / Baix Cinca
2008	26	45	Construcción	14	Aranda
2008	26	45	Construcción	25	Jiloca
2008	26	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2008	26	55	Hostelería	28	Bajo Aragón
2008	25	45	Construcción	17	Central
2008	25	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2008	25	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2008	24	28	Fabricación de productos metálicos, excepto maquinaria y equipo	04	La Ribagorza
2008	23	28	Fabricación de productos metálicos, excepto maquinaria y equipo	01	La Jacetania
2008	23	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín
2008	19	34	Fabricación de vehículos de motor, remolques y semirremolques	17	Central
2008	18	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2008	17	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena
2008	17	60	Transporte terrestre; transporte por tuberías	31	Sierra de Albarracín
2008	16	75	Administración pública, defensa y seguridad social obligatoria	07	Somontano de Barbastro
2008	16	29	Industria de la construción de maquinaria y equipo mecánico	NC	Municipio del centro de trabajo fuera de Aragón
2008	15	17	Industria textil	13	Campo de Borja
2008	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
