Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Código	Municipio
2019	1	1	Directores y gerentes	Hombres	22048	Barbastro
2019	3	1	Directores y gerentes	Hombres	22061	Binéfar
2019	3	1	Directores y gerentes	Hombres	22112	Fraga
2019	2	1	Directores y gerentes	Hombres	22130	Jaca
2019	1	1	Directores y gerentes	Hombres	22199	Sabiñánigo
2019	1	1	Directores y gerentes	Hombres	44216	Teruel
2019	2	1	Directores y gerentes	Hombres	50074	Caspe
2019	1	1	Directores y gerentes	Hombres	50089	Cuarte de Huerva
2019	1	1	Directores y gerentes	Hombres	50095	Ejea de los Caballeros
2019	1	1	Directores y gerentes	Hombres	50182	Muela (La)
2019	2	1	Directores y gerentes	Hombres	50219	Puebla de Alfindén (La)
2019	1	1	Directores y gerentes	Hombres	50251	Tarazona
2019	66	1	Directores y gerentes	Hombres	50297	Zaragoza
2019	1	1	Directores y gerentes	Hombres	50298	Zuera
2019	1	1	Directores y gerentes	Mujeres	22112	Fraga
2019	3	1	Directores y gerentes	Mujeres	22125	Huesca
2019	1	1	Directores y gerentes	Mujeres	22130	Jaca
2019	1	1	Directores y gerentes	Mujeres	44013	Alcañiz
2019	1	1	Directores y gerentes	Mujeres	50074	Caspe
2019	35	1	Directores y gerentes	Mujeres	50297	Zaragoza
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	22048	Barbastro
2019	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22061	Binéfar
2019	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22112	Fraga
2019	13	2	Técnicos y profesionales científicos e intelectuales	Hombres	22125	Huesca
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	22130	Jaca
2019	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	22158	Monzón
2019	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22199	Sabiñánigo
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	44013	Alcañiz
2019	12	2	Técnicos y profesionales científicos e intelectuales	Hombres	44216	Teruel
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50067	Calatayud
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50074	Caspe
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50089	Cuarte de Huerva
2019	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	50095	Ejea de los Caballeros
2019	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50182	Muela (La)
2019	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50219	Puebla de Alfindén (La)
2019	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50251	Tarazona
2019	127	2	Técnicos y profesionales científicos e intelectuales	Hombres	50297	Zaragoza
2019	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50298	Zuera
2019	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22048	Barbastro
2019	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22061	Binéfar
2019	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22112	Fraga
2019	15	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22125	Huesca
2019	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22130	Jaca
2019	7	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22158	Monzón
2019	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22199	Sabiñánigo
2019	8	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44013	Alcañiz
2019	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44025	Andorra
2019	11	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44216	Teruel
2019	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50008	Alagón
2019	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50067	Calatayud
2019	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50074	Caspe
2019	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50089	Cuarte de Huerva
2019	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50095	Ejea de los Caballeros
2019	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50251	Tarazona
2019	195	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50297	Zaragoza
2019	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50298	Zuera
2019	5	3	Técnicos; profesionales de apoyo	Hombres	22048	Barbastro
2019	8	3	Técnicos; profesionales de apoyo	Hombres	22112	Fraga
2019	31	3	Técnicos; profesionales de apoyo	Hombres	22125	Huesca
2019	1	3	Técnicos; profesionales de apoyo	Hombres	22130	Jaca
2019	5	3	Técnicos; profesionales de apoyo	Hombres	22158	Monzón
2019	3	3	Técnicos; profesionales de apoyo	Hombres	44025	Andorra
2019	8	3	Técnicos; profesionales de apoyo	Hombres	44216	Teruel
2019	3	3	Técnicos; profesionales de apoyo	Hombres	50008	Alagón
2019	2	3	Técnicos; profesionales de apoyo	Hombres	50025	Almunia de Doña Godina (La)
2019	4	3	Técnicos; profesionales de apoyo	Hombres	50067	Calatayud
2019	1	3	Técnicos; profesionales de apoyo	Hombres	50074	Caspe
2019	13	3	Técnicos; profesionales de apoyo	Hombres	50089	Cuarte de Huerva
2019	1	3	Técnicos; profesionales de apoyo	Hombres	50095	Ejea de los Caballeros
2019	3	3	Técnicos; profesionales de apoyo	Hombres	50163	María de Huerva
2019	6	3	Técnicos; profesionales de apoyo	Hombres	50182	Muela (La)
2019	5	3	Técnicos; profesionales de apoyo	Hombres	50219	Puebla de Alfindén (La)
2019	2	3	Técnicos; profesionales de apoyo	Hombres	50251	Tarazona
