Año	Dirección Provincial Código	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Dirección Provincial Nombre
2010	22	9	1	Dirección de las empresas y de las administraciones públicas	Hombres	Huesca
2010	22	5	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Huesca
2010	44	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	Teruel
2010	44	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Teruel
2010	50	32	1	Dirección de las empresas y de las administraciones públicas	Hombres	Zaragoza
2010	50	7	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Zaragoza
2010	22	20	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2010	22	25	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2010	44	6	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2010	44	15	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2010	50	61	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2010	50	125	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2010	22	35	3	Técnicos y profesionales de apoyo	Hombres	Huesca
2010	22	22	3	Técnicos y profesionales de apoyo	Mujeres	Huesca
2010	44	18	3	Técnicos y profesionales de apoyo	Hombres	Teruel
2010	44	32	3	Técnicos y profesionales de apoyo	Mujeres	Teruel
2010	50	193	3	Técnicos y profesionales de apoyo	Hombres	Zaragoza
2010	50	166	3	Técnicos y profesionales de apoyo	Mujeres	Zaragoza
2010	22	14	4	Empleados de tipo administrativo	Hombres	Huesca
2010	22	51	4	Empleados de tipo administrativo	Mujeres	Huesca
2010	44	14	4	Empleados de tipo administrativo	Hombres	Teruel
2010	44	21	4	Empleados de tipo administrativo	Mujeres	Teruel
2010	50	90	4	Empleados de tipo administrativo	Hombres	Zaragoza
2010	50	216	4	Empleados de tipo administrativo	Mujeres	Zaragoza
2010	22	95	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Huesca
2010	22	218	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Huesca
2010	44	32	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Teruel
2010	44	127	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Teruel
2010	50	470	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Zaragoza
2010	50	1243	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Zaragoza
2010	22	90	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Huesca
2010	22	7	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Huesca
2010	44	58	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Teruel
2010	44	13	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Teruel
2010	50	207	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Zaragoza
2010	50	16	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Zaragoza
2010	22	763	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Huesca
2010	22	24	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Huesca
2010	44	479	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Teruel
2010	44	32	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Teruel
2010	50	2748	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Zaragoza
2010	50	113	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Zaragoza
2010	22	414	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2010	22	16	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2010	44	306	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2010	44	30	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2010	50	1978	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
