Año	Grupo Antigüedad	Nº Accidentes	Temporalidad	CCAA
2015	Hasta 3 meses	446	Indefinido	Aragón
2015	Hasta 3 meses	2177	Temporal	Aragón
2015	Hasta 3 meses	18	Sin clasificar	Aragón
2015	De 4 a 6 meses	271	Indefinido	Aragón
2015	De 4 a 6 meses	638	Temporal	Aragón
2015	De 4 a 6 meses	9	Sin clasificar	Aragón
2015	De 7 a 9 meses	214	Indefinido	Aragón
2015	De 7 a 9 meses	352	Temporal	Aragón
2015	De 7 a 9 meses	3	Sin clasificar	Aragón
2015	De 10 a 12 meses	211	Indefinido	Aragón
2015	De 10 a 12 meses	248	Temporal	Aragón
2015	De 10 a 12 meses	7	Sin clasificar	Aragón
2015	De 13 meses a 3 años	1301	Indefinido	Aragón
2015	De 13 meses a 3 años	514	Temporal	Aragón
2015	De 13 meses a 3 años	42	Sin clasificar	Aragón
2015	De 37 meses a 10 años	3210	Indefinido	Aragón
2015	De 37 meses a 10 años	344	Temporal	Aragón
2015	De 37 meses a 10 años	150	Sin clasificar	Aragón
2015	Más de 10 años	2193	Indefinido	Aragón
2015	Más de 10 años	67	Temporal	Aragón
2015	Más de 10 años	69	Sin clasificar	Aragón
2014	Hasta 3 meses	353	Indefinido	Aragón
2014	Hasta 3 meses	1867	Temporal	Aragón
2014	Hasta 3 meses	16	Sin clasificar	Aragón
2014	De 4 a 6 meses	228	Indefinido	Aragón
2014	De 4 a 6 meses	477	Temporal	Aragón
2014	De 4 a 6 meses	12	Sin clasificar	Aragón
2014	De 7 a 9 meses	191	Indefinido	Aragón
2014	De 7 a 9 meses	319	Temporal	Aragón
2014	De 7 a 9 meses	6	Sin clasificar	Aragón
2014	De 10 a 12 meses	164	Indefinido	Aragón
2014	De 10 a 12 meses	152	Temporal	Aragón
2014	De 10 a 12 meses	6	Sin clasificar	Aragón
2014	De 13 meses a 3 años	1154	Indefinido	Aragón
2014	De 13 meses a 3 años	522	Temporal	Aragón
2014	De 13 meses a 3 años	35	Sin clasificar	Aragón
2014	De 37 meses a 10 años	3151	Indefinido	Aragón
2014	De 37 meses a 10 años	327	Temporal	Aragón
2014	De 37 meses a 10 años	181	Sin clasificar	Aragón
2014	Más de 10 años	2032	Indefinido	Aragón
2014	Más de 10 años	70	Temporal	Aragón
2014	Más de 10 años	62	Sin clasificar	Aragón
2013	Hasta 3 meses	338	Indefinido	Aragón
2013	Hasta 3 meses	1439	Temporal	Aragón
2013	Hasta 3 meses	15	Sin clasificar	Aragón
2013	De 4 a 6 meses	201	Indefinido	Aragón
2013	De 4 a 6 meses	433	Temporal	Aragón
2013	De 4 a 6 meses	8	Sin clasificar	Aragón
2013	De 7 a 9 meses	182	Indefinido	Aragón
2013	De 7 a 9 meses	234	Temporal	Aragón
2013	De 7 a 9 meses	8	Sin clasificar	Aragón
2013	De 10 a 12 meses	166	Indefinido	Aragón
2013	De 10 a 12 meses	165	Temporal	Aragón
2013	De 10 a 12 meses	3	Sin clasificar	Aragón
2013	De 13 meses a 3 años	1355	Indefinido	Aragón
2013	De 13 meses a 3 años	467	Temporal	Aragón
2013	De 13 meses a 3 años	36	Sin clasificar	Aragón
2013	De 37 meses a 10 años	3233	Indefinido	Aragón
2013	De 37 meses a 10 años	354	Temporal	Aragón
2013	De 37 meses a 10 años	170	Sin clasificar	Aragón
2013	Más de 10 años	2002	Indefinido	Aragón
2013	Más de 10 años	35	Temporal	Aragón
2013	Más de 10 años	91	Sin clasificar	Aragón
2012	Hasta 3 meses	323	Indefinido	Aragón
