Año	Grupo Antigüedad	Nº Accidentes	Temporalidad	Comarca Código	Comarca Nombre
2016	Hasta 3 meses	10	Indefinido	01	La Jacetania
2016	Hasta 3 meses	32	Temporal	01	La Jacetania
2016	Hasta 3 meses	1	Sin clasificar	01	La Jacetania
2016	Hasta 3 meses	13	Indefinido	02	Alto Gállego
2016	Hasta 3 meses	26	Temporal	02	Alto Gállego
2016	Hasta 3 meses	3	Indefinido	03	Sobrarbe
2016	Hasta 3 meses	17	Temporal	03	Sobrarbe
2016	Hasta 3 meses	10	Indefinido	04	La Ribagorza
2016	Hasta 3 meses	31	Temporal	04	La Ribagorza
2016	Hasta 3 meses	10	Indefinido	05	Cinco Villas
2016	Hasta 3 meses	72	Temporal	05	Cinco Villas
2016	Hasta 3 meses	30	Indefinido	06	Hoya de Huesca / Plana de Uesca
2016	Hasta 3 meses	102	Temporal	06	Hoya de Huesca / Plana de Uesca
2016	Hasta 3 meses	8	Indefinido	07	Somontano de Barbastro
2016	Hasta 3 meses	55	Temporal	07	Somontano de Barbastro
2016	Hasta 3 meses	9	Indefinido	08	Cinca Medio
2016	Hasta 3 meses	66	Temporal	08	Cinca Medio
2016	Hasta 3 meses	1	Sin clasificar	08	Cinca Medio
2016	Hasta 3 meses	6	Indefinido	09	La Litera / La Llitera
2016	Hasta 3 meses	29	Temporal	09	La Litera / La Llitera
2016	Hasta 3 meses	7	Indefinido	10	Los Monegros
2016	Hasta 3 meses	16	Temporal	10	Los Monegros
2016	Hasta 3 meses	30	Indefinido	11	Bajo Cinca / Baix Cinca
2016	Hasta 3 meses	139	Temporal	11	Bajo Cinca / Baix Cinca
2016	Hasta 3 meses	4	Indefinido	12	Tarazona y el Moncayo
2016	Hasta 3 meses	16	Temporal	12	Tarazona y el Moncayo
2016	Hasta 3 meses	1	Indefinido	13	Campo de Borja
2016	Hasta 3 meses	39	Temporal	13	Campo de Borja
2016	Hasta 3 meses	5	Indefinido	14	Aranda
2016	Hasta 3 meses	9	Temporal	14	Aranda
2016	Hasta 3 meses	20	Indefinido	15	Ribera Alta del Ebro
2016	Hasta 3 meses	140	Temporal	15	Ribera Alta del Ebro
2016	Hasta 3 meses	19	Indefinido	16	Valdejalón
2016	Hasta 3 meses	144	Temporal	16	Valdejalón
2016	Hasta 3 meses	245	Indefinido	17	D.C. Zaragoza
2016	Hasta 3 meses	1188	Temporal	17	D.C. Zaragoza
2016	Hasta 3 meses	6	Sin clasificar	17	D.C. Zaragoza
2016	Hasta 3 meses	3	Indefinido	18	Ribera Baja del Ebro
2016	Hasta 3 meses	18	Temporal	18	Ribera Baja del Ebro
2016	Hasta 3 meses	8	Indefinido	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	Hasta 3 meses	57	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	Hasta 3 meses	2	Sin clasificar	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	Hasta 3 meses	7	Indefinido	20	Comunidad de Calatayud
2016	Hasta 3 meses	79	Temporal	20	Comunidad de Calatayud
2016	Hasta 3 meses	4	Indefinido	21	Campo de Cariñena
2016	Hasta 3 meses	22	Temporal	21	Campo de Cariñena
2016	Hasta 3 meses	1	Indefinido	22	Campo de Belchite
2016	Hasta 3 meses	4	Temporal	22	Campo de Belchite
2016	Hasta 3 meses	1	Indefinido	23	Bajo Martín
2016	Hasta 3 meses	11	Temporal	23	Bajo Martín
2016	Hasta 3 meses	3	Indefinido	24	Campo de Daroca
2016	Hasta 3 meses	4	Temporal	24	Campo de Daroca
2016	Hasta 3 meses	3	Indefinido	25	Jiloca
2016	Hasta 3 meses	16	Temporal	25	Jiloca
2016	Hasta 3 meses	6	Sin clasificar	25	Jiloca
2016	Hasta 3 meses	17	Temporal	26	Cuencas Mineras
2016	Hasta 3 meses	3	Indefinido	27	Andorra-Sierra de Arcos
2016	Hasta 3 meses	21	Temporal	27	Andorra-Sierra de Arcos
2016	Hasta 3 meses	7	Indefinido	28	Bajo Aragón
2016	Hasta 3 meses	28	Temporal	28	Bajo Aragón
2016	Hasta 3 meses	18	Indefinido	29	Comunidad de Teruel
2016	Hasta 3 meses	117	Temporal	29	Comunidad de Teruel
2016	Hasta 3 meses	3	Temporal	30	Maestrazgo
2016	Hasta 3 meses	6	Temporal	31	Sierra de Albarracín
2016	Hasta 3 meses	3	Indefinido	32	Gúdar-Javalambre
2016	Hasta 3 meses	12	Temporal	32	Gúdar-Javalambre
2016	Hasta 3 meses	5	Indefinido	33	Matarraña / Matarranya
2016	Hasta 3 meses	12	Temporal	33	Matarraña / Matarranya
2016	Hasta 3 meses	5	Indefinido	NC	Municipio del centro de trabajo fuera de Aragón
2016	Hasta 3 meses	53	Temporal	NC	Municipio del centro de trabajo fuera de Aragón
2016	Hasta 3 meses	2	Sin clasificar	NC	Municipio del centro de trabajo fuera de Aragón
2016	De 4 a 6 meses	6	Indefinido	01	La Jacetania
2016	De 4 a 6 meses	6	Temporal	01	La Jacetania
2016	De 4 a 6 meses	5	Indefinido	02	Alto Gállego
2016	De 4 a 6 meses	9	Temporal	02	Alto Gállego
2016	De 4 a 6 meses	2	Indefinido	03	Sobrarbe
2016	De 4 a 6 meses	2	Temporal	03	Sobrarbe
2016	De 4 a 6 meses	4	Indefinido	04	La Ribagorza
2016	De 4 a 6 meses	1	Indefinido	05	Cinco Villas
2016	De 4 a 6 meses	29	Temporal	05	Cinco Villas
2016	De 4 a 6 meses	12	Indefinido	06	Hoya de Huesca / Plana de Uesca
2016	De 4 a 6 meses	41	Temporal	06	Hoya de Huesca / Plana de Uesca
2016	De 4 a 6 meses	1	Sin clasificar	06	Hoya de Huesca / Plana de Uesca
2016	De 4 a 6 meses	10	Indefinido	07	Somontano de Barbastro
2016	De 4 a 6 meses	9	Temporal	07	Somontano de Barbastro
2016	De 4 a 6 meses	1	Sin clasificar	07	Somontano de Barbastro
2016	De 4 a 6 meses	8	Indefinido	08	Cinca Medio
2016	De 4 a 6 meses	21	Temporal	08	Cinca Medio
2016	De 4 a 6 meses	3	Indefinido	09	La Litera / La Llitera
2016	De 4 a 6 meses	11	Temporal	09	La Litera / La Llitera
2016	De 4 a 6 meses	4	Indefinido	10	Los Monegros
2016	De 4 a 6 meses	7	Temporal	10	Los Monegros
2016	De 4 a 6 meses	8	Indefinido	11	Bajo Cinca / Baix Cinca
2016	De 4 a 6 meses	24	Temporal	11	Bajo Cinca / Baix Cinca
2016	De 4 a 6 meses	1	Indefinido	12	Tarazona y el Moncayo
2016	De 4 a 6 meses	7	Temporal	12	Tarazona y el Moncayo
2016	De 4 a 6 meses	3	Indefinido	13	Campo de Borja
