Año	Dirección Provincial Código	Dirección Provincial Nombre	Grupo Antigüedad	Nº Accidentes	Temporalidad
2018	22	Huesca	Hasta 3 meses	185	Indefinido
2018	22	Huesca	Hasta 3 meses	711	Temporal
2018	22	Huesca	Hasta 3 meses	3	Sin clasificar
2018	22	Huesca	De 4 a 6 meses	80	Indefinido
2018	22	Huesca	De 4 a 6 meses	185	Temporal
2018	22	Huesca	De 7 a 9 meses	74	Indefinido
2018	22	Huesca	De 7 a 9 meses	112	Temporal
2018	22	Huesca	De 10 a 12 meses	58	Indefinido
2018	22	Huesca	De 10 a 12 meses	60	Temporal
2018	22	Huesca	De 10 a 12 meses	3	Sin clasificar
2018	22	Huesca	De 13 meses a 3 años	350	Indefinido
2018	22	Huesca	De 13 meses a 3 años	155	Temporal
2018	22	Huesca	De 13 meses a 3 años	4	Sin clasificar
2018	22	Huesca	De 37 meses a 10 años	420	Indefinido
2018	22	Huesca	De 37 meses a 10 años	47	Temporal
2018	22	Huesca	De 37 meses a 10 años	10	Sin clasificar
2018	22	Huesca	Más de 10 años	367	Indefinido
2018	22	Huesca	Más de 10 años	23	Temporal
2018	22	Huesca	Más de 10 años	29	Sin clasificar
2018	44	Teruel	Hasta 3 meses	66	Indefinido
2018	44	Teruel	Hasta 3 meses	286	Temporal
2018	44	Teruel	Hasta 3 meses	1	Sin clasificar
2018	44	Teruel	De 4 a 6 meses	52	Indefinido
2018	44	Teruel	De 4 a 6 meses	97	Temporal
2018	44	Teruel	De 4 a 6 meses	2	Sin clasificar
2018	44	Teruel	De 7 a 9 meses	43	Indefinido
2018	44	Teruel	De 7 a 9 meses	52	Temporal
2018	44	Teruel	De 7 a 9 meses	2	Sin clasificar
2018	44	Teruel	De 10 a 12 meses	41	Indefinido
2018	44	Teruel	De 10 a 12 meses	38	Temporal
2018	44	Teruel	De 10 a 12 meses	1	Sin clasificar
2018	44	Teruel	De 13 meses a 3 años	225	Indefinido
2018	44	Teruel	De 13 meses a 3 años	74	Temporal
2018	44	Teruel	De 13 meses a 3 años	4	Sin clasificar
2018	44	Teruel	De 37 meses a 10 años	273	Indefinido
2018	44	Teruel	De 37 meses a 10 años	31	Temporal
2018	44	Teruel	De 37 meses a 10 años	21	Sin clasificar
2018	44	Teruel	Más de 10 años	207	Indefinido
2018	44	Teruel	Más de 10 años	14	Temporal
2018	44	Teruel	Más de 10 años	33	Sin clasificar
2018	50	Zaragoza	Hasta 3 meses	448	Indefinido
2018	50	Zaragoza	Hasta 3 meses	2393	Temporal
2018	50	Zaragoza	Hasta 3 meses	8	Sin clasificar
2018	50	Zaragoza	De 4 a 6 meses	254	Indefinido
2018	50	Zaragoza	De 4 a 6 meses	696	Temporal
2018	50	Zaragoza	De 4 a 6 meses	4	Sin clasificar
2018	50	Zaragoza	De 7 a 9 meses	243	Indefinido
2018	50	Zaragoza	De 7 a 9 meses	368	Temporal
2018	50	Zaragoza	De 7 a 9 meses	4	Sin clasificar
2018	50	Zaragoza	De 10 a 12 meses	245	Indefinido
2018	50	Zaragoza	De 10 a 12 meses	234	Temporal
2018	50	Zaragoza	De 10 a 12 meses	4	Sin clasificar
2018	50	Zaragoza	De 13 meses a 3 años	1484	Indefinido
2018	50	Zaragoza	De 13 meses a 3 años	498	Temporal
2018	50	Zaragoza	De 13 meses a 3 años	22	Sin clasificar
2018	50	Zaragoza	De 37 meses a 10 años	1984	Indefinido
2018	50	Zaragoza	De 37 meses a 10 años	154	Temporal
2018	50	Zaragoza	De 37 meses a 10 años	49	Sin clasificar
2018	50	Zaragoza	Más de 10 años	1933	Indefinido
2018	50	Zaragoza	Más de 10 años	57	Temporal
2018	50	Zaragoza	Más de 10 años	59	Sin clasificar
2017	22	Huesca	Hasta 3 meses	125	Indefinido
2017	22	Huesca	Hasta 3 meses	649	Temporal
2017	22	Huesca	Hasta 3 meses	2	Sin clasificar
2017	22	Huesca	De 4 a 6 meses	73	Indefinido
2017	22	Huesca	De 4 a 6 meses	163	Temporal
2017	22	Huesca	De 4 a 6 meses	1	Sin clasificar
2017	22	Huesca	De 7 a 9 meses	45	Indefinido
2017	22	Huesca	De 7 a 9 meses	114	Temporal
2017	22	Huesca	De 7 a 9 meses	1	Sin clasificar
2017	22	Huesca	De 10 a 12 meses	50	Indefinido
2017	22	Huesca	De 10 a 12 meses	60	Temporal
2017	22	Huesca	De 10 a 12 meses	2	Sin clasificar
2017	22	Huesca	De 13 meses a 3 años	346	Indefinido
2017	22	Huesca	De 13 meses a 3 años	149	Temporal
2017	22	Huesca	De 13 meses a 3 años	5	Sin clasificar
2017	22	Huesca	De 37 meses a 10 años	449	Indefinido
2017	22	Huesca	De 37 meses a 10 años	69	Temporal
2017	22	Huesca	De 37 meses a 10 años	25	Sin clasificar
2017	22	Huesca	Más de 10 años	370	Indefinido
2017	22	Huesca	Más de 10 años	24	Temporal
2017	22	Huesca	Más de 10 años	22	Sin clasificar
2017	44	Teruel	Hasta 3 meses	47	Indefinido
2017	44	Teruel	Hasta 3 meses	305	Temporal
2017	44	Teruel	Hasta 3 meses	3	Sin clasificar
2017	44	Teruel	De 4 a 6 meses	29	Indefinido
2017	44	Teruel	De 4 a 6 meses	78	Temporal
2017	44	Teruel	De 4 a 6 meses	1	Sin clasificar
2017	44	Teruel	De 7 a 9 meses	26	Indefinido
2017	44	Teruel	De 7 a 9 meses	32	Temporal
2017	44	Teruel	De 7 a 9 meses	2	Sin clasificar
2017	44	Teruel	De 10 a 12 meses	21	Indefinido
2017	44	Teruel	De 10 a 12 meses	38	Temporal
2017	44	Teruel	De 13 meses a 3 años	169	Indefinido
2017	44	Teruel	De 13 meses a 3 años	68	Temporal
2017	44	Teruel	De 13 meses a 3 años	5	Sin clasificar
2017	44	Teruel	De 37 meses a 10 años	245	Indefinido
2017	44	Teruel	De 37 meses a 10 años	40	Temporal
2017	44	Teruel	De 37 meses a 10 años	23	Sin clasificar
2017	44	Teruel	Más de 10 años	214	Indefinido
2017	44	Teruel	Más de 10 años	7	Temporal
2017	44	Teruel	Más de 10 años	14	Sin clasificar
2017	50	Zaragoza	Hasta 3 meses	401	Indefinido
2017	50	Zaragoza	Hasta 3 meses	2276	Temporal
2017	50	Zaragoza	Hasta 3 meses	8	Sin clasificar
2017	50	Zaragoza	De 4 a 6 meses	221	Indefinido
2017	50	Zaragoza	De 4 a 6 meses	531	Temporal
2017	50	Zaragoza	De 4 a 6 meses	8	Sin clasificar
2017	50	Zaragoza	De 7 a 9 meses	239	Indefinido
2017	50	Zaragoza	De 7 a 9 meses	337	Temporal
2017	50	Zaragoza	De 7 a 9 meses	3	Sin clasificar
2017	50	Zaragoza	De 10 a 12 meses	248	Indefinido
2017	50	Zaragoza	De 10 a 12 meses	186	Temporal
2017	50	Zaragoza	De 10 a 12 meses	1	Sin clasificar
2017	50	Zaragoza	De 13 meses a 3 años	1331	Indefinido
2017	50	Zaragoza	De 13 meses a 3 años	477	Temporal
2017	50	Zaragoza	De 13 meses a 3 años	24	Sin clasificar
2017	50	Zaragoza	De 37 meses a 10 años	1970	Indefinido
2017	50	Zaragoza	De 37 meses a 10 años	183	Temporal
2017	50	Zaragoza	De 37 meses a 10 años	96	Sin clasificar
2017	50	Zaragoza	Más de 10 años	1832	Indefinido
2017	50	Zaragoza	Más de 10 años	55	Temporal
2017	50	Zaragoza	Más de 10 años	28	Sin clasificar
2016	22	Huesca	Hasta 3 meses	121	Indefinido
2016	22	Huesca	Hasta 3 meses	518	Temporal
2016	22	Huesca	Hasta 3 meses	2	Sin clasificar
2016	22	Huesca	De 4 a 6 meses	60	Indefinido
2016	22	Huesca	De 4 a 6 meses	133	Temporal
2016	22	Huesca	De 4 a 6 meses	2	Sin clasificar
2016	22	Huesca	De 7 a 9 meses	47	Indefinido
2016	22	Huesca	De 7 a 9 meses	74	Temporal
2016	22	Huesca	De 7 a 9 meses	1	Sin clasificar
2016	22	Huesca	De 10 a 12 meses	51	Indefinido
2016	22	Huesca	De 10 a 12 meses	42	Temporal
2016	22	Huesca	De 10 a 12 meses	1	Sin clasificar
2016	22	Huesca	De 13 meses a 3 años	285	Indefinido
2016	22	Huesca	De 13 meses a 3 años	143	Temporal
2016	22	Huesca	De 13 meses a 3 años	4	Sin clasificar
2016	22	Huesca	De 37 meses a 10 años	502	Indefinido
2016	22	Huesca	De 37 meses a 10 años	76	Temporal
2016	22	Huesca	De 37 meses a 10 años	27	Sin clasificar
2016	22	Huesca	Más de 10 años	395	Indefinido
2016	22	Huesca	Más de 10 años	21	Temporal
2016	22	Huesca	Más de 10 años	22	Sin clasificar
2016	44	Teruel	Hasta 3 meses	41	Indefinido
2016	44	Teruel	Hasta 3 meses	248	Temporal
2016	44	Teruel	Hasta 3 meses	6	Sin clasificar
2016	44	Teruel	De 4 a 6 meses	38	Indefinido
2016	44	Teruel	De 4 a 6 meses	74	Temporal
2016	44	Teruel	De 7 a 9 meses	30	Indefinido
2016	44	Teruel	De 7 a 9 meses	58	Temporal
2016	44	Teruel	De 10 a 12 meses	29	Indefinido
2016	44	Teruel	De 10 a 12 meses	37	Temporal
2016	44	Teruel	De 10 a 12 meses	3	Sin clasificar
2016	44	Teruel	De 13 meses a 3 años	167	Indefinido
2016	44	Teruel	De 13 meses a 3 años	83	Temporal
2016	44	Teruel	De 13 meses a 3 años	6	Sin clasificar
2016	44	Teruel	De 37 meses a 10 años	326	Indefinido
2016	44	Teruel	De 37 meses a 10 años	65	Temporal
2016	44	Teruel	De 37 meses a 10 años	40	Sin clasificar
2016	44	Teruel	Más de 10 años	265	Indefinido
2016	44	Teruel	Más de 10 años	11	Temporal
2016	44	Teruel	Más de 10 años	20	Sin clasificar
2016	50	Zaragoza	Hasta 3 meses	339	Indefinido
2016	50	Zaragoza	Hasta 3 meses	1835	Temporal
2016	50	Zaragoza	Hasta 3 meses	10	Sin clasificar
2016	50	Zaragoza	De 4 a 6 meses	200	Indefinido
2016	50	Zaragoza	De 4 a 6 meses	483	Temporal
2016	50	Zaragoza	De 4 a 6 meses	3	Sin clasificar
2016	50	Zaragoza	De 7 a 9 meses	198	Indefinido
2016	50	Zaragoza	De 7 a 9 meses	291	Temporal
2016	50	Zaragoza	De 7 a 9 meses	2	Sin clasificar
2016	50	Zaragoza	De 10 a 12 meses	180	Indefinido
2016	50	Zaragoza	De 10 a 12 meses	180	Temporal
2016	50	Zaragoza	De 10 a 12 meses	4	Sin clasificar
2016	50	Zaragoza	De 13 meses a 3 años	1154	Indefinido
2016	50	Zaragoza	De 13 meses a 3 años	443	Temporal
2016	50	Zaragoza	De 13 meses a 3 años	35	Sin clasificar
2016	50	Zaragoza	De 37 meses a 10 años	2329	Indefinido
2016	50	Zaragoza	De 37 meses a 10 años	199	Temporal
2016	50	Zaragoza	De 37 meses a 10 años	78	Sin clasificar
2016	50	Zaragoza	Más de 10 años	1737	Indefinido
2016	50	Zaragoza	Más de 10 años	53	Temporal
2016	50	Zaragoza	Más de 10 años	34	Sin clasificar
2015	22	Huesca	Hasta 3 meses	111	Indefinido
2015	22	Huesca	Hasta 3 meses	486	Temporal
2015	22	Huesca	Hasta 3 meses	2	Sin clasificar
2015	22	Huesca	De 4 a 6 meses	62	Indefinido
2015	22	Huesca	De 4 a 6 meses	131	Temporal
2015	22	Huesca	De 4 a 6 meses	3	Sin clasificar
2015	22	Huesca	De 7 a 9 meses	37	Indefinido
2015	22	Huesca	De 7 a 9 meses	82	Temporal
2015	22	Huesca	De 7 a 9 meses	1	Sin clasificar
2015	22	Huesca	De 10 a 12 meses	42	Indefinido
2015	22	Huesca	De 10 a 12 meses	44	Temporal
2015	22	Huesca	De 10 a 12 meses	1	Sin clasificar
2015	22	Huesca	De 13 meses a 3 años	212	Indefinido
2015	22	Huesca	De 13 meses a 3 años	114	Temporal
2015	22	Huesca	De 13 meses a 3 años	7	Sin clasificar
2015	22	Huesca	De 37 meses a 10 años	461	Indefinido
2015	22	Huesca	De 37 meses a 10 años	57	Temporal
2015	22	Huesca	De 37 meses a 10 años	25	Sin clasificar
2015	22	Huesca	Más de 10 años	368	Indefinido
2015	22	Huesca	Más de 10 años	18	Temporal
2015	22	Huesca	Más de 10 años	23	Sin clasificar
2015	44	Teruel	Hasta 3 meses	31	Indefinido
2015	44	Teruel	Hasta 3 meses	161	Temporal
2015	44	Teruel	Hasta 3 meses	3	Sin clasificar
2015	44	Teruel	De 4 a 6 meses	27	Indefinido
2015	44	Teruel	De 4 a 6 meses	57	Temporal
2015	44	Teruel	De 4 a 6 meses	1	Sin clasificar
2015	44	Teruel	De 7 a 9 meses	17	Indefinido
2015	44	Teruel	De 7 a 9 meses	26	Temporal
2015	44	Teruel	De 7 a 9 meses	1	Sin clasificar
2015	44	Teruel	De 10 a 12 meses	13	Indefinido
2015	44	Teruel	De 10 a 12 meses	17	Temporal
2015	44	Teruel	De 13 meses a 3 años	96	Indefinido
2015	44	Teruel	De 13 meses a 3 años	48	Temporal
2015	44	Teruel	De 13 meses a 3 años	3	Sin clasificar
2015	44	Teruel	De 37 meses a 10 años	233	Indefinido
2015	44	Teruel	De 37 meses a 10 años	44	Temporal
2015	44	Teruel	De 37 meses a 10 años	31	Sin clasificar
2015	44	Teruel	Más de 10 años	166	Indefinido
2015	44	Teruel	Más de 10 años	7	Temporal
2015	44	Teruel	Más de 10 años	15	Sin clasificar
2015	50	Zaragoza	Hasta 3 meses	304	Indefinido
2015	50	Zaragoza	Hasta 3 meses	1530	Temporal
2015	50	Zaragoza	Hasta 3 meses	13	Sin clasificar
2015	50	Zaragoza	De 4 a 6 meses	182	Indefinido
2015	50	Zaragoza	De 4 a 6 meses	450	Temporal
2015	50	Zaragoza	De 4 a 6 meses	5	Sin clasificar
2015	50	Zaragoza	De 7 a 9 meses	160	Indefinido
2015	50	Zaragoza	De 7 a 9 meses	244	Temporal
2015	50	Zaragoza	De 7 a 9 meses	1	Sin clasificar
2015	50	Zaragoza	De 10 a 12 meses	156	Indefinido
2015	50	Zaragoza	De 10 a 12 meses	187	Temporal
2015	50	Zaragoza	De 10 a 12 meses	6	Sin clasificar
