Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	CCAA
2018	3365	Menos de 10 trabajadores	Leves	1	Aragón
2017	3316	Menos de 10 trabajadores	Leves	1	Aragón
2016	3293	Menos de 10 trabajadores	Leves	1	Aragón
2015	2981	Menos de 10 trabajadores	Leves	1	Aragón
2014	2822	Menos de 10 trabajadores	Leves	1	Aragón
2013	2795	Menos de 10 trabajadores	Leves	1	Aragón
2012	2875	Menos de 10 trabajadores	Leves	1	Aragón
2011	3435	Menos de 10 trabajadores	Leves	1	Aragón
2010	3526	Menos de 10 trabajadores	Leves	1	Aragón
2009	3851	Menos de 10 trabajadores	Leves	1	Aragón
2008	5083	Menos de 10 trabajadores	Leves	1	Aragón
2007	5144	Menos de 10 trabajadores	Leves	1	Aragón
2006	5112	Menos de 10 trabajadores	Leves	1	Aragón
2005	4990	Menos de 10 trabajadores	Leves	1	Aragón
2004	4404	Menos de 10 trabajadores	Leves	1	Aragón
2003	4420	Menos de 10 trabajadores	Leves	1	Aragón
2018	30	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2017	46	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2016	36	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2015	31	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2014	39	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2013	33	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2012	36	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2011	32	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2010	33	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2009	45	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2008	45	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2007	60	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2006	56	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2005	69	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2004	58	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2003	78	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2018	7	Menos de 10 trabajadores	Mortales	3	Aragón
2017	4	Menos de 10 trabajadores	Mortales	3	Aragón
2016	8	Menos de 10 trabajadores	Mortales	3	Aragón
2015	9	Menos de 10 trabajadores	Mortales	3	Aragón
2014	4	Menos de 10 trabajadores	Mortales	3	Aragón
2013	10	Menos de 10 trabajadores	Mortales	3	Aragón
2012	7	Menos de 10 trabajadores	Mortales	3	Aragón
2011	10	Menos de 10 trabajadores	Mortales	3	Aragón
2010	7	Menos de 10 trabajadores	Mortales	3	Aragón
2009	13	Menos de 10 trabajadores	Mortales	3	Aragón
2008	9	Menos de 10 trabajadores	Mortales	3	Aragón
2007	17	Menos de 10 trabajadores	Mortales	3	Aragón
2006	6	Menos de 10 trabajadores	Mortales	3	Aragón
2005	7	Menos de 10 trabajadores	Mortales	3	Aragón
2004	17	Menos de 10 trabajadores	Mortales	3	Aragón
2003	11	Menos de 10 trabajadores	Mortales	3	Aragón
2018	1846	De 10 a 19 trabajadores	Leves	1	Aragón
