Año	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)	CCAA
2018	15183	Leves	1	01	General	Aragón
2018	258	Leves	1	05	Trabajadores Autónomos	Aragón
2018	1	Leves	1	08	Especial Trabajadores del Mar	Aragón
2018	4	Leves	1	09	Especial Minería del Carbón	Aragón
2017	14157	Leves	1	01	General	Aragón
2017	274	Leves	1	05	Trabajadores Autónomos	Aragón
2017	7	Leves	1	09	Especial Minería del Carbón	Aragón
2016	13379	Leves	1	01	General	Aragón
2016	292	Leves	1	05	Trabajadores Autónomos	Aragón
2016	3	Leves	1	08	Especial Trabajadores del Mar	Aragón
2016	85	Leves	1	09	Especial Minería del Carbón	Aragón
2015	12018	Leves	1	01	General	Aragón
2015	294	Leves	1	05	Trabajadores Autónomos	Aragón
2015	2	Leves	1	08	Especial Trabajadores del Mar	Aragón
2015	62	Leves	1	09	Especial Minería del Carbón	Aragón
2014	10865	Leves	1	01	General	Aragón
2014	310	Leves	1	05	Trabajadores Autónomos	Aragón
2014	55	Leves	1	09	Especial Minería del Carbón	Aragón
2013	10472	Leves	1	01	General	Aragón
2013	319	Leves	1	05	Trabajadores Autónomos	Aragón
2013	55	Leves	1	09	Especial Minería del Carbón	Aragón
2012	10558	Leves	1	01	General	Aragón
2012	317	Leves	1	05	Trabajadores Autónomos	Aragón
2012	101	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2012	15	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2012	66	Leves	1	09	Especial Minería del Carbón	Aragón
2011	12906	Leves	1	01	General	Aragón
2011	282	Leves	1	05	Trabajadores Autónomos	Aragón
2011	304	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2011	41	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2011	2	Leves	1	08	Especial Trabajadores del Mar	Aragón
2011	95	Leves	1	09	Especial Minería del Carbón	Aragón
2010	14378	Leves	1	01	General	Aragón
2010	257	Leves	1	05	Trabajadores Autónomos	Aragón
2010	291	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2010	41	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2010	98	Leves	1	09	Especial Minería del Carbón	Aragón
2009	15168	Leves	1	01	General	Aragón
2009	287	Leves	1	05	Trabajadores Autónomos	Aragón
2009	270	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2009	27	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2009	99	Leves	1	09	Especial Minería del Carbón	Aragón
2008	22130	Leves	1	01	General	Aragón
2008	257	Leves	1	05	Trabajadores Autónomos	Aragón
2008	255	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2008	60	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2008	177	Leves	1	09	Especial Minería del Carbón	Aragón
2007	24053	Leves	1	01	General	Aragón
2007	126	Leves	1	05	Trabajadores Autónomos	Aragón
2007	276	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2007	108	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2007	1	Leves	1	08	Especial Trabajadores del Mar	Aragón
2007	179	Leves	1	09	Especial Minería del Carbón	Aragón
2006	22457	Leves	1	01	General	Aragón
2006	115	Leves	1	05	Trabajadores Autónomos	Aragón
2006	300	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2006	130	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2006	147	Leves	1	09	Especial Minería del Carbón	Aragón
2005	21128	Leves	1	01	General	Aragón
2005	94	Leves	1	05	Trabajadores Autónomos	Aragón
2005	327	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2005	91	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2005	116	Leves	1	09	Especial Minería del Carbón	Aragón
2004	19980	Leves	1	01	General	Aragón
2004	71	Leves	1	05	Trabajadores Autónomos	Aragón
2004	262	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2004	96	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2004	123	Leves	1	09	Especial Minería del Carbón	Aragón
2003	20098	Leves	1	01	General	Aragón
2003	240	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2003	92	Leves	1	07	Especial Agrario Cuenta Propia	Aragón
2003	118	Leves	1	09	Especial Minería del Carbón	Aragón
2018	105	Graves o muy graves	2	01	General	Aragón
2018	3	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2017	102	Graves o muy graves	2	01	General	Aragón
2016	72	Graves o muy graves	2	01	General	Aragón
2016	6	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2016	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2015	77	Graves o muy graves	2	01	General	Aragón
2015	2	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2015	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2014	71	Graves o muy graves	2	01	General	Aragón
2014	8	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2014	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2013	61	Graves o muy graves	2	01	General	Aragón
2013	11	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2012	73	Graves o muy graves	2	01	General	Aragón
2012	10	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2012	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2011	62	Graves o muy graves	2	01	General	Aragón
2011	12	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2011	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2011	4	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
