Año	Nº Accidentes	Código	Municipio	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2018	189	22048	Barbastro	1	Leves	01	General
2018	2	22048	Barbastro	1	Leves	05	Trabajadores Autónomos
2018	1	22048	Barbastro	2	Graves o muy graves	01	General
2018	197	22061	Binéfar	1	Leves	01	General
2018	1	22061	Binéfar	1	Leves	05	Trabajadores Autónomos
2018	218	22112	Fraga	1	Leves	01	General
2018	3	22112	Fraga	1	Leves	05	Trabajadores Autónomos
2018	2	22112	Fraga	2	Graves o muy graves	01	General
2018	624	22125	Huesca	1	Leves	01	General
2018	5	22125	Huesca	1	Leves	05	Trabajadores Autónomos
2018	10	22125	Huesca	2	Graves o muy graves	01	General
2018	3	22125	Huesca	3	Mortales	01	General
2018	111	22130	Jaca	1	Leves	01	General
2018	1	22130	Jaca	1	Leves	05	Trabajadores Autónomos
2018	330	22158	Monzón	1	Leves	01	General
2018	5	22158	Monzón	1	Leves	05	Trabajadores Autónomos
2018	4	22158	Monzón	2	Graves o muy graves	01	General
2018	1	22158	Monzón	3	Mortales	01	General
2018	62	22199	Sabiñánigo	1	Leves	01	General
2018	2	22199	Sabiñánigo	2	Graves o muy graves	01	General
2018	1	22199	Sabiñánigo	3	Mortales	01	General
2018	154	44013	Alcañiz	1	Leves	01	General
2018	2	44013	Alcañiz	1	Leves	05	Trabajadores Autónomos
2018	1	44013	Alcañiz	3	Mortales	01	General
2018	47	44025	Andorra	1	Leves	01	General
2018	2	44025	Andorra	1	Leves	05	Trabajadores Autónomos
2018	528	44216	Teruel	1	Leves	01	General
2018	9	44216	Teruel	1	Leves	05	Trabajadores Autónomos
2018	3	44216	Teruel	2	Graves o muy graves	01	General
2018	143	50008	Alagón	1	Leves	01	General
2018	1	50008	Alagón	1	Leves	05	Trabajadores Autónomos
2018	158	50025	Almunia de Doña Godina (La)	1	Leves	01	General
2018	1	50025	Almunia de Doña Godina (La)	2	Graves o muy graves	01	General
2018	186	50067	Calatayud	1	Leves	01	General
2018	2	50067	Calatayud	1	Leves	05	Trabajadores Autónomos
2018	76	50074	Caspe	1	Leves	01	General
2018	1	50074	Caspe	1	Leves	05	Trabajadores Autónomos
2018	1	50074	Caspe	2	Graves o muy graves	01	General
2018	208	50089	Cuarte de Huerva	1	Leves	01	General
2018	1	50089	Cuarte de Huerva	2	Graves o muy graves	01	General
2018	285	50095	Ejea de los Caballeros	1	Leves	01	General
2018	9	50095	Ejea de los Caballeros	1	Leves	05	Trabajadores Autónomos
2018	3	50095	Ejea de los Caballeros	2	Graves o muy graves	01	General
2018	1	50095	Ejea de los Caballeros	3	Mortales	01	General
2018	41	50163	María de Huerva	1	Leves	01	General
2018	1	50163	María de Huerva	1	Leves	05	Trabajadores Autónomos
2018	242	50182	Muela (La)	1	Leves	01	General
2018	219	50219	Puebla de Alfindén (La)	1	Leves	01	General
2018	1	50219	Puebla de Alfindén (La)	1	Leves	05	Trabajadores Autónomos
2018	142	50251	Tarazona	1	Leves	01	General
2018	1	50251	Tarazona	1	Leves	05	Trabajadores Autónomos
2018	139	50252	Tauste	1	Leves	01	General
2018	2	50252	Tauste	1	Leves	05	Trabajadores Autónomos
2018	1	50252	Tauste	2	Graves o muy graves	01	General
2018	214	50272	Utebo	1	Leves	01	General
2018	2	50272	Utebo	1	Leves	05	Trabajadores Autónomos
2018	1	50272	Utebo	2	Graves o muy graves	01	General
2018	6360	50297	Zaragoza	1	Leves	01	General
2018	66	50297	Zaragoza	1	Leves	05	Trabajadores Autónomos
2018	35	50297	Zaragoza	2	Graves o muy graves	01	General
2018	1	50297	Zaragoza	2	Graves o muy graves	05	Trabajadores Autónomos
2018	7	50297	Zaragoza	3	Mortales	01	General
2018	147	50298	Zuera	1	Leves	01	General
2018	2	50298	Zuera	1	Leves	05	Trabajadores Autónomos
2018	3	50298	Zuera	2	Graves o muy graves	01	General
2017	162	22048	Barbastro	1	Leves	01	General
2017	2	22048	Barbastro	1	Leves	05	Trabajadores Autónomos
2017	2	22048	Barbastro	2	Graves o muy graves	01	General
2017	149	22061	Binéfar	1	Leves	01	General
2017	2	22061	Binéfar	1	Leves	05	Trabajadores Autónomos
2017	279	22112	Fraga	1	Leves	01	General
2017	2	22112	Fraga	2	Graves o muy graves	01	General
2017	1	22112	Fraga	3	Mortales	01	General
2017	603	22125	Huesca	1	Leves	01	General
2017	8	22125	Huesca	1	Leves	05	Trabajadores Autónomos
2017	10	22125	Huesca	2	Graves o muy graves	01	General
2017	122	22130	Jaca	1	Leves	01	General
2017	1	22130	Jaca	1	Leves	05	Trabajadores Autónomos
2017	2	22130	Jaca	2	Graves o muy graves	01	General
2017	283	22158	Monzón	1	Leves	01	General
2017	3	22158	Monzón	1	Leves	05	Trabajadores Autónomos
2017	1	22158	Monzón	2	Graves o muy graves	01	General
2017	1	22158	Monzón	3	Mortales	01	General
2017	56	22199	Sabiñánigo	1	Leves	01	General
2017	1	22199	Sabiñánigo	1	Leves	05	Trabajadores Autónomos
2017	1	22199	Sabiñánigo	2	Graves o muy graves	01	General
2017	147	44013	Alcañiz	1	Leves	01	General
2017	2	44013	Alcañiz	1	Leves	05	Trabajadores Autónomos
2017	1	44013	Alcañiz	3	Mortales	01	General
2017	50	44025	Andorra	1	Leves	01	General
2017	2	44025	Andorra	1	Leves	05	Trabajadores Autónomos
2017	2	44025	Andorra	2	Graves o muy graves	01	General
2017	1	44025	Andorra	3	Mortales	01	General
2017	468	44216	Teruel	1	Leves	01	General
2017	8	44216	Teruel	1	Leves	05	Trabajadores Autónomos
2017	4	44216	Teruel	2	Graves o muy graves	01	General
2017	2	44216	Teruel	3	Mortales	01	General
