Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2018	01	La Jacetania	18	Leves	1	01	General
2018	02	Alto Gállego	9	Leves	1	01	General
2018	03	Sobrarbe	3	Leves	1	01	General
2018	04	La Ribagorza	8	Leves	1	01	General
2018	05	Cinco Villas	18	Leves	1	01	General
2018	06	Hoya de Huesca / Plana de Uesca	73	Leves	1	01	General
2018	07	Somontano de Barbastro	21	Leves	1	01	General
2018	08	Cinca Medio	25	Leves	1	01	General
2018	09	La Litera / La Llitera	14	Leves	1	01	General
2018	10	Los Monegros	10	Leves	1	01	General
2018	10	Los Monegros	1	Leves	1	05	Trabajadores Autónomos
2018	11	Bajo Cinca / Baix Cinca	41	Leves	1	01	General
2018	12	Tarazona y el Moncayo	13	Leves	1	01	General
2018	13	Campo de Borja	11	Leves	1	01	General
2018	14	Aranda	6	Leves	1	01	General
2018	15	Ribera Alta del Ebro	89	Leves	1	01	General
2018	16	Valdejalón	50	Leves	1	01	General
2018	17	D.C. Zaragoza	1492	Leves	1	01	General
2018	17	D.C. Zaragoza	5	Leves	1	05	Trabajadores Autónomos
2018	18	Ribera Baja del Ebro	7	Leves	1	01	General
2018	18	Ribera Baja del Ebro	1	Leves	1	05	Trabajadores Autónomos
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8	Leves	1	01	General
2018	20	Comunidad de Calatayud	22	Leves	1	01	General
2018	21	Campo de Cariñena	16	Leves	1	01	General
2018	22	Campo de Belchite	2	Leves	1	01	General
2018	23	Bajo Martín	1	Leves	1	01	General
2018	24	Campo de Daroca	1	Leves	1	01	General
2018	25	Jiloca	7	Leves	1	01	General
2018	27	Andorra-Sierra de Arcos	4	Leves	1	01	General
2018	28	Bajo Aragón	21	Leves	1	01	General
2018	28	Bajo Aragón	1	Leves	1	05	Trabajadores Autónomos
2018	29	Comunidad de Teruel	59	Leves	1	01	General
2018	31	Sierra de Albarracín	5	Leves	1	01	General
2018	32	Gúdar-Javalambre	1	Leves	1	01	General
2018	33	Matarraña / Matarranya	6	Leves	1	01	General
2018	NC	Municipio del centro de trabajo fuera de Aragón	11	Leves	1	01	General
2017	01	La Jacetania	10	Leves	1	01	General
2017	02	Alto Gállego	13	Leves	1	01	General
2017	03	Sobrarbe	5	Leves	1	01	General
2017	04	La Ribagorza	11	Leves	1	01	General
2017	05	Cinco Villas	19	Leves	1	01	General
2017	06	Hoya de Huesca / Plana de Uesca	68	Leves	1	01	General
2017	07	Somontano de Barbastro	26	Leves	1	01	General
2017	08	Cinca Medio	28	Leves	1	01	General
2017	09	La Litera / La Llitera	8	Leves	1	01	General
2017	10	Los Monegros	8	Leves	1	01	General
2017	11	Bajo Cinca / Baix Cinca	36	Leves	1	01	General
2017	12	Tarazona y el Moncayo	8	Leves	1	01	General
2017	13	Campo de Borja	10	Leves	1	01	General
2017	14	Aranda	3	Leves	1	01	General
2017	15	Ribera Alta del Ebro	84	Leves	1	01	General
2017	16	Valdejalón	45	Leves	1	01	General
2017	17	D.C. Zaragoza	1445	Leves	1	01	General
2017	18	Ribera Baja del Ebro	9	Leves	1	01	General
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	Leves	1	01	General
2017	20	Comunidad de Calatayud	16	Leves	1	01	General
2017	21	Campo de Cariñena	8	Leves	1	01	General
2017	22	Campo de Belchite	1	Leves	1	01	General
2017	23	Bajo Martín	3	Leves	1	01	General
2017	24	Campo de Daroca	3	Leves	1	01	General
2017	25	Jiloca	7	Leves	1	01	General
2017	26	Cuencas Mineras	7	Leves	1	01	General
2017	27	Andorra-Sierra de Arcos	3	Leves	1	01	General
2017	28	Bajo Aragón	13	Leves	1	01	General
2017	29	Comunidad de Teruel	59	Leves	1	01	General
2017	30	Maestrazgo	1	Leves	1	01	General
2017	32	Gúdar-Javalambre	6	Leves	1	01	General
2017	33	Matarraña / Matarranya	3	Leves	1	01	General
2017	NC	Municipio del centro de trabajo fuera de Aragón	7	Leves	1	01	General
2016	01	La Jacetania	13	Leves	1	01	General
2016	02	Alto Gállego	11	Leves	1	01	General
2016	03	Sobrarbe	6	Leves	1	01	General
2016	04	La Ribagorza	6	Leves	1	01	General
2016	05	Cinco Villas	14	Leves	1	01	General
2016	06	Hoya de Huesca / Plana de Uesca	48	Leves	1	01	General
2016	07	Somontano de Barbastro	17	Leves	1	01	General
2016	08	Cinca Medio	21	Leves	1	01	General
2016	09	La Litera / La Llitera	11	Leves	1	01	General
2016	10	Los Monegros	15	Leves	1	01	General
2016	11	Bajo Cinca / Baix Cinca	23	Leves	1	01	General
2016	12	Tarazona y el Moncayo	7	Leves	1	01	General
2016	13	Campo de Borja	11	Leves	1	01	General
2016	15	Ribera Alta del Ebro	45	Leves	1	01	General
2016	16	Valdejalón	38	Leves	1	01	General
2016	17	D.C. Zaragoza	1319	Leves	1	01	General
2016	18	Ribera Baja del Ebro	14	Leves	1	01	General
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	Leves	1	01	General
2016	20	Comunidad de Calatayud	19	Leves	1	01	General
2016	21	Campo de Cariñena	5	Leves	1	01	General
2016	22	Campo de Belchite	1	Leves	1	01	General
2016	23	Bajo Martín	5	Leves	1	01	General
2016	24	Campo de Daroca	1	Leves	1	01	General
2016	25	Jiloca	8	Leves	1	01	General
2016	26	Cuencas Mineras	5	Leves	1	01	General
2016	27	Andorra-Sierra de Arcos	10	Leves	1	01	General
2016	28	Bajo Aragón	17	Leves	1	01	General
2016	29	Comunidad de Teruel	51	Leves	1	01	General
2016	31	Sierra de Albarracín	4	Leves	1	01	General
2016	32	Gúdar-Javalambre	2	Leves	1	01	General
2016	33	Matarraña / Matarranya	4	Leves	1	01	General
2016	NC	Municipio del centro de trabajo fuera de Aragón	2	Leves	1	01	General
2015	01	La Jacetania	11	Leves	1	01	General
2015	02	Alto Gállego	9	Leves	1	01	General
2015	03	Sobrarbe	2	Leves	1	01	General
2015	04	La Ribagorza	6	Leves	1	01	General
2015	05	Cinco Villas	23	Leves	1	01	General
2015	06	Hoya de Huesca / Plana de Uesca	66	Leves	1	01	General
2015	07	Somontano de Barbastro	20	Leves	1	01	General
2015	08	Cinca Medio	13	Leves	1	01	General
2015	09	La Litera / La Llitera	18	Leves	1	01	General
2015	10	Los Monegros	8	Leves	1	01	General
2015	11	Bajo Cinca / Baix Cinca	25	Leves	1	01	General
2015	12	Tarazona y el Moncayo	13	Leves	1	01	General
2015	13	Campo de Borja	3	Leves	1	01	General
2015	14	Aranda	3	Leves	1	01	General
2015	15	Ribera Alta del Ebro	38	Leves	1	01	General
2015	16	Valdejalón	29	Leves	1	01	General
2015	17	D.C. Zaragoza	1204	Leves	1	01	General
2015	17	D.C. Zaragoza	2	Leves	1	05	Trabajadores Autónomos
2015	18	Ribera Baja del Ebro	14	Leves	1	01	General
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1	01	General
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Leves	1	05	Trabajadores Autónomos
2015	20	Comunidad de Calatayud	22	Leves	1	01	General
2015	21	Campo de Cariñena	9	Leves	1	01	General
2015	23	Bajo Martín	2	Leves	1	01	General
2015	24	Campo de Daroca	2	Leves	1	01	General
2015	25	Jiloca	8	Leves	1	01	General
2015	26	Cuencas Mineras	4	Leves	1	01	General
