Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
01	La Jacetania	2017	Regadío	1439	1135	301	3	186	186	0	21	21	0	0	0	0	0	0	0	0	1646
01	La Jacetania	2017	Secano	21434	17669	3590	175	5670	1751	1931	139804	83524	15106	41174	17228	1988	0	9230	3227	4771	184136
02	Alto Gállego	2017	Regadío	755	562	169	24	32	32	0	2	2	0	0	0	0	0	0	0	0	789
02	Alto Gállego	2017	Secano	6877	5171	1677	29	2522	2522	0	109733	66050	6152	37531	16249	0	0	11429	2412	2408	135381
03	Sobrarbe	2017	Regadío	1291	1029	257	5	58	58	0	7	7	0	0	0	0	0	0	0	0	1356
03	Sobrarbe	2017	Secano	10916	8635	1889	392	6040	4205	24	174996	100274	15270	59452	27266	1811	0	19044	2131	6091	219218
04	La Ribagorza	2017	Regadío	1058	754	293	11	39	39	0	15	15	0	0	0	0	0	0	0	0	1112
04	La Ribagorza	2017	Secano	28251	22348	4486	1417	5896	5896	0	184105	90848	32989	60268	26613	0	0	17528	3474	5611	244865
05	Cinco Villas	2017	Regadío	70971	64577	4739	1655	0	0	0	77	77	0	0	0	0	0	0	0	0	71048
05	Cinco Villas	2017	Secano	76181	53602	21158	1421	45934	0	11233	94518	66275	8006	20237	18573	34701	0	3086	8288	7199	235206
06	Hoya de Huesca / Plana de Uesca	2017	Regadío	24355	20951	1972	1432	0	0	0	81	81	0	0	0	0	0	0	0	0	24436
06	Hoya de Huesca / Plana de Uesca	2017	Secano	100256	83733	10561	5962	42792	0	1207	69831	50535	8003	11293	15292	41585	0	4710	6445	4137	228171
07	Somontano de Barbastro	2017	Regadío	16804	13324	1835	1645	0	0	0	39	39	0	0	0	0	0	0	0	0	16843
07	Somontano de Barbastro	2017	Secano	36771	23330	5940	7501	20704	0	351	35592	18529	10326	6737	7281	20353	0	1201	3393	2687	100348
08	Cinca Medio	2017	Regadío	33578	27110	3538	2930	0	0	0	171	171	0	0	0	0	0	0	0	0	33749
08	Cinca Medio	2017	Secano	5983	3249	2123	611	5593	0	1047	5039	1232	556	3251	6975	4546	0	1309	2208	3458	23590
09	La Litera / La Llitera	2017	Regadío	26255	23007	1534	1714	0	0	0	10	10	0	0	0	0	0	0	0	0	26265
09	La Litera / La Llitera	2017	Secano	17231	12463	3100	1668	8162	0	110	16955	7450	6928	2577	4798	8052	0	1683	1996	1119	47146
10	Los Monegros	2017	Regadío	75790	68423	6083	1284	0	0	0	274	274	0	0	0	0	0	0	0	0	76064
10	Los Monegros	2017	Secano	108015	62442	43743	1830	50780	0	20975	25991	20260	3557	2174	15748	29805	0	2691	8506	4551	200534
11	Bajo Cinca / Baix Cinca	2017	Regadío	35374	15566	4643	15165	0	0	0	37	37	0	0	0	0	0	0	0	0	35411
11	Bajo Cinca / Baix Cinca	2017	Secano	38943	16561	19123	3259	27594	0	10929	29228	14029	15199	0	10898	16665	0	1713	4374	4811	106663
12	Tarazona y el Moncayo	2017	Regadío	6821	2797	3241	783	0	0	0	52	52	0	0	0	0	0	0	0	0	6873
12	Tarazona y el Moncayo	2017	Secano	9876	4395	4689	792	13554	0	6913	12517	8639	555	3323	2426	6641	0	624	1360	442	38373
13	Campo de Borja	2017	Regadío	12560	5135	2770	4655	0	0	0	11	11	0	0	0	0	0	0	0	0	12571
13	Campo de Borja	2017	Secano	24965	7761	8699	8505	16946	0	8836	10563	6117	4446	0	3946	8110	0	791	1921	1234	56420
14	Aranda	2017	Regadío	1032	84	735	213	0	0	0	5	5	0	0	0	0	0	0	0	0	1037
14	Aranda	2017	Secano	7851	2207	2987	2657	21584	0	10633	23932	10335	4647	8950	1765	10951	0	245	970	550	55132
15	Ribera Alta del Ebro	2017	Regadío	15646	13709	1295	642	0	0	0	251	251	0	0	0	0	0	0	0	0	15897
15	Ribera Alta del Ebro	2017	Secano	10709	5744	4854	111	6359	0	3113	2327	2089	238	0	6251	3246	0	1869	2390	1992	25646
16	Valdejalón	2017	Regadío	17455	5335	2975	9145	0	0	0	47	47	0	0	0	0	0	0	0	0	17502
16	Valdejalón	2017	Secano	37147	14391	16916	5840	25850	0	9176	6516	5135	1381	0	6941	16674	0	1972	3956	1013	76454
17	Central	2017	Regadío	31775	25495	4618	1662	0	0	0	75	75	0	0	0	0	0	0	0	0	31850
17	Central	2017	Secano	68627	33637	34390	600	80463	0	41972	19460	16540	2920	0	28482	38491	0	9866	16321	2295	197032
18	Ribera Baja del Ebro	2017	Regadío	14925	11555	1079	2291	0	0	0	4	4	0	0	0	0	0	0	0	0	14929
18	Ribera Baja del Ebro	2017	Secano	41930	20841	20959	130	30733	0	11807	5148	2284	2864	0	6411	18926	0	1173	3043	2195	84222
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Regadío	13925	4303	2584	7038	0	0	0	0	0	0	0	0	0	0	0	0	0	13925
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Secano	23988	7007	8494	8487	30741	0	9036	22334	12850	9484	0	8872	21705	0	574	2691	5607	85935
20	Comunidad de Calatayud	2017	Regadío	12225	3438	4622	4165	0	0	0	74	74	0	0	0	0	0	0	0	0	12299
20	Comunidad de Calatayud	2017	Secano	68935	31029	23257	14649	90659	0	48093	67347	37505	14118	15724	12003	42566	0	1479	6331	4193	238944
21	Campo de Cariñena	2017	Regadío	8378	1935	1055	5388	0	0	0	11	11	0	0	0	0	0	0	0	0	8389
