Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22001	Abiego	2017	Regadío	9	9	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
22001	Abiego	2017	Secano	3839	2232	1639	259	334	307	0	10	297	1173	616	456	101	127	0	17	81	29
22002	Abizanda	2017	Regadío	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22002	Abizanda	2017	Secano	4463	719	467	100	152	39	39	0	0	3327	2674	32	621	378	0	14	79	285
22003	Adahuesca	2017	Regadío	20	20	1	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0
22003	Adahuesca	2017	Secano	5255	990	614	119	257	1378	0	3	1375	2795	1945	492	358	92	0	13	50	29
22004	Agüero	2017	Regadío	28	28	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22004	Agüero	2017	Secano	9341	405	111	241	53	1121	0	13	1108	7672	7322	219	131	143	0	25	76	42
22006	Aísa	2017	Regadío	43	42	26	16	0	1	1	0	0	0	0	0	0	0	0	0	0	0
22006	Aísa	2017	Secano	8149	198	116	82	0	386	386	0	0	6599	3014	1029	2556	966	0	776	119	71
22007	Albalate de Cinca	2017	Regadío	2915	2911	1883	398	630	0	0	0	0	4	4	0	0	0	0	0	0	0
22007	Albalate de Cinca	2017	Secano	1515	197	32	148	17	586	0	299	287	23	22	1	0	709	0	243	142	324
22008	Albalatillo	2017	Regadío	428	426	382	41	3	0	0	0	0	2	2	0	0	0	0	0	0	0
22008	Albalatillo	2017	Secano	478	138	34	104	0	213	0	18	195	40	20	20	0	87	0	28	38	21
22009	Albelda	2017	Regadío	2545	2544	1802	241	501	0	0	0	0	1	1	0	0	0	0	0	0	0
22009	Albelda	2017	Secano	2689	1088	722	215	151	1034	0	6	1028	234	26	82	126	333	0	134	122	77
22011	Albero Alto	2017	Regadío	94	94	89	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22011	Albero Alto	2017	Secano	1841	1467	1287	179	1	99	0	0	99	184	16	36	132	91	0	8	53	30
22012	Albero Bajo	2017	Regadío	1296	1296	1220	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22012	Albero Bajo	2017	Secano	930	525	489	24	12	127	0	0	127	91	0	0	91	187	0	12	92	83
22013	Alberuela de Tubo	2017	Regadío	1467	1467	1320	135	12	0	0	0	0	0	0	0	0	0	0	0	0	0
22013	Alberuela de Tubo	2017	Secano	615	48	35	11	2	357	0	149	208	67	55	12	0	143	0	27	71	45
22014	Alcalá de Gurrea	2017	Regadío	590	590	409	52	129	0	0	0	0	0	0	0	0	0	0	0	0	0
22014	Alcalá de Gurrea	2017	Secano	6600	3765	3521	178	66	721	0	10	711	723	290	0	433	1391	0	1133	142	116
22015	Alcalá del Obispo	2017	Regadío	700	700	627	72	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22015	Alcalá del Obispo	2017	Secano	4118	3019	2743	240	36	78	0	7	71	607	254	181	172	414	0	182	116	116
