Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22	Huesca	2019	Regadío	210410	209249	166701	18198	24350	963	963	0	0	198	198	0	0	0	0	0	0	0
22	Huesca	2019	Secano	1352248	307956	219518	67817	20621	157597	18185	37907	101505	746214	423143	97655	225416	140481	0	70356	34602	35523
44	Teruel	2019	Regadío	38695	38297	20304	11353	6640	165	165	0	0	233	233	0	0	0	0	0	0	0
44	Teruel	2019	Secano	1441790	394821	192679	151310	50832	463628	0	263338	200290	524237	285282	180673	58282	59104	0	11324	35211	12569
50	Zaragoza	2019	Regadío	219884	219279	140556	33640	45083	0	0	0	0	605	605	0	0	0	0	0	0	0
50	Zaragoza	2019	Secano	1507701	578734	296054	220168	62512	444013	0	198512	245501	365991	231056	72468	62467	118963	0	24868	59182	34913
22	Huesca	2018	Regadío	210448	209290	168694	17902	22694	790	790	0	0	368	368	0	0	0	0	0	0	0
22	Huesca	2018	Secano	1352210	308235	219825	68382	20028	159498	17764	35165	106569	745141	422138	98673	224330	139336	0	69603	34278	35455
44	Teruel	2018	Regadío	39585	39175	19656	13025	6494	165	165	0	0	245	245	0	0	0	0	0	0	0
44	Teruel	2018	Secano	1441325	394862	187915	155649	51298	463093	0	261829	201264	524619	284857	180289	59473	58751	0	10869	35302	12580
50	Zaragoza	2018	Regadío	219809	219156	142459	32913	43784	0	0	0	0	653	653	0	0	0	0	0	0	0
50	Zaragoza	2018	Secano	1507873	579452	288782	227990	62680	444952	0	191010	253942	365411	230999	72244	62168	118058	0	24005	58929	35124
22	Huesca	2017	Regadío	212732	211771	170011	20313	21447	315	315	0	0	646	646	0	0	0	0	0	0	0
22	Huesca	2017	Secano	1351614	312268	222719	69683	19866	153694	14374	30825	108495	746474	423894	98768	223812	139178	0	69525	34180	35473
44	Teruel	2017	Regadío	39212	38779	20036	12785	5958	165	165	0	0	268	268	0	0	0	0	0	0	0
44	Teruel	2017	Secano	1442710	394089	191531	150939	51619	459413	0	261384	198029	530351	286291	183274	60786	58857	0	10893	35377	12587
50	Zaragoza	2017	Regadío	218098	217441	142993	31933	42515	0	0	0	0	657	657	0	0	0	0	0	0	0
50	Zaragoza	2017	Secano	1509588	589543	298356	228822	62365	437348	0	187985	249363	364951	231187	71982	61782	117746	0	24343	58755	34648
22	Huesca	2016	Regadío	214118	213781	177778	15815	20188	31	31	0	0	306	306	0	0	0	0	0	0	0
22	Huesca	2016	Secano	1349857	311729	233114	60944	17671	155754	13796	30068	111890	753931	420718	105414	227799	128443	0	60219	34050	34174
44	Teruel	2016	Regadío	31145	30661	20463	4966	5232	147	147	0	0	337	337	0	0	0	0	0	0	0
44	Teruel	2016	Secano	1449812	373445	187111	141151	45183	490570	4092	262533	223945	527189	285544	180768	60877	58608	0	10724	35280	12604
50	Zaragoza	2016	Regadío	198254	197597	146510	10797	40290	0	0	0	0	657	657	0	0	0	0	0	0	0
50	Zaragoza	2016	Secano	1529199	552121	293708	197279	61134	497625	0	183484	314141	363915	229156	73149	61610	115538	0	23341	58095	34102
22	Huesca	2015	Regadío	212851	212454	173559	19342	19553	22	22	0	0	375	375	0	0	0	0	0	0	0
22	Huesca	2015	Secano	1351124	313597	229034	66787	17776	156783	13470	31249	112064	755314	421176	105991	228147	125430	0	57640	33808	33982
44	Teruel	2015	Regadío	34300	33905	20743	7915	5247	147	147	0	0	248	248	0	0	0	0	0	0	0
44	Teruel	2015	Secano	1446657	405119	198740	161278	45101	467094	3972	259442	203680	516558	274916	183920	57722	57886	0	10433	34869	12584
50	Zaragoza	2015	Regadío	199025	198352	146179	11648	40525	0	0	0	0	673	673	0	0	0	0	0	0	0
50	Zaragoza	2015	Secano	1528429	553820	296774	196267	60779	497547	0	182572	314975	363133	228339	73269	61525	113929	0	22684	57139	34106
22	Huesca	2014	Regadío	210867	210357	170444	21034	18879	1	1	0	0	509	462	0	47	0	0	0	0	0
22	Huesca	2014	Secano	1352748	310323	226131	66183	18009	300364	8921	78750	212693	667586	403971	111047	152568	74475	0	5945	33564	34966
44	Teruel	2014	Regadío	38440	37541	20327	11889	5325	364	364	0	0	535	431	0	104	0	0	0	0	0
44	Teruel	2014	Secano	1441898	405135	203649	155368	46118	505675	11195	133772	360708	473380	189131	89621	194628	57708	0	10395	34961	12352
50	Zaragoza	2014	Regadío	199972	198888	149156	10143	39589	1	1	0	0	1083	981	0	102	0	0	0	0	0
50	Zaragoza	2014	Secano	1527481	562628	332094	168658	61876	476597	13202	51673	411722	370976	227728	37500	105748	117280	0	24800	57210	35270
22	Huesca	2013	Regadío	210370	209851	168943	22010	18898	8	8	0	0	511	464	0	47	0	0	0	0	0
22	Huesca	2013	Secano	1351922	311333	220311	72545	18477	311049	9669	84370	217010	653766	375908	121104	156754	75774	0	7320	33044	35410
44	Teruel	2013	Regadío	37885	37250	20118	11945	5187	338	338	0	0	297	236	0	61	0	0	0	0	0
44	Teruel	2013	Secano	1442453	411562	202595	162592	46375	508226	12233	134535	361458	465065	188770	88896	187399	57600	0	10466	34774	12360
50	Zaragoza	2013	Regadío	202115	201010	148695	12655	39660	1	1	0	0	1104	1007	0	97	0	0	0	0	0
50	Zaragoza	2013	Secano	1523826	599282	328089	208512	62681	440301	11842	56564	371895	371714	202534	50242	118938	112529	0	21533	57057	33939
22	Huesca	2012	Regadío	209633	209313	161516	27620	20177	8	8	0	0	312	266	0	46	0	0	0	0	0
22	Huesca	2012	Secano	1352659	311849	220381	72627	18841	318895	9762	87808	221325	646073	370077	121155	154841	75842	0	7450	33073	35319
44	Teruel	2012	Regadío	39926	37065	19227	12595	5243	837	837	0	0	2024	1979	0	45	0	0	0	0	0
44	Teruel	2012	Secano	1440117	406042	199689	159608	46745	509816	13617	135175	361024	467635	188710	88479	190446	56624	0	9877	34494	12253
50	Zaragoza	2012	Regadío	195995	194893	143512	14050	37331	1	1	0	0	1101	1005	0	96	0	0	0	0	0
50	Zaragoza	2012	Secano	1529946	600844	324086	213229	63529	445080	12195	56954	375931	372061	200862	51639	119560	111961	0	21578	56543	33840
22	Huesca	2011	Regadío	209603	209255	169155	21558	18542	33	33	0	0	315	264	0	51	0	0	0	0	0
22	Huesca	2011	Secano	1352689	313038	220067	73782	19189	325988	11565	92336	222087	631229	365880	116414	148935	82434	0	14929	32858	34647
44	Teruel	2011	Regadío	38486	36674	19203	12361	5110	917	917	0	0	895	848	0	47	0	0	0	0	0
44	Teruel	2011	Secano	1441853	405262	203010	156527	45725	515865	13705	132699	369461	464898	186882	86042	191974	55828	0	9466	34305	12057
50	Zaragoza	2011	Regadío	192019	190997	142437	11522	37038	1	1	0	0	1021	898	0	123	0	0	0	0	0
50	Zaragoza	2011	Secano	1447923	564653	322571	177517	64565	426493	11846	60359	354288	349475	200801	40138	108536	107302	0	20223	54800	32279
22	Huesca	2010	Regadío	208937	208752	164901	25647	18204	10	10	0	0	175	175	0	0	0	0	0	0	0
