Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
01	La Jacetania	2019	Regadío	3	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
01	La Jacetania	2019	Secano	209	64	2	0	0	0	0	0	0	0	0	0	62	0	0	0	0	12	0	12	0	0	0	133	0
02	Alto Gállego	2019	Regadío	19	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2019	Secano	30	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	26	0
03	Sobrarbe	2019	Regadío	10	6	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	3	0
03	Sobrarbe	2019	Secano	423	160	1	0	0	0	0	0	0	0	0	1	154	3	0	0	1	30	1	29	0	177	177	56	0
04	La Ribagorza	2019	Regadío	40	17	1	0	0	0	0	0	0	0	0	0	15	0	0	0	1	3	0	3	0	3	3	17	0
04	La Ribagorza	2019	Secano	1681	540	0	0	0	0	1	0	0	0	0	3	520	8	0	0	8	214	0	214	0	480	480	447	0
05	Cinco Villas	2019	Regadío	2029	1503	31	13	0	1	3	1	0	0	0	18	1413	20	0	0	3	57	0	57	0	452	452	17	0
05	Cinco Villas	2019	Secano	1450	1058	0	0	0	0	0	0	0	0	0	48	1009	0	0	0	1	172	0	167	5	170	170	50	0
