Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22	Huesca	2019	Regadío	24350	20632	596	1109	15	722	871	6225	131	90	0	74	4660	570	0	5304	265	1869	36	1833	0	1759	1759	90	0
22	Huesca	2019	Secano	20621	9946	3	0	0	0	19	0	0	0	0	20	9850	20	2	0	32	3356	4	3352	0	6070	6070	1249	0
44	Teruel	2019	Regadío	6640	3638	106	12	0	151	64	1618	32	5	0	41	1525	61	7	8	8	42	0	42	0	2148	2148	812	0
44	Teruel	2019	Secano	50832	20701	1	0	0	13	88	69	2	0	0	86	20339	75	28	0	0	1718	7	1711	0	21919	21919	6494	0
50	Zaragoza	2019	Regadío	45083	28679	2269	1783	0	1606	4689	4530	832	47	0	209	10305	175	0	2171	63	8341	82	8254	5	8025	8025	38	0
50	Zaragoza	2019	Secano	62512	35376	73	36	0	167	3231	395	138	1	0	197	30892	42	0	155	49	20114	52	20053	9	6613	6613	409	0
22	Huesca	2018	Regadío	22694	19182	593	1113	23	653	776	6080	110	71	0	81	4117	516	0	4772	277	1775	3	1772	0	1666	1666	71	0
22	Huesca	2018	Secano	20028	10252	17	34	0	41	87	384	17	1	0	10	9215	19	2	385	40	3382	1	3375	6	5137	5137	1257	0
44	Teruel	2018	Regadío	6494	3513	107	17	0	198	64	1686	51	4	0	26	1286	49	7	9	9	48	0	48	0	2167	2167	766	0
44	Teruel	2018	Secano	51298	21187	2	0	0	10	114	68	4	0	0	92	20757	76	28	0	36	1718	7	1711	0	22078	22078	6315	0
50	Zaragoza	2018	Regadío	43784	27419	2331	1886	0	1551	4450	4571	887	26	0	131	9366	130	0	2035	55	8464	82	8377	5	7867	7867	34	0
50	Zaragoza	2018	Secano	62680	34760	78	40	0	182	3162	425	135	0	0	167	30307	18	0	200	46	20535	52	20474	9	6983	6983	402	0
22	Huesca	2017	Regadío	21447	17985	627	1120	20	652	744	6437	107	49	0	26	2758	341	0	4891	213	1755	3	1752	0	1650	1650	57	0
22	Huesca	2017	Secano	19866	9928	9	23	0	31	60	292	2	0	0	5	9212	20	6	229	39	3347	1	3340	6	5290	5290	1301	0
44	Teruel	2017	Regadío	5958	3089	93	18	0	197	59	1717	48	4	0	12	862	50	7	9	13	38	0	38	0	2111	2111	720	0
44	Teruel	2017	Secano	51619	21239	2	0	0	10	118	58	5	0	0	48	20825	70	27	0	76	1982	3	1979	0	21971	21971	6427	0
50	Zaragoza	2017	Regadío	42515	26765	2468	1942	0	1504	4419	4696	792	16	0	56	8496	155	0	2164	57	8068	82	7981	5	7645	7645	37	0
50	Zaragoza	2017	Secano	62365	34436	56	39	0	154	2979	398	145	0	0	45	30281	14	0	273	52	20457	52	20396	9	7076	7076	396	0
22	Huesca	2016	Regadío	20188	16923	698	1217	19	604	711	6567	103	35	0	0	1697	225	0	4836	211	1686	12	1674	0	1567	1567	0	12
22	Huesca	2016	Secano	17671	8840	6	0	0	7	23	0	0	0	0	0	8742	18	4	0	40	3380	14	3366	0	5445	5445	0	6
44	Teruel	2016	Regadío	5232	3016	47	21	0	176	56	1729	50	3	0	0	862	50	13	9	0	38	0	38	0	2177	2177	0	1
44	Teruel	2016	Secano	45183	21033	12	0	0	12	111	58	5	0	0	0	20754	62	19	0	0	2002	1	2001	0	22148	22148	0	0
50	Zaragoza	2016	Regadío	40290	24640	2457	2063	0	1353	3827	4560	777	26	0	86	7131	100	0	2192	68	7917	119	7798	0	7559	7559	68	106
50	Zaragoza	2016	Secano	61134	34085	120	35	0	186	3210	413	159	0	0	15	29636	13	0	216	82	19931	35	19896	0	7096	7096	0	22
22	Huesca	2015	Regadío	19553	16013	715	1222	19	460	586	6334	73	31	0	0	1412	195	0	4832	134	1684	1	1683	0	1845	1845	5	6
22	Huesca	2015	Secano	17776	8994	1	2	0	11	30	104	20	0	0	0	8681	15	4	83	43	3489	5	3484	0	5287	5287	0	6
44	Teruel	2015	Regadío	5247	3059	45	16	0	171	59	1827	49	3	0	18	800	48	14	9	0	38	0	38	0	2149	2149	0	1
44	Teruel	2015	Secano	45101	20974	1	0	0	9	122	54	5	0	0	115	20601	50	17	0	0	2027	1	2026	0	22100	22100	0	0
50	Zaragoza	2015	Regadío	40525	24687	2501	2160	0	1325	3894	4725	794	13	0	0	6750	100	1	2378	46	8042	99	7943	0	7680	7680	0	116
50	Zaragoza	2015	Secano	60779	32526	66	34	0	104	2954	297	144	0	0	0	28745	7	0	118	57	20974	19	20955	0	7261	7261	0	18
