Comarca código	Comarca nombre	Tipo variación	Sexo	Año	Variaciones
01	La Jacetania	Externa	Hombres	2018	472
01	La Jacetania	Externa	Mujeres	2018	487
01	La Jacetania	Interna	Hombres	2018	53
01	La Jacetania	Interna	Mujeres	2018	59
02	Alto Gállego	Externa	Hombres	2018	310
02	Alto Gállego	Externa	Mujeres	2018	312
02	Alto Gállego	Interna	Hombres	2018	39
02	Alto Gállego	Interna	Mujeres	2018	41
03	Sobrarbe	Externa	Hombres	2018	186
03	Sobrarbe	Externa	Mujeres	2018	188
03	Sobrarbe	Interna	Hombres	2018	33
03	Sobrarbe	Interna	Mujeres	2018	44
04	La Ribagorza	Externa	Hombres	2018	308
04	La Ribagorza	Externa	Mujeres	2018	301
04	La Ribagorza	Interna	Hombres	2018	64
04	La Ribagorza	Interna	Mujeres	2018	68
05	Cinco Villas	Externa	Hombres	2018	576
05	Cinco Villas	Externa	Mujeres	2018	466
05	Cinco Villas	Interna	Hombres	2018	63
05	Cinco Villas	Interna	Mujeres	2018	57
06	Hoya de Huesca / Plana de Uesca	Externa	Hombres	2018	1345
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	2018	1378
06	Hoya de Huesca / Plana de Uesca	Interna	Hombres	2018	329
06	Hoya de Huesca / Plana de Uesca	Interna	Mujeres	2018	407
07	Somontano de Barbastro	Externa	Hombres	2018	403
07	Somontano de Barbastro	Externa	Mujeres	2018	418
07	Somontano de Barbastro	Interna	Hombres	2018	86
07	Somontano de Barbastro	Interna	Mujeres	2018	96
08	Cinca Medio	Externa	Hombres	2018	512
08	Cinca Medio	Externa	Mujeres	2018	451
08	Cinca Medio	Interna	Hombres	2018	49
08	Cinca Medio	Interna	Mujeres	2018	48
09	La Litera / La Llitera	Externa	Hombres	2018	437
09	La Litera / La Llitera	Externa	Mujeres	2018	356
09	La Litera / La Llitera	Interna	Hombres	2018	60
09	La Litera / La Llitera	Interna	Mujeres	2018	59
10	Los Monegros	Externa	Hombres	2018	362
10	Los Monegros	Externa	Mujeres	2018	373
10	Los Monegros	Interna	Hombres	2018	60
10	Los Monegros	Interna	Mujeres	2018	40
11	Bajo Cinca / Baix Cinca	Externa	Hombres	2018	666
11	Bajo Cinca / Baix Cinca	Externa	Mujeres	2018	477
11	Bajo Cinca / Baix Cinca	Interna	Hombres	2018	80
11	Bajo Cinca / Baix Cinca	Interna	Mujeres	2018	73
12	Tarazona y el Moncayo	Externa	Hombres	2018	255
12	Tarazona y el Moncayo	Externa	Mujeres	2018	218
12	Tarazona y el Moncayo	Interna	Hombres	2018	33
12	Tarazona y el Moncayo	Interna	Mujeres	2018	41
13	Campo de Borja	Externa	Hombres	2018	249
13	Campo de Borja	Externa	Mujeres	2018	246
13	Campo de Borja	Interna	Hombres	2018	55
13	Campo de Borja	Interna	Mujeres	2018	54
14	Aranda	Externa	Hombres	2018	90
14	Aranda	Externa	Mujeres	2018	93
14	Aranda	Interna	Hombres	2018	13
14	Aranda	Interna	Mujeres	2018	15
15	Ribera Alta del Ebro	Externa	Hombres	2018	734
15	Ribera Alta del Ebro	Externa	Mujeres	2018	636
15	Ribera Alta del Ebro	Interna	Hombres	2018	79
15	Ribera Alta del Ebro	Interna	Mujeres	2018	96
16	Valdejalón	Externa	Hombres	2018	988
16	Valdejalón	Externa	Mujeres	2018	797
16	Valdejalón	Interna	Hombres	2018	102
16	Valdejalón	Interna	Mujeres	2018	91
17	Central	Externa	Hombres	2018	12349
17	Central	Externa	Mujeres	2018	12580
17	Central	Interna	Hombres	2018	2374
17	Central	Interna	Mujeres	2018	2291
18	Ribera Baja del Ebro	Externa	Hombres	2018	146
18	Ribera Baja del Ebro	Externa	Mujeres	2018	166
18	Ribera Baja del Ebro	Interna	Hombres	2018	6
18	Ribera Baja del Ebro	Interna	Mujeres	2018	6
