CCAA código	CCAA nombre	Tipo variación	Sexo	Año	Variaciones
02	Aragón	Externa	Hombres	2016	13855
02	Aragón	Externa	Mujeres	2016	11084
02	Aragón	Interna	Hombres	2016	9633
02	Aragón	Interna	Mujeres	2016	9668
02	Aragón	Externa	Hombres	2015	13993
02	Aragón	Externa	Mujeres	2015	10851
02	Aragón	Interna	Hombres	2015	10079
02	Aragón	Interna	Mujeres	2015	10293
02	Aragón	Externa	Hombres	2014	13410
02	Aragón	Externa	Mujeres	2014	11003
02	Aragón	Interna	Hombres	2014	9947
02	Aragón	Interna	Mujeres	2014	9866
02	Aragón	Externa	Hombres	2013	14154
02	Aragón	Externa	Mujeres	2013	10993
02	Aragón	Interna	Hombres	2013	10168
02	Aragón	Interna	Mujeres	2013	9936
02	Aragón	Externa	Hombres	2012	14104
02	Aragón	Externa	Mujeres	2012	11042
02	Aragón	Interna	Hombres	2012	9810
02	Aragón	Interna	Mujeres	2012	9656
02	Aragón	Externa	Hombres	2011	13453
02	Aragón	Externa	Mujeres	2011	10694
02	Aragón	Interna	Hombres	2011	11075
02	Aragón	Interna	Mujeres	2011	11049
02	Aragón	Externa	Hombres	2010	14606
02	Aragón	Externa	Mujeres	2010	11089
02	Aragón	Interna	Hombres	2010	11053
02	Aragón	Interna	Mujeres	2010	11020
02	Aragón	Externa	Hombres	2009	13728
02	Aragón	Externa	Mujeres	2009	10343
02	Aragón	Interna	Hombres	2009	10714
02	Aragón	Interna	Mujeres	2009	10554
02	Aragón	Externa	Hombres	2008	12239
02	Aragón	Externa	Mujeres	2008	9747
02	Aragón	Interna	Hombres	2008	10801
02	Aragón	Interna	Mujeres	2008	10418
