Provincia código	Provincia nombre	Tipo variación	Sexo	Año	Variaciones
22	Huesca	Externa	Hombres	2016	3152
22	Huesca	Externa	Mujeres	2016	2800
22	Huesca	Interna	Hombres	2016	1419
22	Huesca	Interna	Mujeres	2016	1397
44	Teruel	Externa	Hombres	2016	2051
44	Teruel	Externa	Mujeres	2016	1834
44	Teruel	Interna	Hombres	2016	875
44	Teruel	Interna	Mujeres	2016	807
50	Zaragoza	Externa	Hombres	2016	10457
50	Zaragoza	Externa	Mujeres	2016	8260
50	Zaragoza	Interna	Hombres	2016	5534
50	Zaragoza	Interna	Mujeres	2016	5654
22	Huesca	Externa	Hombres	2015	3303
22	Huesca	Externa	Mujeres	2015	2765
22	Huesca	Interna	Hombres	2015	1407
22	Huesca	Interna	Mujeres	2015	1401
44	Teruel	Externa	Hombres	2015	2218
44	Teruel	Externa	Mujeres	2015	1954
44	Teruel	Interna	Hombres	2015	821
44	Teruel	Interna	Mujeres	2015	868
50	Zaragoza	Externa	Hombres	2015	10433
50	Zaragoza	Externa	Mujeres	2015	8055
50	Zaragoza	Interna	Hombres	2015	5890
50	Zaragoza	Interna	Mujeres	2015	6101
22	Huesca	Externa	Hombres	2014	3434
22	Huesca	Externa	Mujeres	2014	2938
22	Huesca	Interna	Hombres	2014	1440
22	Huesca	Interna	Mujeres	2014	1472
44	Teruel	Externa	Hombres	2014	2213
44	Teruel	Externa	Mujeres	2014	1906
44	Teruel	Interna	Hombres	2014	823
44	Teruel	Interna	Mujeres	2014	846
50	Zaragoza	Externa	Hombres	2014	9629
50	Zaragoza	Externa	Mujeres	2014	7993
50	Zaragoza	Interna	Hombres	2014	5818
50	Zaragoza	Interna	Mujeres	2014	5714
22	Huesca	Externa	Hombres	2013	3445
22	Huesca	Externa	Mujeres	2013	2669
22	Huesca	Interna	Hombres	2013	1444
22	Huesca	Interna	Mujeres	2013	1436
44	Teruel	Externa	Hombres	2013	2299
44	Teruel	Externa	Mujeres	2013	1973
44	Teruel	Interna	Hombres	2013	868
44	Teruel	Interna	Mujeres	2013	853
50	Zaragoza	Externa	Hombres	2013	10295
50	Zaragoza	Externa	Mujeres	2013	8138
50	Zaragoza	Interna	Hombres	2013	5971
50	Zaragoza	Interna	Mujeres	2013	5860
22	Huesca	Externa	Hombres	2012	3213
22	Huesca	Externa	Mujeres	2012	2758
22	Huesca	Interna	Hombres	2012	1416
22	Huesca	Interna	Mujeres	2012	1345
44	Teruel	Externa	Hombres	2012	2371
44	Teruel	Externa	Mujeres	2012	1977
44	Teruel	Interna	Hombres	2012	872
44	Teruel	Interna	Mujeres	2012	793
50	Zaragoza	Externa	Hombres	2012	10250
50	Zaragoza	Externa	Mujeres	2012	8037
50	Zaragoza	Interna	Hombres	2012	5792
50	Zaragoza	Interna	Mujeres	2012	5788
22	Huesca	Externa	Hombres	2011	3715
22	Huesca	Externa	Mujeres	2011	3019
22	Huesca	Interna	Hombres	2011	1512
22	Huesca	Interna	Mujeres	2011	1601
44	Teruel	Externa	Hombres	2011	2306
44	Teruel	Externa	Mujeres	2011	2049
44	Teruel	Interna	Hombres	2011	1002
44	Teruel	Interna	Mujeres	2011	908
50	Zaragoza	Externa	Hombres	2011	9524
50	Zaragoza	Externa	Mujeres	2011	7742
50	Zaragoza	Interna	Hombres	2011	6469
50	Zaragoza	Interna	Mujeres	2011	6424
22	Huesca	Externa	Hombres	2010	3715
22	Huesca	Externa	Mujeres	2010	3058
22	Huesca	Interna	Hombres	2010	1509
22	Huesca	Interna	Mujeres	2010	1654
44	Teruel	Externa	Hombres	2010	2439
44	Teruel	Externa	Mujeres	2010	2017
44	Teruel	Interna	Hombres	2010	1058
44	Teruel	Interna	Mujeres	2010	908
50	Zaragoza	Externa	Hombres	2010	10480
50	Zaragoza	Externa	Mujeres	2010	8032
50	Zaragoza	Interna	Hombres	2010	6458
50	Zaragoza	Interna	Mujeres	2010	6440
22	Huesca	Externa	Hombres	2009	3400
22	Huesca	Externa	Mujeres	2009	2707
22	Huesca	Interna	Hombres	2009	1507
22	Huesca	Interna	Mujeres	2009	1525
44	Teruel	Externa	Hombres	2009	2889
44	Teruel	Externa	Mujeres	2009	2040
44	Teruel	Interna	Hombres	2009	1076
44	Teruel	Interna	Mujeres	2009	849
50	Zaragoza	Externa	Hombres	2009	9368
50	Zaragoza	Externa	Mujeres	2009	7517
50	Zaragoza	Interna	Hombres	2009	6202
50	Zaragoza	Interna	Mujeres	2009	6259
22	Huesca	Externa	Hombres	2008	2987
22	Huesca	Externa	Mujeres	2008	2487
22	Huesca	Interna	Hombres	2008	1563
22	Huesca	Interna	Mujeres	2008	1558
44	Teruel	Externa	Hombres	2008	2662
44	Teruel	Externa	Mujeres	2008	1960
44	Teruel	Interna	Hombres	2008	1092
44	Teruel	Interna	Mujeres	2008	883
50	Zaragoza	Externa	Hombres	2008	8607
50	Zaragoza	Externa	Mujeres	2008	7142
50	Zaragoza	Interna	Hombres	2008	6129
50	Zaragoza	Interna	Mujeres	2008	6135
