CCAA código	CCAA nombre	Tipo variación	Nacionalidad Continente codigo	Nacionalidad Continente	Sexo	Año	Variaciones
02	Aragón	Externa	1	Europa	Hombres	2017	9709
02	Aragón	Externa	1	Europa	Mujeres	2017	8820
02	Aragón	Externa	2	África	Hombres	2017	2833
02	Aragón	Externa	2	África	Mujeres	2017	1448
02	Aragón	Externa	3	América	Hombres	2017	2280
02	Aragón	Externa	3	América	Mujeres	2017	3663
02	Aragón	Externa	4	Asia	Hombres	2017	1068
02	Aragón	Externa	4	Asia	Mujeres	2017	538
02	Aragón	Externa	5	Otros continentes	Hombres	2017	23
02	Aragón	Externa	5	Otros continentes	Mujeres	2017	18
02	Aragón	Interna	1	Europa	Hombres	2017	8773
02	Aragón	Interna	1	Europa	Mujeres	2017	9169
02	Aragón	Interna	2	África	Hombres	2017	825
02	Aragón	Interna	2	África	Mujeres	2017	486
02	Aragón	Interna	3	América	Hombres	2017	284
02	Aragón	Interna	3	América	Mujeres	2017	602
02	Aragón	Interna	4	Asia	Hombres	2017	126
02	Aragón	Interna	4	Asia	Mujeres	2017	52
02	Aragón	Interna	5	Otros continentes	Hombres	2017	5
02	Aragón	Interna	5	Otros continentes	Mujeres	2017	3
02	Aragón	Externa	1	Europa	Hombres	2016	8563
02	Aragón	Externa	1	Europa	Mujeres	2016	8113
02	Aragón	Externa	2	África	Hombres	2016	2319
02	Aragón	Externa	2	África	Mujeres	2016	1219
02	Aragón	Externa	3	América	Hombres	2016	1597
02	Aragón	Externa	3	América	Mujeres	2016	2593
02	Aragón	Externa	4	Asia	Hombres	2016	936
02	Aragón	Externa	4	Asia	Mujeres	2016	454
02	Aragón	Externa	5	Otros continentes	Hombres	2016	14
02	Aragón	Externa	5	Otros continentes	Mujeres	2016	2
02	Aragón	Interna	1	Europa	Hombres	2016	8460
02	Aragón	Interna	1	Europa	Mujeres	2016	8578
02	Aragón	Interna	2	África	Hombres	2016	732
02	Aragón	Interna	2	África	Mujeres	2016	419
02	Aragón	Interna	3	América	Hombres	2016	255
02	Aragón	Interna	3	América	Mujeres	2016	562
02	Aragón	Interna	4	Asia	Hombres	2016	117
02	Aragón	Interna	4	Asia	Mujeres	2016	59
02	Aragón	Interna	5	Otros continentes	Hombres	2016	1
02	Aragón	Interna	5	Otros continentes	Mujeres	2016	1
02	Aragón	Externa	1	Europa	Hombres	2015	8517
02	Aragón	Externa	1	Europa	Mujeres	2015	8028
02	Aragón	Externa	2	África	Hombres	2015	2242
02	Aragón	Externa	2	África	Mujeres	2015	1030
02	Aragón	Externa	3	América	Hombres	2015	1122
02	Aragón	Externa	3	América	Mujeres	2015	1756
02	Aragón	Externa	4	Asia	Hombres	2015	854
02	Aragón	Externa	4	Asia	Mujeres	2015	406
02	Aragón	Externa	5	Otros continentes	Hombres	2015	6
02	Aragón	Externa	5	Otros continentes	Mujeres	2015	7
02	Aragón	Interna	1	Europa	Hombres	2015	8990
02	Aragón	Interna	1	Europa	Mujeres	2015	9222
02	Aragón	Interna	2	África	Hombres	2015	726
02	Aragón	Interna	2	África	Mujeres	2015	426
02	Aragón	Interna	3	América	Hombres	2015	268
02	Aragón	Interna	3	América	Mujeres	2015	586
02	Aragón	Interna	4	Asia	Hombres	2015	91
02	Aragón	Interna	4	Asia	Mujeres	2015	59
02	Aragón	Interna	5	Otros continentes	Hombres	2015	4
02	Aragón	Externa	1	Europa	Hombres	2014	8467
02	Aragón	Externa	1	Europa	Mujeres	2014	7986
02	Aragón	Externa	2	África	Hombres	2014	2739
02	Aragón	Externa	2	África	Mujeres	2014	1099
02	Aragón	Externa	3	América	Hombres	2014	1014
02	Aragón	Externa	3	América	Mujeres	2014	1521
02	Aragón	Externa	4	Asia	Hombres	2014	849
02	Aragón	Externa	4	Asia	Mujeres	2014	421
02	Aragón	Externa	5	Otros continentes	Hombres	2014	9
02	Aragón	Externa	5	Otros continentes	Mujeres	2014	9
02	Aragón	Interna	1	Europa	Hombres	2014	8769
02	Aragón	Interna	1	Europa	Mujeres	2014	8804
02	Aragón	Interna	2	África	Hombres	2014	763
02	Aragón	Interna	2	África	Mujeres	2014	422
02	Aragón	Interna	3	América	Hombres	2014	298
02	Aragón	Interna	3	América	Mujeres	2014	566
02	Aragón	Interna	4	Asia	Hombres	2014	114
02	Aragón	Interna	4	Asia	Mujeres	2014	71
