Comarca código	Comarca nombre	Tipo variación	Nacionalidad Continente codigo	Nacionalidad Continente	Sexo	Año	Variaciones
01	La Jacetania	Externa	1	Europa	Hombres	2016	244
01	La Jacetania	Externa	1	Europa	Mujeres	2016	206
01	La Jacetania	Externa	2	África	Hombres	2016	3
01	La Jacetania	Externa	2	África	Mujeres	2016	6
01	La Jacetania	Externa	3	América	Hombres	2016	25
01	La Jacetania	Externa	3	América	Mujeres	2016	54
01	La Jacetania	Externa	4	Asia	Hombres	2016	1
01	La Jacetania	Externa	4	Asia	Mujeres	2016	4
01	La Jacetania	Interna	1	Europa	Hombres	2016	156
01	La Jacetania	Interna	1	Europa	Mujeres	2016	151
01	La Jacetania	Interna	2	África	Hombres	2016	1
01	La Jacetania	Interna	2	África	Mujeres	2016	2
01	La Jacetania	Interna	3	América	Hombres	2016	3
01	La Jacetania	Interna	3	América	Mujeres	2016	10
01	La Jacetania	Interna	4	Asia	Hombres	2016	3
01	La Jacetania	Interna	4	Asia	Mujeres	2016	1
02	Alto Gállego	Externa	1	Europa	Hombres	2016	117
02	Alto Gállego	Externa	1	Europa	Mujeres	2016	109
02	Alto Gállego	Externa	2	África	Hombres	2016	13
02	Alto Gállego	Externa	2	África	Mujeres	2016	10
02	Alto Gállego	Externa	3	América	Hombres	2016	20
02	Alto Gállego	Externa	3	América	Mujeres	2016	25
02	Alto Gállego	Externa	4	Asia	Hombres	2016	1
02	Alto Gállego	Interna	1	Europa	Hombres	2016	117
02	Alto Gállego	Interna	1	Europa	Mujeres	2016	100
02	Alto Gállego	Interna	2	África	Hombres	2016	7
02	Alto Gállego	Interna	2	África	Mujeres	2016	6
02	Alto Gállego	Interna	3	América	Hombres	2016	8
02	Alto Gállego	Interna	3	América	Mujeres	2016	8
02	Alto Gállego	Interna	4	Asia	Hombres	2016	1
03	Sobrarbe	Externa	1	Europa	Hombres	2016	87
03	Sobrarbe	Externa	1	Europa	Mujeres	2016	71
03	Sobrarbe	Externa	2	África	Hombres	2016	3
03	Sobrarbe	Externa	2	África	Mujeres	2016	3
03	Sobrarbe	Externa	3	América	Hombres	2016	8
03	Sobrarbe	Externa	3	América	Mujeres	2016	11
03	Sobrarbe	Externa	4	Asia	Hombres	2016	1
03	Sobrarbe	Interna	1	Europa	Hombres	2016	80
03	Sobrarbe	Interna	1	Europa	Mujeres	2016	69
03	Sobrarbe	Interna	2	África	Hombres	2016	3
03	Sobrarbe	Interna	2	África	Mujeres	2016	4
03	Sobrarbe	Interna	3	América	Hombres	2016	4
03	Sobrarbe	Interna	3	América	Mujeres	2016	1
03	Sobrarbe	Interna	4	Asia	Hombres	2016	1
04	La Ribagorza	Externa	1	Europa	Hombres	2016	165
04	La Ribagorza	Externa	1	Europa	Mujeres	2016	140
04	La Ribagorza	Externa	2	África	Hombres	2016	2
04	La Ribagorza	Externa	3	América	Hombres	2016	19
04	La Ribagorza	Externa	3	América	Mujeres	2016	19
04	La Ribagorza	Externa	4	Asia	Hombres	2016	2
04	La Ribagorza	Externa	5	Otros continentes	Hombres	2016	4
04	La Ribagorza	Interna	1	Europa	Hombres	2016	161
04	La Ribagorza	Interna	1	Europa	Mujeres	2016	149
04	La Ribagorza	Interna	2	África	Hombres	2016	3
04	La Ribagorza	Interna	2	África	Mujeres	2016	1
04	La Ribagorza	Interna	3	América	Hombres	2016	1
04	La Ribagorza	Interna	3	América	Mujeres	2016	8
04	La Ribagorza	Interna	5	Otros continentes	Hombres	2016	1
04	La Ribagorza	Interna	5	Otros continentes	Mujeres	2016	1
05	Cinco Villas	Externa	1	Europa	Hombres	2016	157
05	Cinco Villas	Externa	1	Europa	Mujeres	2016	151
05	Cinco Villas	Externa	2	África	Hombres	2016	82
05	Cinco Villas	Externa	2	África	Mujeres	2016	44
05	Cinco Villas	Externa	3	América	Hombres	2016	21
05	Cinco Villas	Externa	3	América	Mujeres	2016	17
05	Cinco Villas	Externa	4	Asia	Hombres	2016	8
05	Cinco Villas	Externa	4	Asia	Mujeres	2016	2
05	Cinco Villas	Interna	1	Europa	Hombres	2016	209
05	Cinco Villas	Interna	1	Europa	Mujeres	2016	174
05	Cinco Villas	Interna	2	África	Hombres	2016	23
05	Cinco Villas	Interna	2	África	Mujeres	2016	18
