Año	Provincia código	Provincia nombre	Municipio código	Municipio nombre	Total viviendas	Viviendas nuevas	Viviendas de 2ª mano
2015	22	Huesca	22001	Abiego	1	0	1
2015	22	Huesca	22002	Abizanda	0	0	0
2015	22	Huesca	22003	Adahuesca	1	0	1
2015	22	Huesca	22004	Agüero	2	1	1
2015	22	Huesca	22006	Aísa	34	0	34
2015	22	Huesca	22007	Albalate de Cinca	3	0	3
2015	22	Huesca	22008	Albalatillo	0	0	0
2015	22	Huesca	22009	Albelda	2	0	2
2015	22	Huesca	22011	Albero Alto	0	0	0
2015	22	Huesca	22012	Albero Bajo	0	0	0
2015	22	Huesca	22013	Alberuela de Tubo	1	0	1
2015	22	Huesca	22014	Alcalá de Gurrea	2	0	2
2015	22	Huesca	22015	Alcalá del Obispo	2	0	2
2015	22	Huesca	22016	Alcampell	7	0	7
2015	22	Huesca	22017	Alcolea de Cinca	8	1	7
2015	22	Huesca	22018	Alcubierre	4	0	4
2015	22	Huesca	22019	Alerre	1	1	0
2015	22	Huesca	22020	Alfántega	2	0	2
2015	22	Huesca	22021	Almudévar	15	4	11
2015	22	Huesca	22022	Almunia de San Juan	2	1	1
2015	22	Huesca	22023	Almuniente	3	0	3
2015	22	Huesca	22024	Alquézar	4	0	4
2015	22	Huesca	22025	Altorricón	6	2	4
2015	22	Huesca	22027	Angüés	2	1	1
2015	22	Huesca	22028	Ansó	1	1	0
2015	22	Huesca	22029	Antillón	0	0	0
2015	22	Huesca	22032	Aragüés del Puerto	2	1	1
2015	22	Huesca	22035	Arén	4	0	4
2015	22	Huesca	22036	Argavieso	0	0	0
2015	22	Huesca	22037	Arguis	0	0	0
2015	22	Huesca	22039	Ayerbe	12	1	11
2015	22	Huesca	22040	Azanuy-Alins	3	0	3
2015	22	Huesca	22041	Azara	1	1	0
2015	22	Huesca	22042	Azlor	0	0	0
2015	22	Huesca	22043	Baells	1	0	1
2015	22	Huesca	22044	Bailo	0	0	0
2015	22	Huesca	22045	Baldellou	0	0	0
2015	22	Huesca	22046	Ballobar	1	1	0
2015	22	Huesca	22047	Banastás	2	2	0
2015	22	Huesca	22048	Barbastro	110	29	81
2015	22	Huesca	22049	Barbués	0	0	0
2015	22	Huesca	22050	Barbuñales	1	0	1
2015	22	Huesca	22051	Bárcabo	0	0	0
2015	22	Huesca	22052	Belver de Cinca	4	0	4
2015	22	Huesca	22053	Benabarre	13	9	4
2015	22	Huesca	22054	Benasque	76	13	63
2015	22	Huesca	22055	Berbegal	1	0	1
2015	22	Huesca	22057	Bielsa	9	3	6
2015	22	Huesca	22058	Bierge	2	0	2
2015	22	Huesca	22059	Biescas	38	5	33
2015	22	Huesca	22060	Binaced	11	1	10
2015	22	Huesca	22061	Binéfar	69	24	45
2015	22	Huesca	22062	Bisaurri	1	0	1
2015	22	Huesca	22063	Biscarrués	3	1	2
2015	22	Huesca	22064	Blecua y Torres	1	0	1
2015	22	Huesca	22066	Boltaña	12	0	12
2015	22	Huesca	22067	Bonansa	1	0	1
2015	22	Huesca	22068	Borau	2	0	2
2015	22	Huesca	22069	Broto	18	3	15
2015	22	Huesca	22072	Caldearenas	0	0	0
2015	22	Huesca	22074	Campo	9	2	7
2015	22	Huesca	22075	Camporrells	0	0	0
2015	22	Huesca	22076	Canal de Berdún	1	0	1
2015	22	Huesca	22077	Candasnos	3	1	2
2015	22	Huesca	22078	Canfranc	21	0	21
2015	22	Huesca	22079	Capdesaso	2	1	1
2015	22	Huesca	22080	Capella	0	0	0
