CCAA nombre	CCAA código	Año	Votos	Siglas	Diputados	Candidatura
Aragón	02	2008	356050	PSOE	8	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2008	284068	PP	5	PARTIDO POPULAR
Aragón	02	2008	40054	PAR	0	PARTIDO ARAGONES
Aragón	02	2008	38202	CHA	0	CHUNTA ARAGONESISTA
Aragón	02	2008	21816	IU	0	IZQUIERDA UNIDA-ALTERNATIVA
Aragón	02	2008	8728	UPyD	0	UNION PROGRESO Y DEMOCRACIA
Aragón	02	2008	2489	LV	0	LOS VERDES-GRUPO VERDE
Aragón	02	2008	1230	PACMA	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
Aragón	02	2008	997	C's	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
Aragón	02	2008	545	Cenb	0	CIUDADANOS EN BLANCO
Aragón	02	2008	497	PUM+J	0	POR UN MUNDO MAS JUSTO
Aragón	02	2008	475	pCUA	0	PARTIDO CIUDADANOS UNIDOS DE ARAGON
Aragón	02	2008	433	DN	0	DEMOCRACIA NACIONAL
Aragón	02	2008	395	PSD-FIA	0	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON
Aragón	02	2008	352	FE de las JONS	0	FALANGE ESPAÑOLA DE LAS JONS
Aragón	02	2008	330	PFyV	0	PARTIDO FAMILIA Y VIDA
Aragón	02	2008	314	PCPE	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2008	244	AuN	0	ALIANZA NACIONAL
Aragón	02	2008	190	FA	0	FALANGE AUTENTICA
Aragón	02	2008	121	PH	0	PARTIDO HUMANISTA
Aragón	02	2008	118	AES	0	ALTERNATIVA ESPAÑOLA
Aragón	02	2008	113	FRENTE	0	FRENTE ESPAÑOL
Aragón	02	2008	89	E-2000	0	ESPAÑA 2000
Aragón	02	2008	10	PCTR	0	PARTIDO CENTRISTA
Aragón	02	2011	339502	PP-PAR	8	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
Aragón	02	2011	224314	PSOE	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2011	74944	CHA-IU	1	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
Aragón	02	2011	41032	UPyD	0	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2011	5329	EQUO	0	EQUO
Aragón	02	2011	3404	PACMA	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2011	3106	Eb	0	ESCAÑOS EN BLANCO
Aragón	02	2011	1409	PCPE	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2011	1376	PUM+J	0	POR UN MUNDO MÁS JUSTO
Aragón	02	2011	621	PIRATA	0	PARTIDO PIRATA
Aragón	02	2011	570	UCE	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
Aragón	02	2011	508	DeC	0	DEMOS EL CAMBIO
Aragón	02	2011	463	PH	0	PARTIDO HUMANISTA
Aragón	02	2011	410	P-LIB	0	PARTIDO DE LA LIBERTAD INDIVIDUAL
Aragón	02	2011	169	SXT	0	SOCIALISTAS POR TERUEL
Aragón	02	2015	45046	IU-CHA-UPeC	0	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN
Aragón	02	2015	5791	UPyD	0	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2015	5202	PACMA	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2015	3851	Eb	0	ESCAÑOS EN BLANCO
Aragón	02	2015	1839	VOX	0	VOX
Aragón	02	2015	1462	RECORTES CERO-GRUPO VERDE	0	RECORTES CERO-GRUPO VERDE
