Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2007	18166	14466	9480	4986	66	202	9212	65,5329738697636
01	La Jacetania	2011	18664	14550	9979	4571	173	344	9462	68,5841924398625
01	La Jacetania	2015	18235	14459	9583	4876	109	226	9248	66,2770592710423
02	Alto Gállego	2007	13457	10700	7371	3329	60	171	7140	68,8878504672897
02	Alto Gállego	2011	14921	10661	7334	3327	151	266	6917	68,7927961729669
02	Alto Gállego	2015	14139	10397	7067	3330	109	149	6809	67,9715302491103
03	Sobrarbe	2007	7293	6009	5005	1004	36	90	4879	83,2917290730571
03	Sobrarbe	2011	7718	5878	4903	975	82	138	4683	83,4127254168084
03	Sobrarbe	2015	7633	5788	4537	1251	43	109	4385	78,3863165169316
04	La Ribagorza	2007	12811	10425	7842	2583	47	155	7640	75,2230215827338
04	La Ribagorza	2011	13473	10037	7589	2448	107	234	7248	75,6102421042144
04	La Ribagorza	2015	12624	9447	6980	2467	88	206	6686	73,885889700434
05	Cinco Villas	2007	33154	25745	18188	7557	135	340	17713	70,6467275199068
05	Cinco Villas	2011	33331	25060	18033	7027	229	487	17317	71,9592976855547
05	Cinco Villas	2015	31442	24161	16872	7289	210	325	16337	69,8315467075038
06	Hoya de Huesca / Plana de Uesca	2007	64531	50780	33628	17152	244	820	32564	66,2229224103978
06	Hoya de Huesca / Plana de Uesca	2011	68428	51365	34781	16584	642	1288	32851	67,7134235374282
06	Hoya de Huesca / Plana de Uesca	2015	68286	51616	34444	17172	516	866	33062	66,7312461252325
07	Somontano de Barbastro	2007	23464	18699	13732	4967	91	306	13335	73,4370821969089
07	Somontano de Barbastro	2011	24410	18650	13642	5008	215	418	13009	73,1474530831099
07	Somontano de Barbastro	2015	24086	18515	12985	5530	168	259	12558	70,1323251417769
08	Cinca Medio	2007	23072	17650	12793	4857	107	190	12496	72,4815864022663
08	Cinca Medio	2011	24051	17483	12408	5075	164	352	11892	70,9718011782875
08	Cinca Medio	2015	24019	17279	11892	5387	153	164	11575	68,8234272816714
09	La Litera / La Llitera	2007	18847	14819	10267	4552	82	222	9963	69,2826776435657
09	La Litera / La Llitera	2011	19161	14325	10195	4130	177	320	9698	71,1692844677138
09	La Litera / La Llitera	2015	18696	13961	9446	4515	130	193	9123	67,6599097485853
10	Los Monegros	2007	20896	17506	14242	3264	118	269	13855	81,3549640123386
10	Los Monegros	2011	20942	16812	13527	3285	166	359	13002	80,4603854389722
10	Los Monegros	2015	19826	15826	12031	3795	215	265	11551	76,0204726399596
11	Bajo Cinca / Baix Cinca	2007	23366	17625	12836	4789	76	278	12482	72,8283687943262
11	Bajo Cinca / Baix Cinca	2011	24670	17222	12464	4758	202	438	11824	72,3725467425386
11	Bajo Cinca / Baix Cinca	2015	24817	16886	11831	5055	197	295	11339	70,0639583086581
12	Tarazona y el Moncayo	2007	14575	11752	9005	2747	69	142	8794	76,6252552756978
12	Tarazona y el Moncayo	2011	14730	11512	8831	2681	138	183	8510	76,7112578179291
12	Tarazona y el Moncayo	2015	14405	11340	8402	2938	137	144	8121	74,0917107583774
13	Campo de Borja	2007	14524	11653	9334	2319	77	119	9138	80,0995451814983
13	Campo de Borja	2011	15517	11331	9212	2119	150	223	8839	81,2990909893213
13	Campo de Borja	2015	14600	10917	8196	2721	171	222	7803	75,0755702115966
14	Aranda	2007	7681	6262	4837	1425	38	85	4714	77,2436921111466
14	Aranda	2011	7617	6002	4664	1338	42	106	4516	77,7074308563812
14	Aranda	2015	7168	5754	4156	1598	84	76	3996	72,2280152937087
15	Ribera Alta del Ebro	2007	24875	20059	15092	4967	86	199	14807	75,2380477591106
15	Ribera Alta del Ebro	2011	27827	20592	15067	5525	188	380	14499	73,1691919191919
15	Ribera Alta del Ebro	2015	27379	20360	14605	5755	202	302	14101	71,7337917485265
16	Valdejalón	2007	26437	19808	14968	4840	105	252	14611	75,5654281098546
16	Valdejalón	2011	30533	20058	14787	5271	207	385	14195	73,7212084953634
16	Valdejalón	2015	29179	19132	13439	5693	190	328	12921	70,2435709805561
17	D.C. Zaragoza	2007	702662	542628	335146	207482	2100	8714	324332	61,7634917475692
17	D.C. Zaragoza	2011	746719	544869	357876	186993	5278	12393	340205	65,6811086701574
17	D.C. Zaragoza	2015	743147	554130	365102	189028	3626	6295	355181	65,8874271380362
18	Ribera Baja del Ebro	2007	9197	7600	5791	1809	50	111	5630	76,1973684210526
18	Ribera Baja del Ebro	2011	9452	7473	5602	1871	84	148	5370	74,9632008564164
18	Ribera Baja del Ebro	2015	9102	7185	5337	1848	96	105	5136	74,2797494780793
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	13606	10811	8490	2321	80	166	8244	78,5311257053002
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	15016	10487	7910	2577	225	185	7500	75,4267187946982
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	14994	10103	7230	2873	150	162	6918	71,5629021082847
20	Comunidad de Calatayud	2007	40327	31829	24468	7361	163	412	23893	76,8732916522668
20	Comunidad de Calatayud	2011	42013	30495	23471	7024	247	580	22644	76,9667158550582
20	Comunidad de Calatayud	2015	39587	29248	21371	7877	314	440	20617	73,0682439824945
21	Campo de Cariñena	2007	10580	8013	6611	1402	62	85	6464	82,5034319231249
21	Campo de Cariñena	2011	11173	7886	6554	1332	51	146	6357	83,1093076337814
21	Campo de Cariñena	2015	10663	7372	5865	1507	95	112	5658	79,5577862181226
22	Campo de Belchite	2007	5196	4697	4024	673	25	63	3936	85,6717053438365
22	Campo de Belchite	2011	5260	4510	3865	645	49	75	3741	85,6984478935698
22	Campo de Belchite	2015	4967	4189	3369	820	51	68	3250	80,424922415851
23	Bajo Martín	2007	7252	6023	4855	1168	33	66	4756	80,6076705960485
23	Bajo Martín	2011	7135	5689	4487	1202	53	89	4345	78,8715064158903
23	Bajo Martín	2015	6689	5335	4021	1314	64	77	3880	75,3701968134958
24	Campo de Daroca	2007	6594	5682	4567	1115	21	73	4473	80,3766279479057
24	Campo de Daroca	2011	6192	5281	4337	944	62	95	4180	82,1245976140882
24	Campo de Daroca	2015	6026	4892	3769	1123	41	78	3650	77,0441537203598
25	Jiloca	2007	13972	11225	8496	2729	70	103	8323	75,6881959910913
25	Jiloca	2011	14142	10658	8103	2555	101	178	7824	76,027397260274
25	Jiloca	2015	13205	10137	7066	3071	195	228	6643	69,7050409391339
26	Cuencas Mineras	2007	9476	7576	5763	1813	30	50	5683	76,0691657866948
26	Cuencas Mineras	2011	9094	7176	5586	1590	55	126	5405	77,8428093645485
26	Cuencas Mineras	2015	8701	6805	5187	1618	54	76	5057	76,2233651726672
27	Andorra-Sierra de Arcos	2007	11123	8848	6740	2108	77	109	6554	76,1754068716094
27	Andorra-Sierra de Arcos	2011	11523	8578	6510	2068	103	116	6291	75,8918162741898
27	Andorra-Sierra de Arcos	2015	10906	8286	5967	2319	150	102	5715	72,0130340333092
28	Bajo Aragón	2007	29128	21783	16496	5287	108	296	16092	75,7287793233255
28	Bajo Aragón	2011	30311	21653	16168	5485	275	430	15463	74,6686371403501
28	Bajo Aragón	2015	29640	21271	15352	5919	337	355	14660	72,1733815993606
29	Comunidad de Teruel	2007	45313	35449	24670	10779	254	568	23848	69,5929363310672
29	Comunidad de Teruel	2011	46957	35329	24531	10798	534	820	23177	69,4358742109881
29	Comunidad de Teruel	2015	46724	35417	23980	11437	603	649	22728	67,707598046136
30	Maestrazgo	2007	3737	3009	2512	497	12	34	2466	83,4828846792954
30	Maestrazgo	2011	3682	2866	2292	574	34	52	2206	79,9720865317516
30	Maestrazgo	2015	3402	2672	2080	592	32	55	1993	77,8443113772455
31	Sierra de Albarracín	2007	4912	4209	3398	811	27	39	3332	80,7317652649085
31	Sierra de Albarracín	2011	4930	4052	3365	687	43	76	3246	83,0454096742349
31	Sierra de Albarracín	2015	4690	3938	3113	825	37	70	3006	79,0502793296089
32	Gúdar-Javalambre	2007	8574	6407	5268	1139	41	84	5143	82,2225690650851
32	Gúdar-Javalambre	2011	8610	6138	5123	1015	61	122	4940	83,4636689475399
32	Gúdar-Javalambre	2015	7917	5896	4785	1111	100	81	4604	81,1567164179104
33	Matarraña / Matarranya	2007	8673	7040	5585	1455	52	68	5465	79,3323863636364
33	Matarraña / Matarranya	2011	8893	6727	5247	1480	85	120	5042	77,9991080719489
33	Matarraña / Matarranya	2015	8491	6434	5016	1418	104	126	4786	77,9608330742928
