CCAA nombre	CCAA código	Año	Votos	Siglas
Aragón	02	2019	206400	P.S.O.E.
Aragón	02	2019	139660	PP
Aragón	02	2019	111602	C's
Aragón	02	2019	54252	PODEMOS-EQUO
Aragón	02	2019	41879	CHA
Aragón	02	2019	40671	VOX
Aragón	02	2019	33978	PAR
Aragón	02	2019	22229	I.U.
Aragón	02	2019	4543	PACMA
Aragón	02	2019	3145	PAÑ
Aragón	02	2019	1483	EB
Aragón	02	2019	821	F.I.A.
Aragón	02	2019	728	ALTOARAGONenCOMUN
Aragón	02	2019	564	PCTE
Aragón	02	2019	434	MAS
Aragón	02	2019	364	TA
Aragón	02	2015	183654	PP
Aragón	02	2015	143096	P.S.O.E.
Aragón	02	2015	137325	PODEMOS
Aragón	02	2015	62907	C's
Aragón	02	2015	45846	PAR
Aragón	02	2015	30618	CHA
Aragón	02	2015	28184	I.U.
Aragón	02	2015	5708	UPyD
Aragón	02	2015	5323	EB
Aragón	02	2015	4946	PACMA
Aragón	02	2015	2844	COMPROMISO CON ARAGON
Aragón	02	2015	1256	EQUO
Aragón	02	2015	1082	RECORTES CERO
Aragón	02	2015	648	FIA
Aragón	02	2015	616	PCPE
Aragón	02	2015	581	BAR
Aragón	02	2011	269729	PP
Aragón	02	2011	197189	PSOE
Aragón	02	2011	62193	PAR
Aragón	02	2011	55932	CHA
Aragón	02	2011	41874	IU
Aragón	02	2011	15667	UPyD
Aragón	02	2011	4621	VERDES ECOLO
Aragón	02	2011	3771	COMPROMISO CON ARAGON
Aragón	02	2011	2193	PACMA
Aragón	02	2011	980	F.I.A.
Aragón	02	2011	830	TA
Aragón	02	2011	603	UCE
Aragón	02	2011	573	pCUA
Aragón	02	2011	525	PFyV
Aragón	02	2011	482	CDL
Aragón	02	2011	440	PH
Aragón	02	2011	249	L'VIA
Aragón	02	2007	276427	PSOE
Aragón	02	2007	208648	PP
Aragón	02	2007	81135	PAR
Aragón	02	2007	54752	CHA
Aragón	02	2007	27447	IU
Aragón	02	2007	4445	LV-FIA
Aragón	02	2007	2463	pCUA
Aragón	02	2007	1105	PFyV
Aragón	02	2007	577	PH
