Municipio código	Municipio nombre	Año	Votos	Siglas
22001	Abiego	2007	62	PSOE
22001	Abiego	2007	111	PP
22001	Abiego	2007	13	PAR
22001	Abiego	2007	8	CHA
22001	Abiego	2007	2	IU
22001	Abiego	2007	1	LV-FIA
22001	Abiego	2007	0	PFyV
22001	Abiego	2011	122	PP
22001	Abiego	2011	40	PSOE
22001	Abiego	2011	12	PAR
22001	Abiego	2011	5	CHA
22001	Abiego	2011	3	IU
22001	Abiego	2011	10	UPyD
22001	Abiego	2011	1	VERDES ECOLO
22001	Abiego	2011	0	COMPROMISO CON ARAGON
22001	Abiego	2011	0	PACMA
22001	Abiego	2011	0	F.I.A.
22001	Abiego	2011	0	TA
22001	Abiego	2011	0	UCE
22001	Abiego	2011	0	CDL
22001	Abiego	2015	80	PP
22001	Abiego	2015	54	PSOE
22001	Abiego	2015	18	PODEMOS
22001	Abiego	2015	19	C's
22001	Abiego	2015	3	PAR
22001	Abiego	2015	2	CHA
22001	Abiego	2015	3	IU
22001	Abiego	2015	1	UPyD
22001	Abiego	2015	0	EB
22001	Abiego	2015	0	PACMA
22001	Abiego	2015	0	COMPROMISO CON ARAGON
22001	Abiego	2015	0	EQUO
22001	Abiego	2015	1	RECORTES CERO
22001	Abiego	2015	0	FIA
22001	Abiego	2015	0	BAR
22001	Abiego	2015	0	PCPE
22002	Abizanda	2007	59	PSOE
22002	Abizanda	2007	29	PP
22002	Abizanda	2007	4	PAR
22002	Abizanda	2007	1	CHA
22002	Abizanda	2007	2	IU
22002	Abizanda	2007	2	LV-FIA
22002	Abizanda	2007	1	PFyV
22002	Abizanda	2011	31	PP
22002	Abizanda	2011	41	PSOE
22002	Abizanda	2011	3	PAR
22002	Abizanda	2011	6	CHA
22002	Abizanda	2011	2	IU
22002	Abizanda	2011	2	UPyD
22002	Abizanda	2011	2	VERDES ECOLO
22002	Abizanda	2011	0	COMPROMISO CON ARAGON
22002	Abizanda	2011	1	PACMA
22002	Abizanda	2011	1	F.I.A.
22002	Abizanda	2011	0	TA
22002	Abizanda	2011	0	UCE
22002	Abizanda	2011	0	CDL
22002	Abizanda	2015	35	PP
22002	Abizanda	2015	44	PSOE
22002	Abizanda	2015	15	PODEMOS
22002	Abizanda	2015	3	C's
22002	Abizanda	2015	2	PAR
22002	Abizanda	2015	2	CHA
22002	Abizanda	2015	0	IU
22002	Abizanda	2015	0	UPyD
22002	Abizanda	2015	0	EB
22002	Abizanda	2015	0	PACMA
22002	Abizanda	2015	0	COMPROMISO CON ARAGON
22002	Abizanda	2015	0	EQUO
22002	Abizanda	2015	0	RECORTES CERO
22002	Abizanda	2015	0	FIA
22002	Abizanda	2015	0	BAR
22002	Abizanda	2015	1	PCPE
22003	Adahuesca	2007	48	PSOE
22003	Adahuesca	2007	34	PP
22003	Adahuesca	2007	15	PAR
22003	Adahuesca	2007	5	CHA
22003	Adahuesca	2007	2	IU
22003	Adahuesca	2007	0	LV-FIA
22003	Adahuesca	2007	1	PFyV
22003	Adahuesca	2011	46	PP
22003	Adahuesca	2011	35	PSOE
22003	Adahuesca	2011	17	PAR
22003	Adahuesca	2011	14	CHA
22003	Adahuesca	2011	4	IU
22003	Adahuesca	2011	2	UPyD
22003	Adahuesca	2011	1	VERDES ECOLO
22003	Adahuesca	2011	1	COMPROMISO CON ARAGON
22003	Adahuesca	2011	2	PACMA
22003	Adahuesca	2011	0	F.I.A.
22003	Adahuesca	2011	0	TA
22003	Adahuesca	2011	0	UCE
22003	Adahuesca	2011	0	CDL
22003	Adahuesca	2015	31	PP
22003	Adahuesca	2015	32	PSOE
22003	Adahuesca	2015	17	PODEMOS
22003	Adahuesca	2015	15	C's
22003	Adahuesca	2015	11	PAR
22003	Adahuesca	2015	0	CHA
22003	Adahuesca	2015	3	IU
22003	Adahuesca	2015	3	UPyD
22003	Adahuesca	2015	2	EB
22003	Adahuesca	2015	2	PACMA
22003	Adahuesca	2015	0	COMPROMISO CON ARAGON
22003	Adahuesca	2015	0	EQUO
22003	Adahuesca	2015	0	RECORTES CERO
22003	Adahuesca	2015	0	FIA
22003	Adahuesca	2015	0	BAR
22003	Adahuesca	2015	1	PCPE
22004	Agüero	2007	31	PSOE
22004	Agüero	2007	37	PP
22004	Agüero	2007	30	PAR
22004	Agüero	2007	8	CHA
22004	Agüero	2007	1	IU
22004	Agüero	2007	2	LV-FIA
22004	Agüero	2007	0	PFyV
22004	Agüero	2011	39	PP
22004	Agüero	2011	32	PSOE
22004	Agüero	2011	30	PAR
22004	Agüero	2011	5	CHA
22004	Agüero	2011	1	IU
22004	Agüero	2011	1	UPyD
22004	Agüero	2011	2	VERDES ECOLO
22004	Agüero	2011	0	COMPROMISO CON ARAGON
22004	Agüero	2011	0	PACMA
22004	Agüero	2011	0	F.I.A.
22004	Agüero	2011	0	TA
22004	Agüero	2011	0	UCE
22004	Agüero	2011	1	CDL
22004	Agüero	2015	26	PP
22004	Agüero	2015	21	PSOE
22004	Agüero	2015	24	PODEMOS
22004	Agüero	2015	8	C's
22004	Agüero	2015	8	PAR
22004	Agüero	2015	0	CHA
22004	Agüero	2015	0	IU
22004	Agüero	2015	1	UPyD
22004	Agüero	2015	0	EB
22004	Agüero	2015	2	PACMA
22004	Agüero	2015	0	COMPROMISO CON ARAGON
22004	Agüero	2015	0	EQUO
22004	Agüero	2015	1	RECORTES CERO
22004	Agüero	2015	0	FIA
22004	Agüero	2015	0	BAR
22004	Agüero	2015	0	PCPE
22006	Aísa	2007	122	PSOE
22006	Aísa	2007	35	PP
22006	Aísa	2007	26	PAR
22006	Aísa	2007	21	CHA
22006	Aísa	2007	13	IU
22006	Aísa	2007	6	LV-FIA
22006	Aísa	2007	1	PFyV
22006	Aísa	2011	66	PP
22006	Aísa	2011	76	PSOE
22006	Aísa	2011	21	PAR
22006	Aísa	2011	23	CHA
22006	Aísa	2011	15	IU
22006	Aísa	2011	2	UPyD
22006	Aísa	2011	4	VERDES ECOLO
22006	Aísa	2011	0	COMPROMISO CON ARAGON
22006	Aísa	2011	1	PACMA
22006	Aísa	2011	3	F.I.A.
22006	Aísa	2011	0	TA
22006	Aísa	2011	0	UCE
22006	Aísa	2011	2	CDL
22006	Aísa	2015	49	PP
22006	Aísa	2015	49	PSOE
22006	Aísa	2015	51	PODEMOS
22006	Aísa	2015	13	C's
22006	Aísa	2015	13	PAR
22006	Aísa	2015	17	CHA
22006	Aísa	2015	9	IU
22006	Aísa	2015	2	UPyD
22006	Aísa	2015	1	EB
22006	Aísa	2015	1	PACMA
22006	Aísa	2015	0	COMPROMISO CON ARAGON
22006	Aísa	2015	0	EQUO
22006	Aísa	2015	0	RECORTES CERO
22006	Aísa	2015	0	FIA
22006	Aísa	2015	0	BAR
22006	Aísa	2015	0	PCPE
22007	Albalate de Cinca	2007	298	PSOE
22007	Albalate de Cinca	2007	269	PP
22007	Albalate de Cinca	2007	108	PAR
22007	Albalate de Cinca	2007	17	CHA
22007	Albalate de Cinca	2007	5	IU
22007	Albalate de Cinca	2007	1	LV-FIA
22007	Albalate de Cinca	2007	1	PFyV
22007	Albalate de Cinca	2011	285	PP
22007	Albalate de Cinca	2011	234	PSOE
22007	Albalate de Cinca	2011	115	PAR
22007	Albalate de Cinca	2011	21	CHA
22007	Albalate de Cinca	2011	6	IU
22007	Albalate de Cinca	2011	1	UPyD
22007	Albalate de Cinca	2011	6	VERDES ECOLO
22007	Albalate de Cinca	2011	0	COMPROMISO CON ARAGON
22007	Albalate de Cinca	2011	0	PACMA
22007	Albalate de Cinca	2011	0	F.I.A.
22007	Albalate de Cinca	2011	1	TA
22007	Albalate de Cinca	2011	0	UCE
22007	Albalate de Cinca	2011	0	CDL
22007	Albalate de Cinca	2015	249	PP
22007	Albalate de Cinca	2015	154	PSOE
22007	Albalate de Cinca	2015	70	PODEMOS
22007	Albalate de Cinca	2015	30	C's
22007	Albalate de Cinca	2015	63	PAR
22007	Albalate de Cinca	2015	9	CHA
22007	Albalate de Cinca	2015	11	IU
22007	Albalate de Cinca	2015	0	UPyD
22007	Albalate de Cinca	2015	0	EB
22007	Albalate de Cinca	2015	3	PACMA
22007	Albalate de Cinca	2015	0	COMPROMISO CON ARAGON
22007	Albalate de Cinca	2015	2	EQUO
22007	Albalate de Cinca	2015	0	RECORTES CERO
22007	Albalate de Cinca	2015	0	FIA
22007	Albalate de Cinca	2015	0	BAR
22007	Albalate de Cinca	2015	0	PCPE
22008	Albalatillo	2007	45	PSOE
22008	Albalatillo	2007	29	PP
22008	Albalatillo	2007	102	PAR
22008	Albalatillo	2007	9	CHA
22008	Albalatillo	2007	0	IU
22008	Albalatillo	2007	0	LV-FIA
22008	Albalatillo	2007	0	PFyV
22008	Albalatillo	2011	35	PP
22008	Albalatillo	2011	35	PSOE
22008	Albalatillo	2011	77	PAR
22008	Albalatillo	2011	10	CHA
22008	Albalatillo	2011	2	IU
22008	Albalatillo	2011	0	UPyD
22008	Albalatillo	2011	0	VERDES ECOLO
22008	Albalatillo	2011	0	COMPROMISO CON ARAGON
22008	Albalatillo	2011	0	PACMA
22008	Albalatillo	2011	0	F.I.A.
22008	Albalatillo	2011	0	TA
22008	Albalatillo	2011	0	UCE
22008	Albalatillo	2011	0	CDL
22008	Albalatillo	2015	18	PP
22008	Albalatillo	2015	27	PSOE
22008	Albalatillo	2015	11	PODEMOS
22008	Albalatillo	2015	0	C's
22008	Albalatillo	2015	63	PAR
22008	Albalatillo	2015	13	CHA
22008	Albalatillo	2015	1	IU
22008	Albalatillo	2015	0	UPyD
22008	Albalatillo	2015	0	EB
22008	Albalatillo	2015	0	PACMA
22008	Albalatillo	2015	0	COMPROMISO CON ARAGON
22008	Albalatillo	2015	2	EQUO
22008	Albalatillo	2015	0	RECORTES CERO
22008	Albalatillo	2015	0	FIA
22008	Albalatillo	2015	0	BAR
22008	Albalatillo	2015	0	PCPE
22009	Albelda	2007	390	PSOE
22009	Albelda	2007	55	PP
22009	Albelda	2007	78	PAR
22009	Albelda	2007	42	CHA
22009	Albelda	2007	5	IU
22009	Albelda	2007	2	LV-FIA
22009	Albelda	2007	0	PFyV
22009	Albelda	2011	136	PP
22009	Albelda	2011	235	PSOE
22009	Albelda	2011	42	PAR
22009	Albelda	2011	50	CHA
22009	Albelda	2011	9	IU
22009	Albelda	2011	2	UPyD
22009	Albelda	2011	4	VERDES ECOLO
22009	Albelda	2011	1	COMPROMISO CON ARAGON
22009	Albelda	2011	1	PACMA
22009	Albelda	2011	0	F.I.A.
22009	Albelda	2011	1	TA
22009	Albelda	2011	1	UCE
22009	Albelda	2011	0	CDL
22009	Albelda	2015	96	PP
22009	Albelda	2015	153	PSOE
22009	Albelda	2015	131	PODEMOS
22009	Albelda	2015	21	C's
22009	Albelda	2015	23	PAR
22009	Albelda	2015	23	CHA
22009	Albelda	2015	9	IU
22009	Albelda	2015	0	UPyD
22009	Albelda	2015	3	EB
22009	Albelda	2015	0	PACMA
22009	Albelda	2015	1	COMPROMISO CON ARAGON
22009	Albelda	2015	0	EQUO
22009	Albelda	2015	0	RECORTES CERO
22009	Albelda	2015	0	FIA
22009	Albelda	2015	2	BAR
22009	Albelda	2015	0	PCPE
22011	Albero Alto	2007	24	PSOE
22011	Albero Alto	2007	35	PP
22011	Albero Alto	2007	6	PAR
22011	Albero Alto	2007	1	CHA
22011	Albero Alto	2007	0	IU
22011	Albero Alto	2007	2	LV-FIA
22011	Albero Alto	2007	1	PFyV
22011	Albero Alto	2011	45	PP
22011	Albero Alto	2011	23	PSOE
22011	Albero Alto	2011	6	PAR
22011	Albero Alto	2011	6	CHA
22011	Albero Alto	2011	1	IU
22011	Albero Alto	2011	0	UPyD
22011	Albero Alto	2011	1	VERDES ECOLO
22011	Albero Alto	2011	0	COMPROMISO CON ARAGON
22011	Albero Alto	2011	0	PACMA
22011	Albero Alto	2011	0	F.I.A.
22011	Albero Alto	2011	1	TA
22011	Albero Alto	2011	0	UCE
22011	Albero Alto	2011	0	CDL
22011	Albero Alto	2015	33	PP
22011	Albero Alto	2015	12	PSOE
22011	Albero Alto	2015	12	PODEMOS
22011	Albero Alto	2015	3	C's
22011	Albero Alto	2015	6	PAR
22011	Albero Alto	2015	3	CHA
22011	Albero Alto	2015	0	IU
22011	Albero Alto	2015	0	UPyD
22011	Albero Alto	2015	0	EB
22011	Albero Alto	2015	0	PACMA
22011	Albero Alto	2015	0	COMPROMISO CON ARAGON
22011	Albero Alto	2015	0	EQUO
22011	Albero Alto	2015	0	RECORTES CERO
22011	Albero Alto	2015	0	FIA
22011	Albero Alto	2015	0	BAR
22011	Albero Alto	2015	0	PCPE
22012	Albero Bajo	2007	29	PSOE
22012	Albero Bajo	2007	37	PP
22012	Albero Bajo	2007	7	PAR
22012	Albero Bajo	2007	4	CHA
22012	Albero Bajo	2007	1	IU
22012	Albero Bajo	2007	0	LV-FIA
22012	Albero Bajo	2007	0	PFyV
22012	Albero Bajo	2011	41	PP
22012	Albero Bajo	2011	13	PSOE
22012	Albero Bajo	2011	5	PAR
22012	Albero Bajo	2011	7	CHA
22012	Albero Bajo	2011	4	IU
22012	Albero Bajo	2011	3	UPyD
22012	Albero Bajo	2011	0	VERDES ECOLO
22012	Albero Bajo	2011	0	COMPROMISO CON ARAGON
22012	Albero Bajo	2011	0	PACMA
