Comarca código	Comarca nombre	Año	Orden	Siglas	Votos
01	La Jacetania	2007	1	PSOE	4214
01	La Jacetania	2007	2	PP	2092
01	La Jacetania	2007	3	PAR	1822
01	La Jacetania	2007	4	CHA	1111
01	La Jacetania	2007	5	IU	20
01	La Jacetania	2007	9	CDL	190
01	La Jacetania	2007	28	LV	74
01	La Jacetania	2007	34	AESCSB	48
01	La Jacetania	2011	1	PP	3130
01	La Jacetania	2011	2	PSOE	3487
01	La Jacetania	2011	3	PAR	1530
01	La Jacetania	2011	4	CHA	996
01	La Jacetania	2011	5	IU	305
01	La Jacetania	2011	9	ECOLO	48
01	La Jacetania	2011	11	PACMA	56
01	La Jacetania	2011	12	CDL	86
01	La Jacetania	2011	36	PYLN	29
01	La Jacetania	2015	1	PP	2140
01	La Jacetania	2015	2	PSOE	3681
01	La Jacetania	2015	4	PAR	1051
01	La Jacetania	2015	5	C's	300
01	La Jacetania	2015	7	CHA	1034
01	La Jacetania	2015	13	ARAGONSIPUEDE	343
01	La Jacetania	2015	15	CAMBIAR	620
02	Alto Gállego	2007	1	PSOE	2759
02	Alto Gállego	2007	2	PP	1300
02	Alto Gállego	2007	3	PAR	1695
02	Alto Gállego	2007	4	CHA	696
02	Alto Gállego	2007	5	IU	796
02	Alto Gállego	2011	1	PP	1652
02	Alto Gállego	2011	2	PSOE	2464
02	Alto Gállego	2011	3	PAR	2025
02	Alto Gállego	2011	4	CHA	571
02	Alto Gállego	2011	5	IU	426
02	Alto Gállego	2015	1	PP	1323
02	Alto Gállego	2015	2	PSOE	2325
02	Alto Gállego	2015	4	PAR	1986
02	Alto Gállego	2015	5	C's	89
02	Alto Gállego	2015	7	CHA	373
02	Alto Gállego	2015	15	CAMBIAR	748
03	Sobrarbe	2007	1	PSOE	2372
03	Sobrarbe	2007	2	PP	1422
03	Sobrarbe	2007	3	PAR	618
03	Sobrarbe	2007	4	CHA	830
03	Sobrarbe	2007	41	FV	15
03	Sobrarbe	2011	1	PP	1336
03	Sobrarbe	2011	2	PSOE	2206
03	Sobrarbe	2011	3	PAR	815
03	Sobrarbe	2011	4	CHA	563
03	Sobrarbe	2011	5	IU	132
03	Sobrarbe	2015	1	PP	1015
03	Sobrarbe	2015	2	PSOE	2073
03	Sobrarbe	2015	4	PAR	672
03	Sobrarbe	2015	7	CHA	402
03	Sobrarbe	2015	15	CAMBIAR	173
03	Sobrarbe	2015	73	AeF	91
03	Sobrarbe	2015	80	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	53
04	La Ribagorza	2007	1	PSOE	3408
04	La Ribagorza	2007	2	PP	1904
04	La Ribagorza	2007	3	PAR	1754
04	La Ribagorza	2007	4	CHA	609
04	La Ribagorza	2007	5	IU	100
04	La Ribagorza	2007	13	LV-GV	15
04	La Ribagorza	2007	32	AE	51
04	La Ribagorza	2011	1	PP	2172
04	La Ribagorza	2011	2	PSOE	2709
04	La Ribagorza	2011	3	PAR	2080
04	La Ribagorza	2011	4	CHA	367
04	La Ribagorza	2011	5	IU	145
04	La Ribagorza	2011	20	CDF	76
04	La Ribagorza	2011	28	AELEF	63
04	La Ribagorza	2011	33	CCD	40
04	La Ribagorza	2015	1	PP	2188
04	La Ribagorza	2015	2	PSOE	2186
04	La Ribagorza	2015	4	PAR	1760
04	La Ribagorza	2015	5	C's	102
04	La Ribagorza	2015	7	CHA	103
04	La Ribagorza	2015	13	ARAGONSIPUEDE	439
04	La Ribagorza	2015	15	CAMBIAR	107
05	Cinco Villas	2007	1	PSOE	8224
05	Cinco Villas	2007	2	PP	4404
05	Cinco Villas	2007	3	PAR	3153
05	Cinco Villas	2007	4	CHA	781
05	Cinco Villas	2007	5	IU	1093
05	Cinco Villas	2007	6	LV-FIA	159
05	Cinco Villas	2007	35	AIL	42
05	Cinco Villas	2011	1	PP	5903
05	Cinco Villas	2011	2	PSOE	7481
05	Cinco Villas	2011	3	PAR	2175
05	Cinco Villas	2011	4	CHA	827
05	Cinco Villas	2011	5	IU	1215
05	Cinco Villas	2011	15	TA	1
05	Cinco Villas	2011	25	AISOS	73
05	Cinco Villas	2015	1	PP	5132
05	Cinco Villas	2015	2	PSOE	7388
05	Cinco Villas	2015	4	PAR	1163
05	Cinco Villas	2015	7	CHA	943
05	Cinco Villas	2015	12	COMPROMISO CON ARAGON	116
05	Cinco Villas	2015	17	IU-ZGZ	289
05	Cinco Villas	2015	25	EPC-ZGZ	1207
05	Cinco Villas	2015	28	FIA	0
05	Cinco Villas	2015	81	AE EL FRAGO	50
05	Cinco Villas	2015	87	UCIN	26
05	Cinco Villas	2015	89	GANAR-ZRZ	22
06	Hoya de Huesca / Plana de Uesca	2007	1	PSOE	12905
06	Hoya de Huesca / Plana de Uesca	2007	2	PP	10575
06	Hoya de Huesca / Plana de Uesca	2007	3	PAR	4276
06	Hoya de Huesca / Plana de Uesca	2007	4	CHA	2994
06	Hoya de Huesca / Plana de Uesca	2007	5	IU	1433
06	Hoya de Huesca / Plana de Uesca	2007	13	LV-GV	753
06	Hoya de Huesca / Plana de Uesca	2007	16	PFYV	45
06	Hoya de Huesca / Plana de Uesca	2007	25	A.E.S.	100
06	Hoya de Huesca / Plana de Uesca	2007	26	AI	91
06	Hoya de Huesca / Plana de Uesca	2007	43	AIEADO	9
06	Hoya de Huesca / Plana de Uesca	2011	1	PP	12439
06	Hoya de Huesca / Plana de Uesca	2011	2	PSOE	11115
06	Hoya de Huesca / Plana de Uesca	2011	3	PAR	3995
06	Hoya de Huesca / Plana de Uesca	2011	4	CHA	2421
06	Hoya de Huesca / Plana de Uesca	2011	5	IU	1698
06	Hoya de Huesca / Plana de Uesca	2011	6	UPyD	564
06	Hoya de Huesca / Plana de Uesca	2011	8	FIA	83
06	Hoya de Huesca / Plana de Uesca	2011	9	ECOLO	914
06	Hoya de Huesca / Plana de Uesca	2011	17	AES	183
06	Hoya de Huesca / Plana de Uesca	2011	29	ECOLO VERDES	53
06	Hoya de Huesca / Plana de Uesca	2011	34	UCE	15
06	Hoya de Huesca / Plana de Uesca	2015	1	PP	10849
06	Hoya de Huesca / Plana de Uesca	2015	2	PSOE	9496
06	Hoya de Huesca / Plana de Uesca	2015	4	PAR	2699
06	Hoya de Huesca / Plana de Uesca	2015	5	C's	2354
06	Hoya de Huesca / Plana de Uesca	2015	7	CHA	1469
06	Hoya de Huesca / Plana de Uesca	2015	9	UPyD	227
06	Hoya de Huesca / Plana de Uesca	2015	10	EB	229
06	Hoya de Huesca / Plana de Uesca	2015	13	ARAGONSIPUEDE	2196
06	Hoya de Huesca / Plana de Uesca	2015	15	CAMBIAR	3440
06	Hoya de Huesca / Plana de Uesca	2015	28	FIA	206
06	Hoya de Huesca / Plana de Uesca	2015	63	A.E.G.	148
06	Hoya de Huesca / Plana de Uesca	2015	78	AE MURILLO DE GALLEGO	63
07	Somontano de Barbastro	2007	1	PSOE	6536
07	Somontano de Barbastro	2007	2	PP	3750
07	Somontano de Barbastro	2007	3	PAR	1028
07	Somontano de Barbastro	2007	4	CHA	1729
07	Somontano de Barbastro	2007	5	IU	520
07	Somontano de Barbastro	2007	13	LV-GV	35
07	Somontano de Barbastro	2007	20	AEI-CP	184
07	Somontano de Barbastro	2007	42	AE NAVAL-MI	11
07	Somontano de Barbastro	2011	1	PP	4909
07	Somontano de Barbastro	2011	2	PSOE	5725
07	Somontano de Barbastro	2011	3	PAR	1475
07	Somontano de Barbastro	2011	4	CHA	694
07	Somontano de Barbastro	2011	5	IU	687
07	Somontano de Barbastro	2011	8	FIA	6
07	Somontano de Barbastro	2011	9	ECOLO	34
07	Somontano de Barbastro	2011	37	A E NAVAL-MIPANAS	15
07	Somontano de Barbastro	2015	1	PP	3447
07	Somontano de Barbastro	2015	2	PSOE	5245
07	Somontano de Barbastro	2015	4	PAR	1590
07	Somontano de Barbastro	2015	5	C's	849
07	Somontano de Barbastro	2015	7	CHA	483
07	Somontano de Barbastro	2015	13	ARAGONSIPUEDE	334
07	Somontano de Barbastro	2015	15	CAMBIAR	787
07	Somontano de Barbastro	2015	47	C.P.Btro	327
08	Cinca Medio	2007	1	PSOE	5222
08	Cinca Medio	2007	2	PP	4469
08	Cinca Medio	2007	3	PAR	1555
08	Cinca Medio	2007	4	CHA	575
08	Cinca Medio	2007	5	IU	73
08	Cinca Medio	2007	10	IU-A	678
08	Cinca Medio	2011	1	PP	4185
08	Cinca Medio	2011	2	PSOE	4106
08	Cinca Medio	2011	3	PAR	2063
08	Cinca Medio	2011	4	CHA	553
08	Cinca Medio	2011	5	IU	852
08	Cinca Medio	2011	8	FIA	299
08	Cinca Medio	2015	1	PP	3010
08	Cinca Medio	2015	2	PSOE	3960
08	Cinca Medio	2015	4	PAR	1986
08	Cinca Medio	2015	5	C's	530
08	Cinca Medio	2015	7	CHA	467
08	Cinca Medio	2015	10	EB	282
08	Cinca Medio	2015	15	CAMBIAR	1320
