Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
22001	Abiego	2007	1	PSOE	2
22001	Abiego	2007	2	PP	5
22001	Abiego	2011	1	PP	5
22001	Abiego	2011	2	PSOE	2
22001	Abiego	2015	1	PP	2
22001	Abiego	2015	2	PSOE	5
22001	Abiego	2015	4	PAR	0
22002	Abizanda	2007	1	PSOE	5
22002	Abizanda	2007	2	PP	0
22002	Abizanda	2007	4	CHA	0
22002	Abizanda	2011	1	PP	1
22002	Abizanda	2011	2	PSOE	4
22002	Abizanda	2011	3	PAR	0
22002	Abizanda	2015	1	PP	3
22002	Abizanda	2015	2	PSOE	2
22002	Abizanda	2015	7	CHA	0
22003	Adahuesca	2007	1	PSOE	4
22003	Adahuesca	2007	2	PP	0
22003	Adahuesca	2007	3	PAR	1
22003	Adahuesca	2007	4	CHA	0
22003	Adahuesca	2011	1	PP	2
22003	Adahuesca	2011	2	PSOE	2
22003	Adahuesca	2011	3	PAR	1
22003	Adahuesca	2011	9	ECOLO	0
22003	Adahuesca	2015	1	PP	2
22003	Adahuesca	2015	2	PSOE	1
22003	Adahuesca	2015	4	PAR	1
22003	Adahuesca	2015	5	C's	0
22003	Adahuesca	2015	13	ARAGONSIPUEDE	1
22004	Agüero	2007	1	PSOE	0
22004	Agüero	2007	2	PP	3
22004	Agüero	2007	3	PAR	2
22004	Agüero	2007	4	CHA	0
22004	Agüero	2011	1	PP	4
22004	Agüero	2011	2	PSOE	0
22004	Agüero	2011	3	PAR	1
22004	Agüero	2015	1	PP	4
22004	Agüero	2015	2	PSOE	1
22004	Agüero	2015	4	PAR	0
22006	Aísa	2007	1	PSOE	5
22006	Aísa	2007	2	PP	1
22006	Aísa	2007	3	PAR	1
22006	Aísa	2011	1	PP	2
22006	Aísa	2011	2	PSOE	4
22006	Aísa	2011	3	PAR	1
22006	Aísa	2015	1	PP	2
22006	Aísa	2015	2	PSOE	5
22006	Aísa	2015	4	PAR	0
22007	Albalate de Cinca	2007	1	PSOE	3
22007	Albalate de Cinca	2007	2	PP	4
22007	Albalate de Cinca	2007	3	PAR	2
22007	Albalate de Cinca	2011	1	PP	4
22007	Albalate de Cinca	2011	2	PSOE	3
22007	Albalate de Cinca	2011	3	PAR	2
22007	Albalate de Cinca	2015	1	PP	5
22007	Albalate de Cinca	2015	2	PSOE	3
22007	Albalate de Cinca	2015	4	PAR	1
22008	Albalatillo	2007	1	PSOE	2
22008	Albalatillo	2007	3	PAR	5
22008	Albalatillo	2011	1	PP	0
22008	Albalatillo	2011	2	PSOE	0
22008	Albalatillo	2011	3	PAR	5
22008	Albalatillo	2015	1	PP	0
22008	Albalatillo	2015	2	PSOE	0
22008	Albalatillo	2015	4	PAR	5
22009	Albelda	2007	1	PSOE	5
22009	Albelda	2007	2	PP	0
22009	Albelda	2007	3	PAR	2
22009	Albelda	2007	4	CHA	0
22009	Albelda	2011	1	PP	2
22009	Albelda	2011	2	PSOE	4
22009	Albelda	2011	3	PAR	0
22009	Albelda	2011	4	CHA	1
22009	Albelda	2015	1	PP	2
22009	Albelda	2015	2	PSOE	3
22009	Albelda	2015	7	CHA	0
22009	Albelda	2015	15	CAMBIAR	2
22011	Albero Alto	2007	1	PSOE	4
22011	Albero Alto	2007	2	PP	1
22011	Albero Alto	2007	3	PAR	0
