CCAA nombre	CCAA código	Año	Votos	Siglas	Diputados
Aragón	02	2015	183654	PP	21
Aragón	02	2015	143096	PSOE	18
Aragón	02	2015	137325	PODEMOS	14
Aragón	02	2015	62907	C's	5
Aragón	02	2015	45846	PAR	6
Aragón	02	2015	30618	CHA	2
Aragón	02	2015	28184	IU	1
Aragón	02	2015	5708	UPyD	0
Aragón	02	2015	5323	EB	0
Aragón	02	2015	4946	PACMA	0
Aragón	02	2015	2844	COMPROMISO CON ARAGON	0
Aragón	02	2015	1256	EQUO	0
Aragón	02	2015	1082	RECORTES CERO	0
Aragón	02	2015	648	FIA	0
Aragón	02	2015	616	PCPE	0
Aragón	02	2015	581	BAR	0
Aragón	02	2011	269729	PP	30
Aragón	02	2011	197189	PSOE	22
Aragón	02	2011	62193	PAR	7
Aragón	02	2011	55932	CHA	4
Aragón	02	2011	41874	IU	4
Aragón	02	2011	15667	UPyD	0
Aragón	02	2011	4621	VERDES ECOLO	0
Aragón	02	2011	3771	COMPROMISO CON ARAGON	0
Aragón	02	2011	2193	PACMA	0
Aragón	02	2011	980	F.I.A.	0
Aragón	02	2011	830	TA	0
Aragón	02	2011	603	UCE	0
Aragón	02	2011	573	pCUA	0
Aragón	02	2011	525	PFyV	0
Aragón	02	2011	482	CDL	0
Aragón	02	2011	440	PH	0
Aragón	02	2011	249	L'VIA	0
Aragón	02	2007	276427	PSOE	30
Aragón	02	2007	208648	PP	23
Aragón	02	2007	81135	PAR	9
Aragón	02	2007	54752	CHA	4
Aragón	02	2007	27447	IU	1
Aragón	02	2007	4445	LV-FIA	0
Aragón	02	2007	2463	pCUA	0
Aragón	02	2007	1105	PFyV	0
Aragón	02	2007	577	PH	0
