Provincia código	Provincia nombre	Año	Siglas	Diputados
22	Huesca	2007	PSOE	9
22	Huesca	2007	PP	6
22	Huesca	2007	PAR	2
22	Huesca	2007	CHA	1
22	Huesca	2007	IU	0
22	Huesca	2007	LV-FIA	0
22	Huesca	2007	PFyV	0
22	Huesca	2011	PP	7
22	Huesca	2011	PSOE	7
22	Huesca	2011	PAR	2
22	Huesca	2011	CHA	1
22	Huesca	2011	IU	1
22	Huesca	2011	UPyD	0
22	Huesca	2011	VERDES ECOLO	0
22	Huesca	2011	COMPROMISO CON ARAGON	0
22	Huesca	2011	PACMA	0
22	Huesca	2011	F.I.A.	0
22	Huesca	2011	TA	0
22	Huesca	2011	UCE	0
22	Huesca	2011	CDL	0
22	Huesca	2015	PP	5
22	Huesca	2015	PSOE	6
22	Huesca	2015	PODEMOS	4
22	Huesca	2015	C's	1
22	Huesca	2015	PAR	2
22	Huesca	2015	CHA	0
22	Huesca	2015	IU	0
22	Huesca	2015	UPyD	0
22	Huesca	2015	EB	0
22	Huesca	2015	PACMA	0
22	Huesca	2015	COMPROMISO CON ARAGON	0
22	Huesca	2015	EQUO	0
22	Huesca	2015	RECORTES CERO	0
22	Huesca	2015	FIA	0
22	Huesca	2015	BAR	0
22	Huesca	2015	PCPE	0
44	Teruel	2007	PSOE	6
44	Teruel	2007	PP	5
44	Teruel	2007	PAR	3
44	Teruel	2007	CHA	0
44	Teruel	2007	IU	0
44	Teruel	2007	LV-FIA	0
44	Teruel	2007	pCUA	0
44	Teruel	2007	PFyV	0
44	Teruel	2011	PP	6
44	Teruel	2011	PSOE	4
44	Teruel	2011	PAR	3
44	Teruel	2011	CHA	0
44	Teruel	2011	IU	1
44	Teruel	2011	UPyD	0
44	Teruel	2011	VERDES ECOLO	0
44	Teruel	2011	COMPROMISO CON ARAGON	0
44	Teruel	2011	PACMA	0
44	Teruel	2011	F.I.A.	0
44	Teruel	2011	TA	0
44	Teruel	2011	UCE	0
44	Teruel	2015	PP	5
44	Teruel	2015	PSOE	4
44	Teruel	2015	PODEMOS	2
44	Teruel	2015	C's	1
44	Teruel	2015	PAR	2
44	Teruel	2015	CHA	0
44	Teruel	2015	IU	0
44	Teruel	2015	EB	0
44	Teruel	2015	PACMA	0
44	Teruel	2015	COMPROMISO CON ARAGON	0
44	Teruel	2015	RECORTES CERO	0
44	Teruel	2015	FIA	0
50	Zaragoza	2007	PSOE	15
50	Zaragoza	2007	PP	12
50	Zaragoza	2007	PAR	4
50	Zaragoza	2007	CHA	3
50	Zaragoza	2007	IU	1
50	Zaragoza	2007	LV-FIA	0
50	Zaragoza	2007	pCUA	0
50	Zaragoza	2007	PFyV	0
50	Zaragoza	2007	PH	0
50	Zaragoza	2011	PP	17
50	Zaragoza	2011	PSOE	11
50	Zaragoza	2011	PAR	2
50	Zaragoza	2011	CHA	3
50	Zaragoza	2011	IU	2
50	Zaragoza	2011	UPyD	0
50	Zaragoza	2011	VERDES ECOLO	0
50	Zaragoza	2011	COMPROMISO CON ARAGON	0
50	Zaragoza	2011	PACMA	0
50	Zaragoza	2011	F.I.A.	0
50	Zaragoza	2011	TA	0
50	Zaragoza	2011	UCE	0
50	Zaragoza	2011	pCUA	0
50	Zaragoza	2011	PFyV	0
50	Zaragoza	2011	CDL	0
50	Zaragoza	2011	PH	0
50	Zaragoza	2011	L'VIA	0
50	Zaragoza	2015	PP	11
50	Zaragoza	2015	PSOE	8
50	Zaragoza	2015	PODEMOS	8
50	Zaragoza	2015	C's	3
50	Zaragoza	2015	PAR	2
50	Zaragoza	2015	CHA	2
50	Zaragoza	2015	IU	1
50	Zaragoza	2015	UPyD	0
50	Zaragoza	2015	EB	0
50	Zaragoza	2015	PACMA	0
50	Zaragoza	2015	COMPROMISO CON ARAGON	0
50	Zaragoza	2015	EQUO	0
50	Zaragoza	2015	RECORTES CERO	0
50	Zaragoza	2015	FIA	0
50	Zaragoza	2015	BAR	0
50	Zaragoza	2015	PCPE	0
