Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2008	1	14277	PSOE
01	La Jacetania	2008	2	9493	PP
01	La Jacetania	2008	3	2096	PAR
01	La Jacetania	2008	4	1587	CHA
01	La Jacetania	2008	5	937	IU
01	La Jacetania	2008	6	310	UPyD
01	La Jacetania	2008	7	156	LV
01	La Jacetania	2008	8	27	C's
01	La Jacetania	2008	9	0	PACMA
01	La Jacetania	2008	10	31	PUM+J
01	La Jacetania	2008	11	20	pCUA
01	La Jacetania	2008	12	8	PSD-FIA
01	La Jacetania	2008	13	5	TA
01	La Jacetania	2008	14	15	FE de las JONS
01	La Jacetania	2008	15	13	PFyV
01	La Jacetania	2008	16	7	DN
01	La Jacetania	2008	17	8	POSI
01	La Jacetania	2008	18	0	AuN
01	La Jacetania	2008	19	0	FRENTE
01	La Jacetania	2008	20	13	AES
01	La Jacetania	2008	21	0	FA
01	La Jacetania	2008	22	13	PH
01	La Jacetania	2008	23	0	MCE
01	La Jacetania	2008	24	4	CTC
01	La Jacetania	2008	25	0	PCPE
02	Alto Gállego	2008	1	10831	PSOE
02	Alto Gállego	2008	2	6893	PP
02	Alto Gállego	2008	3	2090	PAR
02	Alto Gállego	2008	4	1250	CHA
02	Alto Gállego	2008	5	841	IU
02	Alto Gállego	2008	6	268	UPyD
02	Alto Gállego	2008	7	169	LV
02	Alto Gállego	2008	8	14	C's
02	Alto Gállego	2008	9	0	PACMA
02	Alto Gállego	2008	10	24	PUM+J
02	Alto Gállego	2008	11	19	pCUA
02	Alto Gállego	2008	12	10	PSD-FIA
02	Alto Gállego	2008	13	6	TA
02	Alto Gállego	2008	14	11	FE de las JONS
02	Alto Gállego	2008	15	10	PFyV
02	Alto Gállego	2008	16	7	DN
02	Alto Gállego	2008	17	8	POSI
02	Alto Gállego	2008	18	0	AuN
02	Alto Gállego	2008	19	0	FRENTE
02	Alto Gállego	2008	20	5	AES
02	Alto Gállego	2008	21	0	FA
02	Alto Gállego	2008	22	3	PH
02	Alto Gállego	2008	23	0	MCE
02	Alto Gállego	2008	24	0	CTC
02	Alto Gállego	2008	25	0	PCPE
03	Sobrarbe	2008	1	6183	PSOE
03	Sobrarbe	2008	2	4406	PP
03	Sobrarbe	2008	3	873	PAR
03	Sobrarbe	2008	4	736	CHA
03	Sobrarbe	2008	5	500	IU
03	Sobrarbe	2008	6	94	UPyD
03	Sobrarbe	2008	7	59	LV
03	Sobrarbe	2008	8	6	C's
03	Sobrarbe	2008	9	0	PACMA
03	Sobrarbe	2008	10	7	PUM+J
03	Sobrarbe	2008	11	6	pCUA
03	Sobrarbe	2008	12	4	PSD-FIA
03	Sobrarbe	2008	13	6	TA
03	Sobrarbe	2008	14	9	FE de las JONS
03	Sobrarbe	2008	15	4	PFyV
03	Sobrarbe	2008	16	1	DN
03	Sobrarbe	2008	17	2	POSI
03	Sobrarbe	2008	18	0	AuN
03	Sobrarbe	2008	19	0	FRENTE
03	Sobrarbe	2008	20	1	AES
03	Sobrarbe	2008	21	0	FA
03	Sobrarbe	2008	22	3	PH
03	Sobrarbe	2008	23	0	MCE
03	Sobrarbe	2008	24	1	CTC
03	Sobrarbe	2008	25	0	PCPE
04	La Ribagorza	2008	1	9228	PSOE
04	La Ribagorza	2008	2	7902	PP
04	La Ribagorza	2008	3	1703	PAR
04	La Ribagorza	2008	4	872	CHA
04	La Ribagorza	2008	5	590	IU
04	La Ribagorza	2008	6	212	UPyD
04	La Ribagorza	2008	7	174	LV
04	La Ribagorza	2008	8	16	C's
04	La Ribagorza	2008	9	0	PACMA
04	La Ribagorza	2008	10	27	PUM+J
04	La Ribagorza	2008	11	13	pCUA
04	La Ribagorza	2008	12	14	PSD-FIA
04	La Ribagorza	2008	13	8	TA
04	La Ribagorza	2008	14	18	FE de las JONS
04	La Ribagorza	2008	15	25	PFyV
04	La Ribagorza	2008	16	11	DN
04	La Ribagorza	2008	17	6	POSI
04	La Ribagorza	2008	18	0	AuN
04	La Ribagorza	2008	19	0	FRENTE
04	La Ribagorza	2008	20	2	AES
04	La Ribagorza	2008	21	0	FA
04	La Ribagorza	2008	22	14	PH
04	La Ribagorza	2008	23	0	MCE
04	La Ribagorza	2008	24	3	CTC
04	La Ribagorza	2008	25	0	PCPE
05	Cinco Villas	2008	1	29017	PSOE
05	Cinco Villas	2008	2	17754	PP
05	Cinco Villas	2008	3	3910	PAR
05	Cinco Villas	2008	4	1809	CHA
05	Cinco Villas	2008	5	1630	IU
05	Cinco Villas	2008	6	271	UPyD
05	Cinco Villas	2008	7	97	LV
05	Cinco Villas	2008	8	80	C's
05	Cinco Villas	2008	9	0	PACMA
05	Cinco Villas	2008	10	29	PUM+J
05	Cinco Villas	2008	11	12	pCUA
05	Cinco Villas	2008	12	43	PSD-FIA
05	Cinco Villas	2008	13	12	TA
05	Cinco Villas	2008	14	15	FE de las JONS
05	Cinco Villas	2008	15	9	PFyV
05	Cinco Villas	2008	16	8	DN
05	Cinco Villas	2008	17	7	POSI
05	Cinco Villas	2008	18	4	AuN
05	Cinco Villas	2008	19	10	FRENTE
05	Cinco Villas	2008	20	10	AES
05	Cinco Villas	2008	21	12	FA
05	Cinco Villas	2008	22	5	PH
05	Cinco Villas	2008	23	4	MCE
05	Cinco Villas	2008	24	6	CTC
05	Cinco Villas	2008	25	0	PCPE
06	Hoya de Huesca / Plana de Uesca	2008	1	48306	PSOE
06	Hoya de Huesca / Plana de Uesca	2008	2	41231	PP
06	Hoya de Huesca / Plana de Uesca	2008	3	6074	PAR
06	Hoya de Huesca / Plana de Uesca	2008	4	4509	CHA
