Municipio código	Municipio nombre	Año	Votos	Siglas	Candidatura
50297	Zaragoza	2008	173636	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50297	Zaragoza	2011	162977	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50297	Zaragoza	2008	139097	PP	PARTIDO POPULAR
50297	Zaragoza	2016	121660	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50297	Zaragoza	2019	119436	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50297	Zaragoza	2015	109329	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50297	Zaragoza	2011	104287	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50297	Zaragoza	2019	84272	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50297	Zaragoza	2016	82192	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50297	Zaragoza	2016	78527	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50297	Zaragoza	2015	77699	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
50297	Zaragoza	2015	76042	ALTOARAGONenCOMUN	Alto Aragón en Común
50297	Zaragoza	2015	70642	TA	TIERRA ARAGONESA
50297	Zaragoza	2019	67396	PP	PARTIDO POPULAR
50297	Zaragoza	2016	63727	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50297	Zaragoza	2019	58410	PODEMOS-IU-EQUO	UNIDAS PODEMOS
50297	Zaragoza	2019	49030	VOX	VOX
50297	Zaragoza	2011	45062	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
50297	Zaragoza	2011	26352	UPyD	UNIÓN PROGRESO Y DEMOCRACIA
50297	Zaragoza	2015	26349	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN
50297	Zaragoza	2008	22659	CHA	CHUNTA ARAGONESISTA
50297	Zaragoza	2008	14208	PAR	PARTIDO ARAGONES
22125	Huesca	2008	13227	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50297	Zaragoza	2008	12147	IU	IZQUIERDA UNIDA-ALTERNATIVA
