Provincia código	Provincia nombre	Año	Siglas	Votos	Diputados
22	Huesca	2016	PP-PAR	42332	1
22	Huesca	2016	PSOE	29915	1
22	Huesca	2016	PODEMOS-IU-EQUO	22430	1
22	Huesca	2016	C's	17934	0
22	Huesca	2016	PACMA	909	0
22	Huesca	2016	EB	487	0
22	Huesca	2016	VOX	399	0
22	Huesca	2016	UPyD	239	0
22	Huesca	2016	RECORTES CERO-GRUPO VERDE	216	0
22	Huesca	2016	PCPE	349	0
22	Huesca	2016	MAS	93	0
22	Huesca	2016	ENTABAN	377	0
44	Teruel	2016	PP-PAR	30913	2
44	Teruel	2016	PSOE	19724	1
44	Teruel	2016	PODEMOS-IU-EQUO	12558	0
44	Teruel	2016	C's	9871	0
44	Teruel	2016	PACMA	402	0
44	Teruel	2016	EB	245	0
44	Teruel	2016	RECORTES CERO-GRUPO VERDE	125	0
44	Teruel	2016	PCPE	71	0
44	Teruel	2016	MAS	62	0
44	Teruel	2016	INDEPENDIENTES-FIA	39	0
44	Teruel	2016	FE de las JONS	160	0
44	Teruel	2016	UDT	48	0
50	Zaragoza	2016	PP-PAR	179211	3
50	Zaragoza	2016	PSOE	125321	2
50	Zaragoza	2016	PODEMOS-IU-EQUO	104199	1
50	Zaragoza	2016	C's	86434	1
50	Zaragoza	2016	PACMA	5025	0
50	Zaragoza	2016	EB	3032	0
50	Zaragoza	2016	VOX	1614	0
50	Zaragoza	2016	UPyD	1395	0
50	Zaragoza	2016	RECORTES CERO-GRUPO VERDE	1137	0
50	Zaragoza	2016	PCPE	564	0
50	Zaragoza	2016	MAS	568	0
50	Zaragoza	2016	INDEPENDIENTES-FIA	511	0
22	Huesca	2015	PP-PAR	39631	1
22	Huesca	2015	PSOE	30039	1
22	Huesca	2015	PODEMOS-Ahora Alto Aragón en Común	21768	1
22	Huesca	2015	C's	19703	0
22	Huesca	2015	IU-CHA-UPeC	6400	0
22	Huesca	2015	UPyD	847	0
22	Huesca	2015	PACMA	785	0
22	Huesca	2015	EB	547	0
22	Huesca	2015	RECORTES CERO-GRUPO VERDE	248	0
22	Huesca	2015	PCPE	253	0
22	Huesca	2015	INDEPENDIENTES-FIA	113	0
44	Teruel	2015	PP-PAR	28224	2
44	Teruel	2015	PSOE	19854	1
44	Teruel	2015	PODEMOS	11806	0
44	Teruel	2015	C's	11400	0
44	Teruel	2015	IU-CHA-UPeC	3873	0
44	Teruel	2015	UPyD	449	0
44	Teruel	2015	PACMA	375	0
44	Teruel	2015	EB	317	0
44	Teruel	2015	RECORTES CERO-GRUPO VERDE	135	0
44	Teruel	2015	PCPE	105	0
50	Zaragoza	2015	PP-PAR	161341	3
50	Zaragoza	2015	PSOE	118742	2
50	Zaragoza	2015	PODEMOS	102189	1
50	Zaragoza	2015	C's	94800	1
50	Zaragoza	2015	IU-CHA-UPeC	34773	0
50	Zaragoza	2015	UPyD	4495	0
50	Zaragoza	2015	PACMA	4042	0
50	Zaragoza	2015	EB	2987	0
50	Zaragoza	2015	VOX	1839	0
50	Zaragoza	2015	RECORTES CERO-GRUPO VERDE	1079	0
50	Zaragoza	2015	PCPE	873	0
50	Zaragoza	2015	INDEPENDIENTES-FIA	560	0
22	Huesca	2011	PP-PAR	58435	2
22	Huesca	2011	PSOE	40721	1
22	Huesca	2011	CHA-IU	9937	0
22	Huesca	2011	UPyD	5408	0
22	Huesca	2011	EQUO	1471	0
22	Huesca	2011	PACMA	558	0
22	Huesca	2011	PCPE	354	0
22	Huesca	2011	PUM+J	286	0
22	Huesca	2011	PIRATA	403	0
22	Huesca	2011	UCE	107	0
44	Teruel	2011	PP-PAR	39993	2
44	Teruel	2011	PSOE	25426	1
44	Teruel	2011	CHA-IU	6103	0
44	Teruel	2011	UPyD	2656	0
44	Teruel	2011	PACMA	260	0
44	Teruel	2011	EB	466	0
44	Teruel	2011	PUM+J	151	0
44	Teruel	2011	PIRATA	218	0
44	Teruel	2011	UCE	93	0
44	Teruel	2011	SXT	169	0
50	Zaragoza	2011	PP-PAR	241074	4
50	Zaragoza	2011	PSOE	158167	2
50	Zaragoza	2011	CHA-IU	58904	1
50	Zaragoza	2011	UPyD	32968	0
50	Zaragoza	2011	EQUO	3858	0
50	Zaragoza	2011	PACMA	2586	0
50	Zaragoza	2011	EB	2640	0
50	Zaragoza	2011	PCPE	1055	0
50	Zaragoza	2011	PUM+J	939	0
50	Zaragoza	2011	UCE	370	0
50	Zaragoza	2011	DeC	508	0
50	Zaragoza	2011	PH	463	0
50	Zaragoza	2011	P-LIB	410	0
22	Huesca	2008	PSOE	62954	2
22	Huesca	2008	PP	49748	1
22	Huesca	2008	PAR	6665	0
22	Huesca	2008	CHA	3892	0
22	Huesca	2008	IU	3815	0
