Año	Siglas	Votos	Candidatura	Comarca código	Comarca nombre
2019	PSOE	10045	PARTIDO SOCIALISTA OBRERO ESPAÑOL	01	La Jacetania
2019	PSOE	7811	PARTIDO SOCIALISTA OBRERO ESPAÑOL	02	Alto Gállego
2019	PSOE	4560	PARTIDO SOCIALISTA OBRERO ESPAÑOL	03	Sobrarbe
2019	PSOE	5968	PARTIDO SOCIALISTA OBRERO ESPAÑOL	04	La Ribagorza
2019	PSOE	19813	PARTIDO SOCIALISTA OBRERO ESPAÑOL	05	Cinco Villas
2019	PSOE	37002	PARTIDO SOCIALISTA OBRERO ESPAÑOL	06	Hoya de Huesca / Plana de Uesca
2019	PSOE	12710	PARTIDO SOCIALISTA OBRERO ESPAÑOL	07	Somontano de Barbastro
2019	PSOE	12458	PARTIDO SOCIALISTA OBRERO ESPAÑOL	08	Cinca Medio
2019	PSOE	9805	PARTIDO SOCIALISTA OBRERO ESPAÑOL	09	La Litera / La Llitera
2019	PSOE	12103	PARTIDO SOCIALISTA OBRERO ESPAÑOL	10	Los Monegros
2019	PSOE	11175	PARTIDO SOCIALISTA OBRERO ESPAÑOL	11	Bajo Cinca / Baix Cinca
2019	PSOE	8446	PARTIDO SOCIALISTA OBRERO ESPAÑOL	12	Tarazona y el Moncayo
2019	PSOE	8953	PARTIDO SOCIALISTA OBRERO ESPAÑOL	13	Campo de Borja
2019	PSOE	3702	PARTIDO SOCIALISTA OBRERO ESPAÑOL	14	Aranda
2019	PSOE	16942	PARTIDO SOCIALISTA OBRERO ESPAÑOL	15	Ribera Alta del Ebro
2019	PSOE	13191	PARTIDO SOCIALISTA OBRERO ESPAÑOL	16	Valdejalón
2019	PSOE	376016	PARTIDO SOCIALISTA OBRERO ESPAÑOL	17	Central
2019	PSOE	5888	PARTIDO SOCIALISTA OBRERO ESPAÑOL	18	Ribera Baja del Ebro
2019	PSOE	7307	PARTIDO SOCIALISTA OBRERO ESPAÑOL	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	PSOE	20446	PARTIDO SOCIALISTA OBRERO ESPAÑOL	20	Comunidad de Calatayud
2019	PSOE	5855	PARTIDO SOCIALISTA OBRERO ESPAÑOL	21	Campo de Cariñena
2019	PSOE	2842	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Campo de Belchite
2019	PSOE	1356	PARTIDO SOCIALISTA OBRERO ESPAÑOL	23	Bajo Martín
2019	PSOE	2900	PARTIDO SOCIALISTA OBRERO ESPAÑOL	24	Campo de Daroca
2019	PSOE	2000	PARTIDO SOCIALISTA OBRERO ESPAÑOL	25	Jiloca
2019	PSOE	1952	PARTIDO SOCIALISTA OBRERO ESPAÑOL	26	Cuencas Mineras
2019	PSOE	1781	PARTIDO SOCIALISTA OBRERO ESPAÑOL	27	Andorra-Sierra de Arcos
2019	PSOE	4772	PARTIDO SOCIALISTA OBRERO ESPAÑOL	28	Bajo Aragón
2019	PSOE	7210	PARTIDO SOCIALISTA OBRERO ESPAÑOL	29	Comunidad de Teruel
2019	PSOE	580	PARTIDO SOCIALISTA OBRERO ESPAÑOL	30	Maestrazgo
2019	PSOE	950	PARTIDO SOCIALISTA OBRERO ESPAÑOL	31	Sierra de Albarracín
2019	PSOE	1358	PARTIDO SOCIALISTA OBRERO ESPAÑOL	32	Gúdar-Javalambre
2019	PSOE	1426	PARTIDO SOCIALISTA OBRERO ESPAÑOL	33	Matarraña / Matarranya
2019	PP	6321	PARTIDO POPULAR	01	La Jacetania
2019	PP	4345	PARTIDO POPULAR	02	Alto Gállego
2019	PP	2820	PARTIDO POPULAR	03	Sobrarbe
2019	PP	4987	PARTIDO POPULAR	04	La Ribagorza
2019	PP	10899	PARTIDO POPULAR	05	Cinco Villas
2019	PP	26635	PARTIDO POPULAR	06	Hoya de Huesca / Plana de Uesca
2019	PP	9922	PARTIDO POPULAR	07	Somontano de Barbastro
2019	PP	8299	PARTIDO POPULAR	08	Cinca Medio
2019	PP	6917	PARTIDO POPULAR	09	La Litera / La Llitera
2019	PP	8762	PARTIDO POPULAR	10	Los Monegros
2019	PP	8511	PARTIDO POPULAR	11	Bajo Cinca / Baix Cinca
2019	PP	6079	PARTIDO POPULAR	12	Tarazona y el Moncayo
2019	PP	4938	PARTIDO POPULAR	13	Campo de Borja
2019	PP	3163	PARTIDO POPULAR	14	Aranda
2019	PP	8043	PARTIDO POPULAR	15	Ribera Alta del Ebro
2019	PP	9346	PARTIDO POPULAR	16	Valdejalón
2019	PP	240779	PARTIDO POPULAR	17	Central
2019	PP	3012	PARTIDO POPULAR	18	Ribera Baja del Ebro
2019	PP	4475	PARTIDO POPULAR	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	PP	17166	PARTIDO POPULAR	20	Comunidad de Calatayud
2019	PP	4004	PARTIDO POPULAR	21	Campo de Cariñena
2019	PP	3019	PARTIDO POPULAR	22	Campo de Belchite
2019	PP	2855	PARTIDO POPULAR	23	Bajo Martín
2019	PP	3228	PARTIDO POPULAR	24	Campo de Daroca
2019	PP	6264	PARTIDO POPULAR	25	Jiloca
2019	PP	2591	PARTIDO POPULAR	26	Cuencas Mineras
2019	PP	3089	PARTIDO POPULAR	27	Andorra-Sierra de Arcos
2019	PP	11596	PARTIDO POPULAR	28	Bajo Aragón
2019	PP	20522	PARTIDO POPULAR	29	Comunidad de Teruel
2019	PP	1685	PARTIDO POPULAR	30	Maestrazgo
2019	PP	1967	PARTIDO POPULAR	31	Sierra de Albarracín
2019	PP	3317	PARTIDO POPULAR	32	Gúdar-Javalambre
2019	PP	3387	PARTIDO POPULAR	33	Matarraña / Matarranya
2019	Cs	5306	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	01	La Jacetania
2019	Cs	4175	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	02	Alto Gállego
2019	Cs	2054	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	03	Sobrarbe
2019	Cs	3284	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	04	La Ribagorza
2019	Cs	7738	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	05	Cinco Villas
2019	Cs	21233	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	06	Hoya de Huesca / Plana de Uesca
2019	Cs	8212	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	07	Somontano de Barbastro
2019	Cs	6288	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	08	Cinca Medio
2019	Cs	5228	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	09	La Litera / La Llitera
2019	Cs	6108	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	10	Los Monegros
2019	Cs	7521	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	11	Bajo Cinca / Baix Cinca
2019	Cs	3978	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	12	Tarazona y el Moncayo
2019	Cs	3985	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	13	Campo de Borja
2019	Cs	2385	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	14	Aranda
2019	Cs	7701	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	15	Ribera Alta del Ebro
2019	Cs	7624	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	16	Valdejalón
2019	Cs	265076	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	17	Central
2019	Cs	2717	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	18	Ribera Baja del Ebro
2019	Cs	3877	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	Cs	9768	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	20	Comunidad de Calatayud
2019	Cs	2724	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	21	Campo de Cariñena
2019	Cs	1431	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	22	Campo de Belchite
2019	Cs	1546	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	23	Bajo Martín
2019	Cs	1781	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	24	Campo de Daroca
2019	Cs	3840	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	25	Jiloca
2019	Cs	2754	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	26	Cuencas Mineras
2019	Cs	2788	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	27	Andorra-Sierra de Arcos
2019	Cs	8125	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	28	Bajo Aragón
